"scenario","type","reference","archetype","D","n_patterns_covered","freq_covered","pct_covered"
"10-32","ext","kmeans","Careful",4,1490,296918,3.711475
"10-32","ext","kmeans","Careful",6,9890,1187397,14.8424625
"10-32","ext","kmeans","Careful",8,30089,2142761,26.7845125
"10-32","ext","kmeans","Careful",10,53437,2742644,34.28305
"10-32","ext","kmeans","Stubborn",0,1,24,3e-04
"10-32","ext","kmeans","Stubborn",2,51,7190,0.089875
"10-32","ext","kmeans","Stubborn",4,701,307220,3.84025
"10-32","ext","kmeans","Stubborn",6,4954,1068402,13.355025
"10-32","ext","kmeans","Stubborn",8,19642,1962350,24.529375
"10-32","ext","kmeans","Stubborn",10,47719,3037587,37.9698375
"10-32","ext","kmeans","Influencer",0,0,0,0
"10-32","ext","kmeans","Influencer",2,2,6,7.5e-05
"10-32","ext","kmeans","Influencer",4,57,307,0.0038375
"10-32","ext","kmeans","Influencer",6,641,30603,0.3825375
"10-32","ext","kmeans","Influencer",8,3652,634855,7.9356875
"10-32","ext","kmeans","Influencer",10,11662,2128008,26.6001
"10-32","ext","kmeans","Uninterested",0,0,0,0
"10-32","ext","kmeans","Uninterested",2,23,151,0.0018875
"10-32","ext","kmeans","Uninterested",4,488,7276,0.09095
"10-32","ext","kmeans","Uninterested",6,3845,169515,2.1189375
"10-32","ext","kmeans","Uninterested",8,14060,1215323,15.1915375
"10-32","ext","kmeans","Uninterested",10,29893,3133121,39.1640125
"10-32","ext","kmeans","Homo.Economicus",0,0,0,0
"10-32","ext","kmeans","Homo.Economicus",2,35,5641,0.0705125
"10-32","ext","kmeans","Homo.Economicus",4,816,211057,2.6382125
"10-32","ext","kmeans","Homo.Economicus",6,5738,1055357,13.1919625
"10-32","ext","kmeans","Homo.Economicus",8,18780,2068477,25.8559625
"10-32","ext","kmeans","Homo.Economicus",10,37547,3501032,43.7629
"10-32","ext","kmeans","Cluster8",0,0,0,0
"10-32","ext","kmeans","Cluster8",2,40,2476,0.03095
"10-32","ext","kmeans","Cluster8",4,810,72946,0.911825
"10-32","ext","kmeans","Cluster8",6,4750,626153,7.8269125
"10-32","ext","kmeans","Cluster8",8,13763,1505215,18.8151875
"10-32","ext","kmeans","Cluster8",10,28379,2559099,31.9887375
"10-32","ext","sins","Early Adopter",0,0,0,0
"10-32","ext","sins","Early Adopter",2,0,0,0
"10-32","ext","sins","Early Adopter",4,7,383,0.0047875
"10-32","ext","sins","Early Adopter",6,233,302700,3.78375
"10-32","ext","sins","Early Adopter",8,1881,1191955,14.8994375
"10-32","ext","sins","Early Adopter",10,7603,3406214,42.577675
"10-32","ext","sins","Uninterested",0,0,0,0
"10-32","ext","sins","Uninterested",2,0,0,0
"10-32","ext","sins","Uninterested",4,11,30,0.000375
"10-32","ext","sins","Uninterested",6,323,10997,0.1374625
"10-32","ext","sins","Uninterested",8,2425,1422833,17.7854125
"10-32","ext","sins","Uninterested",10,11155,2258311,28.2288875
"10-32","ext","sins","Homo Economicus",0,0,0,0
"10-32","ext","sins","Homo Economicus",2,0,0,0
"10-32","ext","sins","Homo Economicus",4,6,50,0.000625
"10-32","ext","sins","Homo Economicus",6,271,3135,0.0391875
"10-32","ext","sins","Homo Economicus",8,3313,180803,2.2600375
"10-32","ext","sins","Homo Economicus",10,16442,1999146,24.989325
"10-32","ext","sins","Fearful",0,0,0,0
"10-32","ext","sins","Fearful",2,0,0,0
"10-32","ext","sins","Fearful",4,41,2229,0.0278625
"10-32","ext","sins","Fearful",6,967,198168,2.4771
"10-32","ext","sins","Fearful",8,7459,1219147,15.2393375
"10-32","ext","sins","Fearful",10,26474,2281127,28.5140875
"10-32","ext","sins","Stubborn",0,0,0,0
"10-32","ext","sins","Stubborn",2,3,5,6.25e-05
"10-32","ext","sins","Stubborn",4,125,733,0.0091625
"10-32","ext","sins","Stubborn",6,1786,42248,0.5281
"10-32","ext","sins","Stubborn",8,10102,517321,6.4665125
"10-32","ext","sins","Stubborn",10,31614,3604427,45.0553375
"10-32","ext","sins","Influencer",0,0,0,0
"10-32","ext","sins","Influencer",2,0,0,0
"10-32","ext","sins","Influencer",4,2,2,2.5e-05
"10-32","ext","sins","Influencer",6,75,4287,0.0535875
"10-32","ext","sins","Influencer",8,935,127489,1.5936125
"10-32","ext","sins","Influencer",10,4671,2261723,28.2715375
"10-32","ext","sins","Careful",0,0,0,0
"10-32","ext","sins","Careful",2,1,11375,0.1421875
"10-32","ext","sins","Careful",4,156,166351,2.0793875
"10-32","ext","sins","Careful",6,2351,647027,8.0878375
"10-32","ext","sins","Careful",8,12674,1640048,20.5006
"10-32","ext","sins","Careful",10,35128,2460692,30.75865
