bootstrap_id,self_classification_archetype_model,n,total_n,prop
212,Activist,78,1000,0.078
212,Careful,194,1000,0.194
212,Early adopter,7,1000,0.007
212,Fearful,72,1000,0.072
212,Homo economicus,165,1000,0.165
212,Influencer,24,1000,0.024
212,Missing,387,1000,0.387
212,None,14,1000,0.014
212,Stubborn,42,1000,0.042
212,Uninterested,17,1000,0.017
213,Activist,69,1000,0.069
213,Careful,175,1000,0.175
213,Early adopter,4,1000,0.004
213,Fearful,97,1000,0.097
213,Homo economicus,173,1000,0.173
213,Influencer,24,1000,0.024
213,Missing,392,1000,0.392
213,None,18,1000,0.018
213,Stubborn,32,1000,0.032
213,Uninterested,16,1000,0.016
214,Activist,77,1000,0.077
214,Careful,146,1000,0.146
214,Early adopter,6,1000,0.006
214,Fearful,87,1000,0.087
214,Homo economicus,197,1000,0.197
214,Influencer,30,1000,0.03
214,Missing,380,1000,0.38
214,None,15,1000,0.015
214,Stubborn,42,1000,0.042
214,Uninterested,20,1000,0.02
215,Activist,69,1000,0.069
215,Careful,184,1000,0.184
215,Early adopter,11,1000,0.011
215,Fearful,93,1000,0.093
215,Homo economicus,180,1000,0.18
215,Influencer,23,1000,0.023
215,Missing,376,1000,0.376
215,None,18,1000,0.018
215,Stubborn,31,1000,0.031
215,Uninterested,15,1000,0.015
216,Activist,80,1000,0.08
216,Careful,181,1000,0.181
216,Early adopter,5,1000,0.005
216,Fearful,74,1000,0.074
216,Homo economicus,183,1000,0.183
216,Influencer,16,1000,0.016
216,Missing,394,1000,0.394
216,None,15,1000,0.015
216,Stubborn,40,1000,0.04
216,Uninterested,12,1000,0.012
217,Activist,90,1000,0.09
217,Careful,172,1000,0.172
217,Early adopter,4,1000,0.004
217,Fearful,88,1000,0.088
217,Homo economicus,179,1000,0.179
217,Influencer,23,1000,0.023
217,Missing,361,1000,0.361
217,None,22,1000,0.022
217,Stubborn,47,1000,0.047
217,Uninterested,14,1000,0.014
218,Activist,68,1000,0.068
218,Careful,199,1000,0.199
218,Early adopter,8,1000,0.008
218,Fearful,92,1000,0.092
218,Homo economicus,163,1000,0.163
218,Influencer,21,1000,0.021
218,Missing,380,1000,0.38
218,None,11,1000,0.011
218,Stubborn,39,1000,0.039
218,Uninterested,19,1000,0.019
219,Activist,72,1000,0.072
219,Careful,190,1000,0.19
219,Early adopter,3,1000,0.003
219,Fearful,77,1000,0.077
219,Homo economicus,168,1000,0.168
219,Influencer,33,1000,0.033
219,Missing,386,1000,0.386
219,None,21,1000,0.021
219,Stubborn,37,1000,0.037
219,Uninterested,13,1000,0.013
220,Activist,65,1000,0.065
220,Careful,172,1000,0.172
220,Early adopter,4,1000,0.004
220,Fearful,99,1000,0.099
220,Homo economicus,171,1000,0.171
220,Influencer,29,1000,0.029
220,Missing,392,1000,0.392
220,None,15,1000,0.015
220,Stubborn,40,1000,0.04
220,Uninterested,13,1000,0.013
221,Activist,59,1000,0.059
221,Careful,190,1000,0.19
221,Early adopter,5,1000,0.005
221,Fearful,93,1000,0.093
221,Homo economicus,181,1000,0.181
221,Influencer,25,1000,0.025
221,Missing,375,1000,0.375
221,None,15,1000,0.015
221,Stubborn,45,1000,0.045
221,Uninterested,12,1000,0.012
222,Activist,70,1000,0.07
222,Careful,175,1000,0.175
222,Early adopter,5,1000,0.005
222,Fearful,81,1000,0.081
222,Homo economicus,186,1000,0.186
222,Influencer,24,1000,0.024
222,Missing,381,1000,0.381
222,None,15,1000,0.015
222,Stubborn,50,1000,0.05
222,Uninterested,13,1000,0.013
223,Activist,68,1000,0.068
223,Careful,170,1000,0.17
223,Early adopter,9,1000,0.009
223,Fearful,94,1000,0.094
223,Homo economicus,175,1000,0.175
223,Influencer,31,1000,0.031
223,Missing,381,1000,0.381
223,None,13,1000,0.013
223,Stubborn,49,1000,0.049
223,Uninterested,10,1000,0.01
224,Activist,72,1000,0.072
224,Careful,173,1000,0.173
224,Early adopter,6,1000,0.006
224,Fearful,82,1000,0.082
224,Homo economicus,182,1000,0.182
224,Influencer,26,1000,0.026
224,Missing,385,1000,0.385
224,None,16,1000,0.016
224,Stubborn,45,1000,0.045
224,Uninterested,13,1000,0.013
225,Activist,79,1000,0.079
225,Careful,173,1000,0.173
225,Early adopter,4,1000,0.004
225,Fearful,105,1000,0.105
225,Homo economicus,170,1000,0.17
225,Influencer,24,1000,0.024
225,Missing,377,1000,0.377
225,None,14,1000,0.014
225,Stubborn,40,1000,0.04
225,Uninterested,14,1000,0.014
226,Activist,79,1000,0.079
226,Careful,186,1000,0.186
226,Early adopter,10,1000,0.01
226,Fearful,89,1000,0.089
226,Homo economicus,182,1000,0.182
226,Influencer,20,1000,0.02
226,Missing,372,1000,0.372
226,None,7,1000,0.007
226,Stubborn,36,1000,0.036
226,Uninterested,19,1000,0.019
227,Activist,76,1000,0.076
227,Careful,185,1000,0.185
227,Early adopter,11,1000,0.011
227,Fearful,80,1000,0.08
227,Homo economicus,168,1000,0.168
227,Influencer,17,1000,0.017
227,Missing,400,1000,0.4
227,None,15,1000,0.015
227,Stubborn,37,1000,0.037
227,Uninterested,11,1000,0.011
228,Activist,69,1000,0.069
228,Careful,172,1000,0.172
228,Early adopter,6,1000,0.006
228,Fearful,85,1000,0.085
228,Homo economicus,171,1000,0.171
228,Influencer,41,1000,0.041
228,Missing,373,1000,0.373
228,None,19,1000,0.019
228,Stubborn,46,1000,0.046
228,Uninterested,18,1000,0.018
229,Activist,70,1000,0.07
229,Careful,160,1000,0.16
229,Early adopter,8,1000,0.008
229,Fearful,92,1000,0.092
229,Homo economicus,196,1000,0.196
229,Influencer,25,1000,0.025
229,Missing,381,1000,0.381
229,None,17,1000,0.017
229,Stubborn,38,1000,0.038
229,Uninterested,13,1000,0.013
230,Activist,79,1000,0.079
230,Careful,181,1000,0.181
230,Early adopter,9,1000,0.009
230,Fearful,80,1000,0.08
230,Homo economicus,165,1000,0.165
230,Influencer,35,1000,0.035
230,Missing,376,1000,0.376
230,None,15,1000,0.015
230,Stubborn,44,1000,0.044
230,Uninterested,16,1000,0.016
231,Activist,82,1000,0.082
231,Careful,172,1000,0.172
231,Early adopter,8,1000,0.008
231,Fearful,100,1000,0.1
231,Homo economicus,162,1000,0.162
231,Influencer,30,1000,0.03
231,Missing,369,1000,0.369
231,None,15,1000,0.015
231,Stubborn,45,1000,0.045
231,Uninterested,17,1000,0.017
232,Activist,75,1000,0.075
232,Careful,181,1000,0.181
232,Early adopter,6,1000,0.006
232,Fearful,78,1000,0.078
232,Homo economicus,171,1000,0.171
232,Influencer,21,1000,0.021
232,Missing,392,1000,0.392
232,None,15,1000,0.015
232,Stubborn,49,1000,0.049
232,Uninterested,12,1000,0.012
233,Activist,81,1000,0.081
233,Careful,151,1000,0.151
233,Early adopter,8,1000,0.008
233,Fearful,77,1000,0.077
233,Homo economicus,196,1000,0.196
233,Influencer,17,1000,0.017
233,Missing,392,1000,0.392
233,None,15,1000,0.015
233,Stubborn,47,1000,0.047
233,Uninterested,16,1000,0.016
234,Activist,55,1000,0.055
234,Careful,180,1000,0.18
234,Early adopter,10,1000,0.01
234,Fearful,102,1000,0.102
234,Homo economicus,174,1000,0.174
234,Influencer,28,1000,0.028
234,Missing,377,1000,0.377
234,None,17,1000,0.017
234,Stubborn,41,1000,0.041
234,Uninterested,16,1000,0.016
235,Activist,58,1000,0.058
235,Careful,180,1000,0.18
235,Early adopter,10,1000,0.01
235,Fearful,81,1000,0.081
235,Homo economicus,188,1000,0.188
235,Influencer,34,1000,0.034
235,Missing,376,1000,0.376
235,None,16,1000,0.016
235,Stubborn,40,1000,0.04
235,Uninterested,17,1000,0.017
236,Activist,75,1000,0.075
236,Careful,200,1000,0.2
236,Early adopter,4,1000,0.004
236,Fearful,90,1000,0.09
236,Homo economicus,161,1000,0.161
236,Influencer,24,1000,0.024
236,Missing,376,1000,0.376
236,None,14,1000,0.014
236,Stubborn,37,1000,0.037
236,Uninterested,19,1000,0.019
237,Activist,57,1000,0.057
237,Careful,181,1000,0.181
237,Early adopter,6,1000,0.006
237,Fearful,96,1000,0.096
237,Homo economicus,162,1000,0.162
237,Influencer,27,1000,0.027
237,Missing,400,1000,0.4
237,None,14,1000,0.014
237,Stubborn,43,1000,0.043
237,Uninterested,14,1000,0.014
238,Activist,76,1000,0.076
238,Careful,172,1000,0.172
238,Early adopter,8,1000,0.008
238,Fearful,87,1000,0.087
238,Homo economicus,182,1000,0.182
238,Influencer,30,1000,0.03
238,Missing,370,1000,0.37
238,None,14,1000,0.014
238,Stubborn,42,1000,0.042
238,Uninterested,19,1000,0.019
239,Activist,66,1000,0.066
239,Careful,193,1000,0.193
239,Early adopter,7,1000,0.007
239,Fearful,90,1000,0.09
239,Homo economicus,170,1000,0.17
239,Influencer,33,1000,0.033
239,Missing,371,1000,0.371
239,None,15,1000,0.015
239,Stubborn,49,1000,0.049
239,Uninterested,6,1000,0.006
240,Activist,73,1000,0.073
240,Careful,167,1000,0.167
240,Early adopter,5,1000,0.005
240,Fearful,99,1000,0.099
240,Homo economicus,180,1000,0.18
240,Influencer,29,1000,0.029
240,Missing,381,1000,0.381
240,None,12,1000,0.012
240,Stubborn,42,1000,0.042
240,Uninterested,12,1000,0.012
241,Activist,76,1000,0.076
241,Careful,190,1000,0.19
241,Early adopter,5,1000,0.005
241,Fearful,83,1000,0.083
241,Homo economicus,189,1000,0.189
241,Influencer,33,1000,0.033
241,Missing,369,1000,0.369
241,None,11,1000,0.011
241,Stubborn,35,1000,0.035
241,Uninterested,9,1000,0.009
242,Activist,79,1000,0.079
242,Careful,189,1000,0.189
242,Early adopter,7,1000,0.007
242,Fearful,75,1000,0.075
242,Homo economicus,164,1000,0.164
242,Influencer,22,1000,0.022
242,Missing,387,1000,0.387
242,None,22,1000,0.022
242,Stubborn,43,1000,0.043
242,Uninterested,12,1000,0.012
243,Activist,70,1000,0.07
243,Careful,177,1000,0.177
243,Early adopter,10,1000,0.01
243,Fearful,82,1000,0.082
243,Homo economicus,175,1000,0.175
243,Influencer,31,1000,0.031
243,Missing,402,1000,0.402
243,None,17,1000,0.017
243,Stubborn,32,1000,0.032
243,Uninterested,4,1000,0.004
244,Activist,75,1000,0.075
244,Careful,177,1000,0.177
244,Early adopter,4,1000,0.004
244,Fearful,86,1000,0.086
244,Homo economicus,181,1000,0.181
244,Influencer,28,1000,0.028
244,Missing,384,1000,0.384
244,None,15,1000,0.015
244,Stubborn,39,1000,0.039
244,Uninterested,11,1000,0.011
245,Activist,70,1000,0.07
245,Careful,166,1000,0.166
245,Early adopter,9,1000,0.009
245,Fearful,104,1000,0.104
245,Homo economicus,177,1000,0.177
245,Influencer,20,1000,0.02
245,Missing,386,1000,0.386
245,None,16,1000,0.016
245,Stubborn,42,1000,0.042
245,Uninterested,10,1000,0.01
246,Activist,63,1000,0.063
246,Careful,200,1000,0.2
246,Early adopter,7,1000,0.007
246,Fearful,89,1000,0.089
246,Homo economicus,169,1000,0.169
246,Influencer,35,1000,0.035
246,Missing,370,1000,0.37
246,None,14,1000,0.014
246,Stubborn,43,1000,0.043
246,Uninterested,10,1000,0.01
247,Activist,71,1000,0.071
247,Careful,162,1000,0.162
247,Early adopter,9,1000,0.009
247,Fearful,70,1000,0.07
247,Homo economicus,192,1000,0.192
247,Influencer,23,1000,0.023
247,Missing,400,1000,0.4
247,None,24,1000,0.024
247,Stubborn,37,1000,0.037
247,Uninterested,12,1000,0.012
248,Activist,59,1000,0.059
248,Careful,197,1000,0.197
248,Early adopter,12,1000,0.012
248,Fearful,86,1000,0.086
248,Homo economicus,166,1000,0.166
248,Influencer,29,1000,0.029
248,Missing,383,1000,0.383
248,None,19,1000,0.019
248,Stubborn,40,1000,0.04
248,Uninterested,9,1000,0.009
249,Activist,63,1000,0.063
249,Careful,159,1000,0.159
249,Early adopter,9,1000,0.009
249,Fearful,101,1000,0.101
249,Homo economicus,186,1000,0.186
249,Influencer,25,1000,0.025
249,Missing,383,1000,0.383
249,None,12,1000,0.012
249,Stubborn,47,1000,0.047
249,Uninterested,15,1000,0.015
250,Activist,72,1000,0.072
250,Careful,173,1000,0.173
250,Early adopter,9,1000,0.009
250,Fearful,85,1000,0.085
250,Homo economicus,168,1000,0.168
250,Influencer,17,1000,0.017
250,Missing,390,1000,0.39
250,None,20,1000,0.02
250,Stubborn,50,1000,0.05
250,Uninterested,16,1000,0.016
251,Activist,79,1000,0.079
251,Careful,186,1000,0.186
251,Early adopter,10,1000,0.01
251,Fearful,92,1000,0.092
251,Homo economicus,172,1000,0.172
251,Influencer,18,1000,0.018
251,Missing,372,1000,0.372
251,None,16,1000,0.016
251,Stubborn,41,1000,0.041
251,Uninterested,14,1000,0.014
252,Activist,80,1000,0.08
252,Careful,172,1000,0.172
252,Early adopter,7,1000,0.007
252,Fearful,89,1000,0.089
252,Homo economicus,167,1000,0.167
252,Influencer,33,1000,0.033
252,Missing,377,1000,0.377
252,None,15,1000,0.015
252,Stubborn,52,1000,0.052
252,Uninterested,8,1000,0.008
253,Activist,72,1000,0.072
253,Careful,175,1000,0.175
253,Early adopter,5,1000,0.005
253,Fearful,91,1000,0.091
253,Homo economicus,189,1000,0.189
253,Influencer,22,1000,0.022
253,Missing,372,1000,0.372
253,None,21,1000,0.021
253,Stubborn,32,1000,0.032
253,Uninterested,21,1000,0.021
254,Activist,66,1000,0.066
254,Careful,180,1000,0.18
254,Early adopter,6,1000,0.006
254,Fearful,74,1000,0.074
254,Homo economicus,175,1000,0.175
254,Influencer,28,1000,0.028
254,Missing,394,1000,0.394
254,None,20,1000,0.02
254,Stubborn,42,1000,0.042
254,Uninterested,15,1000,0.015
255,Activist,70,1000,0.07
255,Careful,177,1000,0.177
255,Early adopter,12,1000,0.012
255,Fearful,101,1000,0.101
255,Homo economicus,159,1000,0.159
255,Influencer,27,1000,0.027
255,Missing,383,1000,0.383
255,None,13,1000,0.013
255,Stubborn,43,1000,0.043
255,Uninterested,15,1000,0.015
256,Activist,71,1000,0.071
256,Careful,213,1000,0.213
256,Early adopter,4,1000,0.004
256,Fearful,80,1000,0.08
256,Homo economicus,152,1000,0.152
256,Influencer,28,1000,0.028
256,Missing,383,1000,0.383
256,None,7,1000,0.007
256,Stubborn,48,1000,0.048
256,Uninterested,14,1000,0.014
257,Activist,78,1000,0.078
257,Careful,194,1000,0.194
257,Early adopter,8,1000,0.008
257,Fearful,80,1000,0.08
257,Homo economicus,163,1000,0.163
257,Influencer,25,1000,0.025
257,Missing,388,1000,0.388
257,None,18,1000,0.018
257,Stubborn,28,1000,0.028
257,Uninterested,18,1000,0.018
258,Activist,77,1000,0.077
258,Careful,192,1000,0.192
258,Early adopter,7,1000,0.007
258,Fearful,91,1000,0.091
258,Homo economicus,162,1000,0.162
258,Influencer,26,1000,0.026
258,Missing,383,1000,0.383
258,None,16,1000,0.016
258,Stubborn,33,1000,0.033
258,Uninterested,13,1000,0.013
259,Activist,64,1000,0.064
259,Careful,186,1000,0.186
259,Early adopter,10,1000,0.01
259,Fearful,96,1000,0.096
259,Homo economicus,180,1000,0.18
259,Influencer,22,1000,0.022
259,Missing,365,1000,0.365
259,None,13,1000,0.013
259,Stubborn,46,1000,0.046
259,Uninterested,18,1000,0.018
260,Activist,72,1000,0.072
260,Careful,181,1000,0.181
260,Early adopter,9,1000,0.009
260,Fearful,83,1000,0.083
260,Homo economicus,173,1000,0.173
260,Influencer,24,1000,0.024
260,Missing,381,1000,0.381
260,None,21,1000,0.021
260,Stubborn,46,1000,0.046
260,Uninterested,10,1000,0.01
261,Activist,74,1000,0.074
261,Careful,191,1000,0.191
261,Early adopter,7,1000,0.007
261,Fearful,78,1000,0.078
261,Homo economicus,150,1000,0.15
261,Influencer,31,1000,0.031
261,Missing,379,1000,0.379
261,None,22,1000,0.022
261,Stubborn,48,1000,0.048
261,Uninterested,20,1000,0.02
262,Activist,69,1000,0.069
262,Careful,191,1000,0.191
262,Early adopter,5,1000,0.005
262,Fearful,93,1000,0.093
262,Homo economicus,159,1000,0.159
262,Influencer,17,1000,0.017
262,Missing,387,1000,0.387
262,None,20,1000,0.02
262,Stubborn,42,1000,0.042
262,Uninterested,17,1000,0.017
263,Activist,57,1000,0.057
263,Careful,211,1000,0.211
263,Early adopter,5,1000,0.005
263,Fearful,98,1000,0.098
263,Homo economicus,174,1000,0.174
263,Influencer,14,1000,0.014
263,Missing,373,1000,0.373
263,None,13,1000,0.013
263,Stubborn,41,1000,0.041
263,Uninterested,14,1000,0.014
264,Activist,71,1000,0.071
264,Careful,171,1000,0.171
264,Early adopter,9,1000,0.009
264,Fearful,82,1000,0.082
264,Homo economicus,162,1000,0.162
264,Influencer,40,1000,0.04
264,Missing,391,1000,0.391
264,None,13,1000,0.013
264,Stubborn,41,1000,0.041
264,Uninterested,20,1000,0.02
265,Activist,68,1000,0.068
265,Careful,190,1000,0.19
265,Early adopter,8,1000,0.008
265,Fearful,92,1000,0.092
265,Homo economicus,168,1000,0.168
265,Influencer,28,1000,0.028
265,Missing,381,1000,0.381
265,None,8,1000,0.008
265,Stubborn,37,1000,0.037
265,Uninterested,20,1000,0.02
266,Activist,79,1000,0.079
266,Careful,166,1000,0.166
266,Early adopter,9,1000,0.009
266,Fearful,77,1000,0.077
266,Homo economicus,189,1000,0.189
266,Influencer,30,1000,0.03
266,Missing,378,1000,0.378
266,None,14,1000,0.014
266,Stubborn,42,1000,0.042
266,Uninterested,16,1000,0.016
267,Activist,89,1000,0.089
267,Careful,163,1000,0.163
267,Early adopter,10,1000,0.01
267,Fearful,88,1000,0.088
267,Homo economicus,179,1000,0.179
267,Influencer,24,1000,0.024
267,Missing,377,1000,0.377
267,None,17,1000,0.017
267,Stubborn,40,1000,0.04
267,Uninterested,13,1000,0.013
268,Activist,71,1000,0.071
268,Careful,178,1000,0.178
268,Early adopter,6,1000,0.006
268,Fearful,80,1000,0.08
268,Homo economicus,183,1000,0.183
268,Influencer,30,1000,0.03
268,Missing,373,1000,0.373
268,None,12,1000,0.012
268,Stubborn,51,1000,0.051
268,Uninterested,16,1000,0.016
269,Activist,72,1000,0.072
269,Careful,200,1000,0.2
269,Early adopter,9,1000,0.009
269,Fearful,67,1000,0.067
269,Homo economicus,188,1000,0.188
269,Influencer,33,1000,0.033
269,Missing,370,1000,0.37
269,None,10,1000,0.01
269,Stubborn,33,1000,0.033
269,Uninterested,18,1000,0.018
270,Activist,77,1000,0.077
270,Careful,188,1000,0.188
270,Early adopter,4,1000,0.004
270,Fearful,90,1000,0.09
270,Homo economicus,168,1000,0.168
270,Influencer,26,1000,0.026
270,Missing,372,1000,0.372
270,None,12,1000,0.012
270,Stubborn,49,1000,0.049
270,Uninterested,14,1000,0.014
271,Activist,73,1000,0.073
271,Careful,171,1000,0.171
271,Early adopter,5,1000,0.005
271,Fearful,103,1000,0.103
271,Homo economicus,163,1000,0.163
271,Influencer,23,1000,0.023
271,Missing,387,1000,0.387
271,None,16,1000,0.016
271,Stubborn,44,1000,0.044
271,Uninterested,15,1000,0.015
272,Activist,70,1000,0.07
272,Careful,177,1000,0.177
272,Early adopter,5,1000,0.005
272,Fearful,87,1000,0.087
272,Homo economicus,177,1000,0.177
272,Influencer,32,1000,0.032
272,Missing,373,1000,0.373
272,None,16,1000,0.016
272,Stubborn,45,1000,0.045
272,Uninterested,18,1000,0.018
273,Activist,62,1000,0.062
273,Careful,191,1000,0.191
273,Early adopter,4,1000,0.004
273,Fearful,101,1000,0.101
273,Homo economicus,154,1000,0.154
273,Influencer,35,1000,0.035
273,Missing,390,1000,0.39
273,None,9,1000,0.009
273,Stubborn,39,1000,0.039
273,Uninterested,15,1000,0.015
274,Activist,76,1000,0.076
274,Careful,178,1000,0.178
274,Early adopter,7,1000,0.007
274,Fearful,84,1000,0.084
274,Homo economicus,177,1000,0.177
274,Influencer,26,1000,0.026
274,Missing,383,1000,0.383
274,None,12,1000,0.012
274,Stubborn,45,1000,0.045
274,Uninterested,12,1000,0.012
275,Activist,59,1000,0.059
275,Careful,165,1000,0.165
275,Early adopter,7,1000,0.007
275,Fearful,96,1000,0.096
275,Homo economicus,196,1000,0.196
275,Influencer,31,1000,0.031
275,Missing,381,1000,0.381
275,None,18,1000,0.018
275,Stubborn,35,1000,0.035
275,Uninterested,12,1000,0.012
276,Activist,75,1000,0.075
276,Careful,164,1000,0.164
276,Early adopter,10,1000,0.01
276,Fearful,101,1000,0.101
276,Homo economicus,174,1000,0.174
276,Influencer,22,1000,0.022
276,Missing,380,1000,0.38
276,None,14,1000,0.014
276,Stubborn,46,1000,0.046
276,Uninterested,14,1000,0.014
277,Activist,87,1000,0.087
277,Careful,169,1000,0.169
277,Early adopter,7,1000,0.007
277,Fearful,96,1000,0.096
277,Homo economicus,186,1000,0.186
277,Influencer,23,1000,0.023
277,Missing,374,1000,0.374
277,None,6,1000,0.006
277,Stubborn,39,1000,0.039
277,Uninterested,13,1000,0.013
278,Activist,63,1000,0.063
278,Careful,184,1000,0.184
278,Early adopter,4,1000,0.004
278,Fearful,84,1000,0.084
278,Homo economicus,178,1000,0.178
278,Influencer,30,1000,0.03
278,Missing,371,1000,0.371
278,None,19,1000,0.019
278,Stubborn,52,1000,0.052
278,Uninterested,15,1000,0.015
279,Activist,80,1000,0.08
279,Careful,181,1000,0.181
279,Early adopter,8,1000,0.008
279,Fearful,92,1000,0.092
279,Homo economicus,167,1000,0.167
279,Influencer,26,1000,0.026
279,Missing,365,1000,0.365
279,None,16,1000,0.016
279,Stubborn,50,1000,0.05
279,Uninterested,15,1000,0.015
280,Activist,68,1000,0.068
280,Careful,194,1000,0.194
280,Early adopter,8,1000,0.008
280,Fearful,100,1000,0.1
280,Homo economicus,164,1000,0.164
280,Influencer,28,1000,0.028
280,Missing,388,1000,0.388
280,None,7,1000,0.007
280,Stubborn,30,1000,0.03
280,Uninterested,13,1000,0.013
281,Activist,74,1000,0.074
281,Careful,199,1000,0.199
281,Early adopter,5,1000,0.005
281,Fearful,82,1000,0.082
281,Homo economicus,156,1000,0.156
281,Influencer,28,1000,0.028
281,Missing,384,1000,0.384
281,None,16,1000,0.016
281,Stubborn,45,1000,0.045
281,Uninterested,11,1000,0.011
282,Activist,68,1000,0.068
282,Careful,171,1000,0.171
282,Early adopter,8,1000,0.008
282,Fearful,90,1000,0.09
282,Homo economicus,182,1000,0.182
282,Influencer,28,1000,0.028
282,Missing,388,1000,0.388
282,None,12,1000,0.012
282,Stubborn,42,1000,0.042
282,Uninterested,11,1000,0.011
283,Activist,73,1000,0.073
283,Careful,165,1000,0.165
283,Early adopter,9,1000,0.009
283,Fearful,74,1000,0.074
283,Homo economicus,181,1000,0.181
283,Influencer,25,1000,0.025
283,Missing,392,1000,0.392
283,None,22,1000,0.022
283,Stubborn,46,1000,0.046
283,Uninterested,13,1000,0.013
284,Activist,77,1000,0.077
284,Careful,192,1000,0.192
284,Early adopter,6,1000,0.006
284,Fearful,93,1000,0.093
284,Homo economicus,155,1000,0.155
284,Influencer,26,1000,0.026
284,Missing,384,1000,0.384
284,None,17,1000,0.017
284,Stubborn,38,1000,0.038
284,Uninterested,12,1000,0.012
285,Activist,66,1000,0.066
285,Careful,167,1000,0.167
285,Early adopter,6,1000,0.006
285,Fearful,76,1000,0.076
285,Homo economicus,195,1000,0.195
285,Influencer,23,1000,0.023
285,Missing,389,1000,0.389
285,None,13,1000,0.013
285,Stubborn,43,1000,0.043
285,Uninterested,22,1000,0.022
286,Activist,63,1000,0.063
286,Careful,172,1000,0.172
286,Early adopter,3,1000,0.003
286,Fearful,84,1000,0.084
286,Homo economicus,186,1000,0.186
286,Influencer,31,1000,0.031
286,Missing,366,1000,0.366
286,None,21,1000,0.021
286,Stubborn,56,1000,0.056
286,Uninterested,18,1000,0.018
287,Activist,78,1000,0.078
287,Careful,188,1000,0.188
287,Early adopter,7,1000,0.007
287,Fearful,81,1000,0.081
287,Homo economicus,154,1000,0.154
287,Influencer,30,1000,0.03
287,Missing,385,1000,0.385
287,None,14,1000,0.014
287,Stubborn,45,1000,0.045
287,Uninterested,18,1000,0.018
288,Activist,75,1000,0.075
288,Careful,170,1000,0.17
288,Early adopter,5,1000,0.005
288,Fearful,84,1000,0.084
288,Homo economicus,183,1000,0.183
288,Influencer,31,1000,0.031
288,Missing,386,1000,0.386
288,None,19,1000,0.019
288,Stubborn,42,1000,0.042
288,Uninterested,5,1000,0.005
289,Activist,79,1000,0.079
289,Careful,171,1000,0.171
289,Early adopter,8,1000,0.008
289,Fearful,79,1000,0.079
289,Homo economicus,181,1000,0.181
289,Influencer,32,1000,0.032
289,Missing,380,1000,0.38
289,None,16,1000,0.016
289,Stubborn,39,1000,0.039
289,Uninterested,15,1000,0.015
290,Activist,50,1000,0.05
290,Careful,186,1000,0.186
290,Early adopter,3,1000,0.003
290,Fearful,102,1000,0.102
290,Homo economicus,188,1000,0.188
290,Influencer,27,1000,0.027
290,Missing,380,1000,0.38
290,None,16,1000,0.016
290,Stubborn,37,1000,0.037
290,Uninterested,11,1000,0.011
291,Activist,61,1000,0.061
291,Careful,161,1000,0.161
291,Early adopter,12,1000,0.012
291,Fearful,96,1000,0.096
291,Homo economicus,171,1000,0.171
291,Influencer,30,1000,0.03
291,Missing,396,1000,0.396
291,None,20,1000,0.02
291,Stubborn,39,1000,0.039
291,Uninterested,14,1000,0.014
292,Activist,65,1000,0.065
292,Careful,185,1000,0.185
292,Early adopter,5,1000,0.005
292,Fearful,99,1000,0.099
292,Homo economicus,176,1000,0.176
292,Influencer,31,1000,0.031
292,Missing,382,1000,0.382
292,None,14,1000,0.014
292,Stubborn,27,1000,0.027
292,Uninterested,16,1000,0.016
293,Activist,79,1000,0.079
293,Careful,183,1000,0.183
293,Early adopter,10,1000,0.01
293,Fearful,70,1000,0.07
293,Homo economicus,176,1000,0.176
293,Influencer,30,1000,0.03
293,Missing,384,1000,0.384
293,None,10,1000,0.01
293,Stubborn,45,1000,0.045
293,Uninterested,13,1000,0.013
294,Activist,72,1000,0.072
294,Careful,176,1000,0.176
294,Early adopter,10,1000,0.01
294,Fearful,82,1000,0.082
294,Homo economicus,176,1000,0.176
294,Influencer,19,1000,0.019
294,Missing,383,1000,0.383
294,None,17,1000,0.017
294,Stubborn,41,1000,0.041
294,Uninterested,24,1000,0.024
295,Activist,61,1000,0.061
295,Careful,175,1000,0.175
295,Early adopter,9,1000,0.009
295,Fearful,89,1000,0.089
295,Homo economicus,172,1000,0.172
295,Influencer,32,1000,0.032
295,Missing,391,1000,0.391
295,None,15,1000,0.015
295,Stubborn,41,1000,0.041
295,Uninterested,15,1000,0.015
296,Activist,65,1000,0.065
296,Careful,168,1000,0.168
296,Early adopter,8,1000,0.008
296,Fearful,93,1000,0.093
296,Homo economicus,163,1000,0.163
296,Influencer,23,1000,0.023
296,Missing,397,1000,0.397
296,None,15,1000,0.015
296,Stubborn,50,1000,0.05
296,Uninterested,18,1000,0.018
297,Activist,56,1000,0.056
297,Careful,186,1000,0.186
297,Early adopter,9,1000,0.009
297,Fearful,74,1000,0.074
297,Homo economicus,199,1000,0.199
297,Influencer,28,1000,0.028
297,Missing,374,1000,0.374
297,None,15,1000,0.015
297,Stubborn,47,1000,0.047
297,Uninterested,12,1000,0.012
298,Activist,76,1000,0.076
298,Careful,188,1000,0.188
298,Early adopter,9,1000,0.009
298,Fearful,87,1000,0.087
298,Homo economicus,169,1000,0.169
298,Influencer,21,1000,0.021
298,Missing,379,1000,0.379
298,None,17,1000,0.017
298,Stubborn,39,1000,0.039
298,Uninterested,15,1000,0.015
299,Activist,85,1000,0.085
299,Careful,174,1000,0.174
299,Early adopter,10,1000,0.01
299,Fearful,87,1000,0.087
299,Homo economicus,177,1000,0.177
299,Influencer,25,1000,0.025
299,Missing,370,1000,0.37
299,None,20,1000,0.02
