analysis_sample,matrix_name,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
LATAM,matrix_32_raw_0_1,KM5,EFA2,40,15,8,6,40,75,35.294117647058826,det_03_risk_profile; det_07_legal; det_09_safety; det_11_knowledge; det_17_adherence; det_21_rights_and_duties
LATAM,matrix_32_raw_0_1,KM6,EFA5,50,8,8,4,50,50,33.333333333333336,det_09_safety; det_12_own_competence; det_15_self_satisfaction; det_19_wellbeing
LATAM,matrix_32_pos_0_1,KM1,EFA6,14.285714285714286,14,8,2,14.285714285714286,25,10,det_09_safety; det_18_autonomy
LATAM,matrix_32_pos_0_1,KM2,EFA4,50,12,8,6,50,75,42.857142857142854,det_07_legal; det_08_trust; det_11_knowledge; det_12_own_competence; det_17_adherence; det_21_rights_and_duties
LATAM,matrix_32_pos_0_1,KM3,EFA1,87.5,8,8,7,87.5,87.5,77.77777777777777,det_01_profits; det_02_credit_score; det_05_frugality; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
LATAM,matrix_32_pos_0_1,KM4,EFA3,30.76923076923077,13,8,4,30.76923076923077,50,23.529411764705884,det_06_climate_protection; det_13_technical_fit; det_14_environmental_concerns; det_17_adherence
LATAM,matrix_32_pos_0_1,KM5,EFA2,8.333333333333334,12,8,1,8.333333333333334,12.5,5.2631578947368425,det_26_novelty
LATAM,matrix_32_pos_0_1,KM6,EFA5,66.66666666666667,9,8,6,66.66666666666667,75,54.54545454545455,det_01_profits; det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness
LATAM,matrix_32_ext_0_1,KM1,EFA1,75,8,8,6,75,75,60,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
LATAM,matrix_32_ext_0_1,KM2,EFA6,50,8,8,4,50,50,33.333333333333336,det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence
