analysis_sample,determinant,n_pos_ge_MAX,n_ext_ge_threshold,mean_raw_0_100,sd_raw_0_100,prop_pos_ge_MAX,prop_ext_ge_threshold
DIEGO,det_06_climate_protection,1168,827,56.39962865271151,25.9140990179083,0.6150605581885202,0.43549236440231703
DIEGO,det_07_legal,1045,775,53.175362629111625,25.8185054835189,0.55028962611901,0.4081095313322802
DIEGO,det_08_trust,1415,925,64.94346888079416,23.99296910791766,0.7451290152711953,0.48709847288046343
DIEGO,det_09_safety,1216,837,58.42589138600208,25.55720324602105,0.640337019483939,0.44075829383886256
DIEGO,det_10_cost_efficiency,1304,850,61.27203252604251,24.750728384514534,0.6866771985255398,0.4476040021063718
DIEGO,det_11_knowledge,1428,868,65.02310101100834,22.972119682410668,0.7519747235387045,0.4570826750921538
DIEGO,det_12_own_competence,1140,808,55.68580346045974,25.725703114461336,0.6003159557661928,0.42548709847288047
DIEGO,det_13_technical_fit,1251,842,59.76802892103378,25.345948787272555,0.6587677725118484,0.44339125855713535
DIEGO,det_14_environmental_concerns,1339,857,62.130030108122234,24.23841589830109,0.7051079515534492,0.45129015271195366
DIEGO,det_15_self_satisfaction,1402,927,64.95169213624837,23.982588307858173,0.7382833070036862,0.4881516587677725
DIEGO,det_16_commitment,1455,928,66.71424212589407,22.826162089846825,0.7661927330173776,0.4886782517114271
DIEGO,det_17_adherence,1496,962,68.26215939770827,22.497381388781903,0.7877830437072143,0.506582411795682
DIEGO,det_18_autonomy,1093,756,54.39847076343984,25.24388331246538,0.5755660874144286,0.3981042654028436
DIEGO,det_19_wellbeing,1129,839,55.87660347592913,26.570597099977743,0.5945234333859927,0.4418114797261717
DIEGO,det_20_coziness,1033,750,53.55450724802869,25.587204119582783,0.5439705107951553,0.3949447077409163
DIEGO,det_21_rights_and_duties,1119,793,55.564957168907554,25.9167168787169,0.5892575039494471,0.41758820431806215
DIEGO,det_22_peer_pressure,682,934,40.98944526579481,26.687322694335503,0.3591363875724065,0.4918378093733544
DIEGO,det_23_support,760,858,43.92300742525834,26.46676754600276,0.4002106371774618,0.4518167456556082
DIEGO,det_24_socialising,747,879,42.91523602480007,26.367694526106103,0.3933649289099526,0.4628751974723539
DIEGO,det_25_agreement,817,853,45.489179898968736,26.626136926252705,0.43022643496577145,0.44918378093733546
DIEGO,det_26_novelty,1205,880,58.488628157973686,26.100620637498118,0.6345444971037388,0.46340179041600843
DIEGO,det_27_fun,1137,879,55.46657695882176,26.813151312556588,0.5987361769352291,0.4628751974723539
DIEGO,det_28_recognition,567,954,37.45878970113973,25.853563378776464,0.2985781990521327,0.5023696682464455
DIEGO,det_29_trends,508,956,35.52172484118287,24.607440210188496,0.26750921537651395,0.5034228541337546
DIEGO,det_30_authority,727,819,43.107976736364016,25.78416390011841,0.3828330700368615,0.4312796208530806
DIEGO,det_31_approval,532,958,35.86141312168565,24.898583081188143,0.28014744602422326,0.5044760400210637
DIEGO,det_32_own_significance,1335,863,62.80159706708069,24.28401839758651,0.7030015797788309,0.454449710373881
RENOVISOR,det_01_profits,644,374,61.85346756152132,23.545524374830396,0.7203579418344519,0.41834451901565994
RENOVISOR,det_02_credit_score,672,446,65.02796420581656,24.78449784822888,0.7516778523489933,0.4988814317673378
RENOVISOR,det_03_risk_profile,717,378,66.0939597315436,20.53168167189653,0.802013422818792,0.4228187919463087
RENOVISOR,det_04_added_value,663,288,60.586129753914996,20.31920158317119,0.7416107382550335,0.3221476510067114
RENOVISOR,det_05_frugality,643,362,62.10850111856821,22.112520848287684,0.7192393736017897,0.40492170022371365
RENOVISOR,det_06_climate_protection,683,414,63.85682326621929,23.515349002752426,0.7639821029082774,0.46308724832214765
RENOVISOR,det_07_legal,763,528,74.11409395973158,21.890452147061932,0.8534675615212528,0.5906040268456376
RENOVISOR,det_08_trust,789,526,73.01118568232661,20.103536265371297,0.8825503355704698,0.5883668903803132
RENOVISOR,det_09_safety,780,467,72.3165548098434,20.31221629971755,0.87248322147651,0.5223713646532439
RENOVISOR,det_10_cost_efficiency,817,578,77.0212527964206,18.65321519070055,0.9138702460850112,0.6465324384787472
RENOVISOR,det_11_knowledge,838,616,79.23937360178972,17.136000820823494,0.9373601789709173,0.6890380313199105
RENOVISOR,det_12_own_competence,696,382,64.10850111856821,21.73216985221311,0.7785234899328859,0.4272930648769575
RENOVISOR,det_13_technical_fit,814,490,74.59395973154362,17.887717713483106,0.9105145413870246,0.5480984340044742
RENOVISOR,det_14_environmental_concerns,719,421,66.32326621923934,22.157978450858547,0.8042505592841164,0.470917225950783
RENOVISOR,det_15_self_satisfaction,817,473,73.13310961968679,17.860764206668218,0.9138702460850112,0.529082774049217
RENOVISOR,det_16_commitment,799,385,70.48322147651008,17.560876305598946,0.8937360178970917,0.4306487695749441
