analysis_sample,weighting,method,matrix_name,matrix,d_hamming,prototype,incremental_covered_pct,cumulative_covered_pct,center_signature_size,center_active_determinants
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,3,5,3.0991071428571613,28.19074404761914,13,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,4,5,4.245744047619027,36.55622023809545,13,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,5,5,5.3839285714285445,43.33735119047658,13,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,6,5,7.106547619047702,51.26803571428629,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,7,5,5.089434523809541,64.03895833333284,8,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_23_support
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,8,5,4.977321428571395,71.2591666666659,8,det_01_profits; det_02_credit_score; det_05_frugality; det_07_legal; det_11_knowledge; det_21_rights_and_duties; det_23_support; det_26_novelty
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,9,5,5.2789583333333026,79.28127976190396,8,det_01_profits; det_02_credit_score; det_05_frugality; det_07_legal; det_11_knowledge; det_21_rights_and_duties; det_23_support; det_26_novelty
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,10,5,4.96,86.75946428571328,8,det_01_profits; det_02_credit_score; det_05_frugality; det_07_legal; det_11_knowledge; det_21_rights_and_duties; det_23_support; det_26_novelty
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,0,6,0.39577380952381136,4.635000000000027,12,det_07_legal; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,1,6,0.5257142857142884,8.871875000000053,10,det_07_legal; det_22_peer_pressure; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,2,6,2.1289880952381086,20.573273809523915,13,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,3,6,1.7800595238095345,29.97080357142868,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,4,6,2.273898809523823,38.83011904761927,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,5,6,3.2366369047619235,46.573988095238505,8,det_01_profits; det_02_credit_score; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,6,6,4.680684523809536,55.948720238095824,8,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_23_support
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,7,6,3.0890178571428986,67.12797619047574,8,det_01_profits; det_02_credit_score; det_05_frugality; det_07_legal; det_11_knowledge; det_21_rights_and_duties; det_23_support; det_26_novelty
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,8,6,7.993184523809487,79.2523511904754,8,det_04_added_value; det_07_legal; det_09_safety; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,9,6,7.252976190476088,86.53425595238004,8,det_04_added_value; det_07_legal; det_09_safety; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,10,6,5.516874999999985,92.27633928571326,9,det_04_added_value; det_07_legal; det_09_safety; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_25_agreement
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,0,7,0.37404761904762085,5.009047619047648,8,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,1,7,1.2404166666666738,10.112291666666724,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,2,7,1.1027380952381014,21.676011904762017,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,3,7,1.622589285714297,31.593392857142973,9,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,4,7,2.46461309523811,41.294732142857384,8,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,5,7,2.895744047619066,49.46973214285757,8,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_23_support
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,6,7,2.440238095238128,58.38895833333395,8,det_01_profits; det_02_credit_score; det_05_frugality; det_07_legal; det_11_knowledge; det_21_rights_and_duties; det_23_support; det_26_novelty
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,7,7,7.762023809523747,74.88999999999949,8,det_04_added_value; det_07_legal; det_09_safety; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,8,7,3.127321428571428,82.37967261904681,9,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_18_autonomy; det_26_novelty; det_27_fun; det_30_authority
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,9,7,1.7854464285714473,88.31970238095148,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_04_added_value; det_05_frugality; det_07_legal; det_10_cost_efficiency; det_12_own_competence; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_23_support; det_26_novelty; det_27_fun
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,10,7,0.2216666666666679,92.49800595237994,15,det_04_added_value; det_05_frugality; det_06_climate_protection; det_07_legal; det_08_trust; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_14_environmental_concerns; det_21_rights_and_duties; det_22_peer_pressure; det_23_support; det_29_trends; det_30_authority; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,0,8,0.35017857142857306,5.35922619047622,13,det_07_legal; det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,1,8,0.555000000000003,10.667291666666728,12,det_07_legal; det_11_knowledge; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
