bootstrap_id,country_code,n_draws_country,n_draw_country,correct_country_size
144,CO,13,13,TRUE
144,MX,517,517,TRUE
145,CL,78,78,TRUE
145,CO,13,13,TRUE
145,MX,517,517,TRUE
146,CL,78,78,TRUE
146,CO,13,13,TRUE
146,MX,517,517,TRUE
147,CL,78,78,TRUE
147,CO,13,13,TRUE
147,MX,517,517,TRUE
148,CL,78,78,TRUE
148,CO,13,13,TRUE
148,MX,517,517,TRUE
149,CL,78,78,TRUE
149,CO,13,13,TRUE
149,MX,517,517,TRUE
150,CL,78,78,TRUE
150,CO,13,13,TRUE
150,MX,517,517,TRUE
151,CL,78,78,TRUE
151,CO,13,13,TRUE
151,MX,517,517,TRUE
152,CL,78,78,TRUE
152,CO,13,13,TRUE
152,MX,517,517,TRUE
153,CL,78,78,TRUE
153,CO,13,13,TRUE
153,MX,517,517,TRUE
154,CL,78,78,TRUE
154,CO,13,13,TRUE
154,MX,517,517,TRUE
155,CL,78,78,TRUE
155,CO,13,13,TRUE
155,MX,517,517,TRUE
156,CL,78,78,TRUE
156,CO,13,13,TRUE
156,MX,517,517,TRUE
157,CL,78,78,TRUE
157,CO,13,13,TRUE
157,MX,517,517,TRUE
158,CL,78,78,TRUE
158,CO,13,13,TRUE
158,MX,517,517,TRUE
159,CL,78,78,TRUE
159,CO,13,13,TRUE
159,MX,517,517,TRUE
160,CL,78,78,TRUE
160,CO,13,13,TRUE
160,MX,517,517,TRUE
161,CL,78,78,TRUE
161,CO,13,13,TRUE
161,MX,517,517,TRUE
162,CL,78,78,TRUE
162,CO,13,13,TRUE
162,MX,517,517,TRUE
163,CL,78,78,TRUE
163,CO,13,13,TRUE
163,MX,517,517,TRUE
164,CL,78,78,TRUE
164,CO,13,13,TRUE
164,MX,517,517,TRUE
165,CL,78,78,TRUE
165,CO,13,13,TRUE
165,MX,517,517,TRUE
166,CL,78,78,TRUE
166,CO,13,13,TRUE
166,MX,517,517,TRUE
167,CL,78,78,TRUE
167,CO,13,13,TRUE
167,MX,517,517,TRUE
168,CL,78,78,TRUE
168,CO,13,13,TRUE
168,MX,517,517,TRUE
169,CL,78,78,TRUE
169,CO,13,13,TRUE
169,MX,517,517,TRUE
170,CL,78,78,TRUE
170,CO,13,13,TRUE
170,MX,517,517,TRUE
171,CL,78,78,TRUE
171,CO,13,13,TRUE
171,MX,517,517,TRUE
172,CL,78,78,TRUE
172,CO,13,13,TRUE
172,MX,517,517,TRUE
173,CL,78,78,TRUE
173,CO,13,13,TRUE
173,MX,517,517,TRUE
174,CL,78,78,TRUE
174,CO,13,13,TRUE
174,MX,517,517,TRUE
175,CL,78,78,TRUE
175,CO,13,13,TRUE
175,MX,517,517,TRUE
176,CL,78,78,TRUE
176,CO,13,13,TRUE
176,MX,517,517,TRUE
177,CL,78,78,TRUE
177,CO,13,13,TRUE
177,MX,517,517,TRUE
178,CL,78,78,TRUE
178,CO,13,13,TRUE
178,MX,517,517,TRUE
179,CL,78,78,TRUE
179,CO,13,13,TRUE
179,MX,517,517,TRUE
180,CL,78,78,TRUE
180,CO,13,13,TRUE
180,MX,517,517,TRUE
181,CL,78,78,TRUE
181,CO,13,13,TRUE
181,MX,517,517,TRUE
182,CL,78,78,TRUE
182,CO,13,13,TRUE
182,MX,517,517,TRUE
183,CL,78,78,TRUE
183,CO,13,13,TRUE
183,MX,517,517,TRUE
184,CL,78,78,TRUE
184,CO,13,13,TRUE
184,MX,517,517,TRUE
185,CL,78,78,TRUE
185,CO,13,13,TRUE
185,MX,517,517,TRUE
186,CL,78,78,TRUE
186,CO,13,13,TRUE
186,MX,517,517,TRUE
187,CL,78,78,TRUE
187,CO,13,13,TRUE
187,MX,517,517,TRUE
188,CL,78,78,TRUE
188,CO,13,13,TRUE
188,MX,517,517,TRUE
189,CL,78,78,TRUE
189,CO,13,13,TRUE
189,MX,517,517,TRUE
190,CL,78,78,TRUE
190,CO,13,13,TRUE
190,MX,517,517,TRUE
191,CL,78,78,TRUE
191,CO,13,13,TRUE
191,MX,517,517,TRUE
192,CL,78,78,TRUE
192,CO,13,13,TRUE
192,MX,517,517,TRUE
193,CL,78,78,TRUE
193,CO,13,13,TRUE
193,MX,517,517,TRUE
194,CL,78,78,TRUE
194,CO,13,13,TRUE
194,MX,517,517,TRUE
195,CL,78,78,TRUE
195,CO,13,13,TRUE
195,MX,517,517,TRUE
196,CL,78,78,TRUE
196,CO,13,13,TRUE
196,MX,517,517,TRUE
197,CL,78,78,TRUE
197,CO,13,13,TRUE
197,MX,517,517,TRUE
198,CL,78,78,TRUE
198,CO,13,13,TRUE
198,MX,517,517,TRUE
199,CL,78,78,TRUE
199,CO,13,13,TRUE
199,MX,517,517,TRUE
200,CL,78,78,TRUE
200,CO,13,13,TRUE
200,MX,517,517,TRUE
201,CL,78,78,TRUE
201,CO,13,13,TRUE
201,MX,517,517,TRUE
202,CL,78,78,TRUE
202,CO,13,13,TRUE
202,MX,517,517,TRUE
203,CL,78,78,TRUE
203,CO,13,13,TRUE
203,MX,517,517,TRUE
204,CL,78,78,TRUE
204,CO,13,13,TRUE
204,MX,517,517,TRUE
205,CL,78,78,TRUE
205,CO,13,13,TRUE
205,MX,517,517,TRUE
206,CL,78,78,TRUE
206,CO,13,13,TRUE
206,MX,517,517,TRUE
207,CL,78,78,TRUE
207,CO,13,13,TRUE
207,MX,517,517,TRUE
208,CL,78,78,TRUE
208,CO,13,13,TRUE
208,MX,517,517,TRUE
209,CL,78,78,TRUE
209,CO,13,13,TRUE
209,MX,517,517,TRUE
210,CL,78,78,TRUE
210,CO,13,13,TRUE
210,MX,517,517,TRUE
211,CL,78,78,TRUE
211,CO,13,13,TRUE
211,MX,517,517,TRUE
212,CL,78,78,TRUE
212,CO,13,13,TRUE
212,MX,517,517,TRUE
213,CL,78,78,TRUE
213,CO,13,13,TRUE
213,MX,517,517,TRUE
214,CL,78,78,TRUE
214,CO,13,13,TRUE
214,MX,517,517,TRUE
215,CL,78,78,TRUE
215,CO,13,13,TRUE
215,MX,517,517,TRUE
216,CL,78,78,TRUE
216,CO,13,13,TRUE
216,MX,517,517,TRUE
217,CL,78,78,TRUE
217,CO,13,13,TRUE
217,MX,517,517,TRUE
218,CL,78,78,TRUE
218,CO,13,13,TRUE
218,MX,517,517,TRUE
219,CL,78,78,TRUE
219,CO,13,13,TRUE
