analysis_sample,matrix,comparison,metric,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants,greater_than_50,greater_or_equal_50
RENOVISOR,Z_ABS,KM_vs_EXPERTS,jaccard_pct,KM6,Activist,16.666666666666668,15,6,3,20,50,16.666666666666668,det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction,FALSE,FALSE
RENOVISOR,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,EFA1,Influencer,40,9,5,4,44.44444444444444,80,40,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,FALSE,FALSE
RENOVISOR,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,EFA5,Stubborn,33.333333333333336,9,3,3,33.333333333333336,100,33.333333333333336,det_11_knowledge; det_15_self_satisfaction; det_17_adherence,FALSE,FALSE
RENOVISOR,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,EFA2,Activist,27.272727272727273,8,6,3,37.5,50,27.272727272727273,det_08_trust; det_14_environmental_concerns; det_17_adherence,FALSE,FALSE
RENOVISOR,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,EFA6,Homo.Economicus,26.31578947368421,15,9,5,33.333333333333336,55.55555555555556,26.31578947368421,det_04_added_value; det_09_safety; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
RENOVISOR,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,EFA4,Careful,25,8,12,4,50,33.333333333333336,25,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_17_adherence,FALSE,FALSE
RENOVISOR,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,EFA3,Uninterested,16.666666666666668,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness,FALSE,FALSE
WHY_EUROPE,RAW,KM_vs_EFA,overlap_left_pct,KM2,EFA1,62.5,8,8,5,62.5,62.5,45.45454545454545,det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,TRUE,TRUE
WHY_EUROPE,RAW,KM_vs_EFA,overlap_left_pct,KM1,EFA5,61.53846153846154,13,12,8,61.53846153846154,66.66666666666667,47.05882352941177,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing,TRUE,TRUE
WHY_EUROPE,RAW,KM_vs_EFA,overlap_left_pct,KM3,EFA4,37.5,8,11,3,37.5,27.272727272727273,18.75,det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
WHY_EUROPE,RAW,KM_vs_EFA,overlap_left_pct,KM5,EFA6,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_02_credit_score; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence,FALSE,FALSE
WHY_EUROPE,RAW,KM_vs_EFA,overlap_left_pct,KM6,EFA3,25,8,8,2,25,25,14.285714285714286,det_05_frugality; det_13_technical_fit,FALSE,FALSE
WHY_EUROPE,RAW,KM_vs_EFA,overlap_left_pct,KM4,EFA2,22.22222222222222,9,8,2,22.22222222222222,25,13.333333333333334,det_11_knowledge; det_14_environmental_concerns,FALSE,FALSE
