bootstrap_id,analysis_sample,n_draws
115,WHY_EUROPE,129
115,WHY_LATAM,608
116,COMPLETE,1608
116,EUROPE,1000
116,LATAM,608
116,DIEGO,246
116,RENOVISOR,607
116,WHY_EUROPE,147
116,WHY_LATAM,608
117,COMPLETE,1608
117,EUROPE,1000
117,LATAM,608
117,DIEGO,251
117,RENOVISOR,619
117,WHY_EUROPE,130
117,WHY_LATAM,608
118,COMPLETE,1608
118,EUROPE,1000
118,LATAM,608
118,DIEGO,245
118,RENOVISOR,625
118,WHY_EUROPE,130
118,WHY_LATAM,608
119,COMPLETE,1608
119,EUROPE,1000
119,LATAM,608
119,DIEGO,239
119,RENOVISOR,623
119,WHY_EUROPE,138
119,WHY_LATAM,608
120,COMPLETE,1608
120,EUROPE,1000
120,LATAM,608
120,DIEGO,246
120,RENOVISOR,603
120,WHY_EUROPE,151
120,WHY_LATAM,608
121,COMPLETE,1608
121,EUROPE,1000
121,LATAM,608
121,DIEGO,271
121,RENOVISOR,596
121,WHY_EUROPE,133
121,WHY_LATAM,608
122,COMPLETE,1608
122,EUROPE,1000
122,LATAM,608
122,DIEGO,241
122,RENOVISOR,616
122,WHY_EUROPE,143
122,WHY_LATAM,608
123,COMPLETE,1608
123,EUROPE,1000
123,LATAM,608
123,DIEGO,238
123,RENOVISOR,630
123,WHY_EUROPE,132
123,WHY_LATAM,608
124,COMPLETE,1608
124,EUROPE,1000
124,LATAM,608
124,DIEGO,249
124,RENOVISOR,599
124,WHY_EUROPE,152
124,WHY_LATAM,608
125,COMPLETE,1608
125,EUROPE,1000
125,LATAM,608
125,DIEGO,250
125,RENOVISOR,607
125,WHY_EUROPE,143
125,WHY_LATAM,608
126,COMPLETE,1608
126,EUROPE,1000
126,LATAM,608
126,DIEGO,227
126,RENOVISOR,623
126,WHY_EUROPE,150
126,WHY_LATAM,608
127,COMPLETE,1608
127,EUROPE,1000
127,LATAM,608
127,DIEGO,244
127,RENOVISOR,618
127,WHY_EUROPE,138
127,WHY_LATAM,608
128,COMPLETE,1608
128,EUROPE,1000
128,LATAM,608
128,DIEGO,244
128,RENOVISOR,615
128,WHY_EUROPE,141
128,WHY_LATAM,608
129,COMPLETE,1608
129,EUROPE,1000
129,LATAM,608
129,DIEGO,255
129,RENOVISOR,598
129,WHY_EUROPE,147
129,WHY_LATAM,608
130,COMPLETE,1608
130,EUROPE,1000
130,LATAM,608
130,DIEGO,262
130,RENOVISOR,611
130,WHY_EUROPE,127
130,WHY_LATAM,608
131,COMPLETE,1608
131,EUROPE,1000
131,LATAM,608
131,DIEGO,238
131,RENOVISOR,616
131,WHY_EUROPE,146
131,WHY_LATAM,608
132,COMPLETE,1608
132,EUROPE,1000
132,LATAM,608
132,DIEGO,237
132,RENOVISOR,618
132,WHY_EUROPE,145
132,WHY_LATAM,608
133,COMPLETE,1608
133,EUROPE,1000
133,LATAM,608
133,DIEGO,243
133,RENOVISOR,609
133,WHY_EUROPE,148
133,WHY_LATAM,608
134,COMPLETE,1608
134,EUROPE,1000
134,LATAM,608
134,DIEGO,249
134,RENOVISOR,619
134,WHY_EUROPE,132
