bootstrap_id,analysis_sample,n_draws
98,WHY_EUROPE,136
98,WHY_LATAM,608
99,COMPLETE,1608
99,EUROPE,1000
99,LATAM,608
99,DIEGO,245
99,RENOVISOR,613
99,WHY_EUROPE,142
99,WHY_LATAM,608
100,COMPLETE,1608
100,EUROPE,1000
100,LATAM,608
100,DIEGO,261
100,RENOVISOR,602
100,WHY_EUROPE,137
100,WHY_LATAM,608
101,COMPLETE,1608
101,EUROPE,1000
101,LATAM,608
101,DIEGO,261
101,RENOVISOR,607
101,WHY_EUROPE,132
101,WHY_LATAM,608
102,COMPLETE,1608
102,EUROPE,1000
102,LATAM,608
102,DIEGO,248
102,RENOVISOR,611
102,WHY_EUROPE,141
102,WHY_LATAM,608
103,COMPLETE,1608
103,EUROPE,1000
103,LATAM,608
103,DIEGO,252
103,RENOVISOR,598
103,WHY_EUROPE,150
103,WHY_LATAM,608
104,COMPLETE,1608
104,EUROPE,1000
104,LATAM,608
104,DIEGO,277
104,RENOVISOR,596
104,WHY_EUROPE,127
104,WHY_LATAM,608
105,COMPLETE,1608
105,EUROPE,1000
105,LATAM,608
105,DIEGO,246
105,RENOVISOR,604
105,WHY_EUROPE,150
105,WHY_LATAM,608
106,COMPLETE,1608
106,EUROPE,1000
106,LATAM,608
106,DIEGO,267
106,RENOVISOR,606
106,WHY_EUROPE,127
106,WHY_LATAM,608
107,COMPLETE,1608
107,EUROPE,1000
107,LATAM,608
107,DIEGO,225
107,RENOVISOR,616
107,WHY_EUROPE,159
107,WHY_LATAM,608
108,COMPLETE,1608
108,EUROPE,1000
108,LATAM,608
108,DIEGO,250
108,RENOVISOR,613
108,WHY_EUROPE,137
108,WHY_LATAM,608
109,COMPLETE,1608
109,EUROPE,1000
109,LATAM,608
109,DIEGO,275
109,RENOVISOR,604
109,WHY_EUROPE,121
109,WHY_LATAM,608
110,COMPLETE,1608
110,EUROPE,1000
110,LATAM,608
110,DIEGO,222
110,RENOVISOR,608
110,WHY_EUROPE,170
110,WHY_LATAM,608
111,COMPLETE,1608
111,EUROPE,1000
111,LATAM,608
111,DIEGO,245
111,RENOVISOR,625
111,WHY_EUROPE,130
111,WHY_LATAM,608
112,COMPLETE,1608
112,EUROPE,1000
112,LATAM,608
112,DIEGO,245
112,RENOVISOR,614
112,WHY_EUROPE,141
112,WHY_LATAM,608
113,COMPLETE,1608
113,EUROPE,1000
113,LATAM,608
113,DIEGO,260
113,RENOVISOR,611
113,WHY_EUROPE,129
113,WHY_LATAM,608
114,COMPLETE,1608
114,EUROPE,1000
114,LATAM,608
114,DIEGO,212
114,RENOVISOR,632
114,WHY_EUROPE,156
114,WHY_LATAM,608
115,COMPLETE,1608
115,EUROPE,1000
115,LATAM,608
115,DIEGO,260
115,RENOVISOR,611
