analysis_sample,variable,category,mean_n,sd_n,mean_total_n,sd_total_n,mean_prop,sd_prop,n_bootstraps
EUROPE,political_left_right_model,81,3.675,1.8630206241064104,1000,0,0.003675,0.0018630206241064126,1000
EUROPE,political_left_right_model,16,3.569,1.8293675370426798,1000,0,0.003569,0.0018293675370426768,1000
EUROPE,political_left_right_model,86,3.53,1.7984255153701367,1000,0,0.00353,0.001798425515370132,1000
EUROPE,political_left_right_model,21,3.495,1.8404788405092756,1000,0,0.0034950000000000003,0.0018404788405092744,1000
EUROPE,political_left_right_model,73,3.487,1.8818534407260208,1000,0,0.003487,0.0018818534407260255,1000
EUROPE,political_left_right_model,32,3.419,1.8140368600802286,1000,0,0.0034189999999999997,0.001814036860080222,1000
EUROPE,political_left_right_model,36,3.4,1.842116552608278,1000,0,0.0034000000000000002,0.001842116552608276,1000
EUROPE,political_left_right_model,83,3.28,1.7665561753651404,1000,0,0.00328,0.0017665561753651391,1000
EUROPE,political_left_right_model,41,3.24,1.8411381778100848,1000,0,0.0032400000000000003,0.0018411381778100759,1000
EUROPE,political_left_right_model,58,3.213,1.7974598359523515,1000,0,0.0032130000000000006,0.001797459835952356,1000
EUROPE,political_left_right_model,12,3.189,1.7732522165285545,1000,0,0.0031889999999999996,0.0017732522165285482,1000
EUROPE,political_left_right_model,28,3.186,1.7205709413925225,1000,0,0.003186,0.0017205709413925382,1000
EUROPE,political_left_right_model,61,3.058,1.7197655635561544,1000,0,0.003058,0.0017197655635561436,1000
EUROPE,political_left_right_model,77,2.921,1.693406810729962,1000,0,0.0029210000000000004,0.0016934068107299694,1000
EUROPE,political_left_right_model,7,2.904,1.6430104940271812,1000,0,0.002904,0.0016430104940272007,1000
EUROPE,political_left_right_model,44,2.902,1.6760683772463503,1000,0,0.002902,0.0016760683772463376,1000
EUROPE,political_left_right_model,90,2.874,1.566070425165024,1000,0,0.002874,0.0015660704251650311,1000
EUROPE,political_left_right_model,46,2.831,1.7003912286089704,1000,0,0.002831,0.001700391228608967,1000
EUROPE,political_left_right_model,8,2.609,1.6083238808479148,1000,0,0.002609,0.0016083238808479129,1000
EUROPE,political_left_right_model,54,2.545,1.5819220832510927,1000,0,0.002545,0.0015819220832510893,1000
EUROPE,political_left_right_model,13,2.486,1.5388866664482455,1000,0,0.002486,0.00153888666644823,1000
EUROPE,political_left_right_model,53,2.484,1.5323485543740067,1000,0,0.002484,0.0015323485543739996,1000
EUROPE,political_left_right_model,9,2.468,1.5366643541571883,1000,0,0.0024679999999999997,0.001536664354157192,1000
EUROPE,political_left_right_model,22,2.357,1.48585287251422,1000,0,0.002357,0.0014858528725142234,1000
EUROPE,political_left_right_model,57,2.297,1.51429326224615,1000,0,0.002297,0.0015142932622461433,1000
EUROPE,political_left_right_model,56,2.273,1.461713928102078,1000,0,0.002273,0.0014617139281020717,1000
EUROPE,political_left_right_model,2,2.194,1.453436093014237,1000,0,0.0021939999999999998,0.0014534360930142367,1000
EUROPE,political_left_right_model,1,2.144,1.4971658243178922,1000,0,0.002144,0.0014971658243179,1000
EUROPE,political_left_right_model,29,2.075,1.4803940578665429,1000,0,0.002075,0.0014803940578665441,1000
EUROPE,political_left_right_model,38,2.074,1.4073039843987167,1000,0,0.0020740000000000003,0.0014073039843987226,1000
EUROPE,political_left_right_model,43,2.071,1.4608535495021648,1000,0,0.002071,0.0014608535495021736,1000
EUROPE,political_left_right_model,34,1.985,1.3566928965744673,1000,0,0.0019850000000000002,0.0013566928965744623,1000
EUROPE,political_left_right_model,31,1.928,1.4066964117373848,1000,0,0.001928,0.0014066964117373682,1000
EUROPE,political_left_right_model,27,1.855,1.3489977000702427,1000,0,0.0018549999999999999,0.0013489977000702398,1000
EUROPE,political_left_right_model,68,1.754,1.2927316640181623,1000,0,0.0017540000000000006,0.001292731664018152,1000
EUROPE,political_left_right_model,4,1.657,1.3338403690585092,1000,0,0.001657,0.0013338403690585049,1000
EUROPE,political_left_right_model,74,1.557,1.2386627003689517,1000,0,0.001557,0.001238662700368941,1000
EUROPE,political_left_right_model,67,1.554,1.2233481027821091,1000,0,0.001554,0.0012233481027821142,1000
EUROPE,political_left_right_model,6,1.35,1.1378905021111572,1000,0,0.00135,0.0011378905021111657,1000
EUROPE,political_left_right_model,3,1.313,1.095550652060971,1000,0,0.0013130000000000004,0.0010955506520609734,1000
EUROPE,political_left_right_model,63,1.198,1.0401335865540942,1000,0,0.001198,0.0010401335865540893,1000
EUROPE,political_left_right_model,76,1.01,1.02320425475412,1000,0,0.00101,0.0010232042547541323,1000
EUROPE,political_left_right_model,69,0.948,0.9561434046262117,1000,0,9.480000000000001e-4,9.561434046262214e-4,1000
EUROPE,political_left_right_model,66,0.906,0.9685567108342644,1000,0,9.060000000000001e-4,9.685567108342749e-4,1000
EUROPE,political_left_right_model,92,0.839,0.8977109138719946,1000,0,8.39e-4,8.977109138719919e-4,1000
EUROPE,political_left_right_model,72,0.774,0.8588723197668316,1000,0,7.740000000000001e-4,8.588723197668353e-4,1000
EUROPE,political_left_right_model,78,0.699,0.827698063356492,1000,0,6.99e-4,8.276980633564878e-4,1000
EUROPE,political_left_right_model,64,0.686,0.8355250457658949,1000,0,6.860000000000002e-4,8.355250457658937e-4,1000
EUROPE,political_left_right_model,62,0.68,0.8162513499322757,1000,0,6.8e-4,8.162513499322822e-4,1000
EUROPE,political_left_right_model,79,0.623,0.8046853537368001,1000,0,6.23e-4,8.046853537367977e-4,1000
EUROPE,political_left_right_model,99,0.417,0.6461644748270566,1000,0,4.1699999999999994e-4,6.461644748270564e-4,1000
EUROPE,political_left_right_model,59,0.376,0.5924314095108181,1000,0,3.760000000000001e-4,5.924314095108229e-4,1000
LATAM,political_left_right_model,Missing,608,0,608,0,1,0,1000
DIEGO,political_left_right_model,Missing,249.936,11.36992432600935,249.936,11.36992432600935,1,0,1000
RENOVISOR,political_left_right_model,50,43.448,5.752250375669017,611.641,9.484939803872402,0.0710333050473332,0.00931031601952996,1000
RENOVISOR,political_left_right_model,20,33.984,5.264547412594883,611.641,9.484939803872402,0.05555750945638074,0.008533930783320395,1000
