context,variable,group,category,n,total_n,prop
01_all_integrated_rows,education_tfm_model,why,university,77,1628,0.0472972972972973
01_all_integrated_rows,employment_model,diego,employed,1284,1899,0.6761453396524486
01_all_integrated_rows,employment_model,diego,student,426,1899,0.22432859399684044
01_all_integrated_rows,employment_model,diego,unemployed,132,1899,0.06951026856240126
01_all_integrated_rows,employment_model,diego,retired,32,1899,0.01685097419694576
01_all_integrated_rows,employment_model,diego,other,25,1899,0.013164823591363875
01_all_integrated_rows,employment_model,rv,employed,628,1229,0.5109845402766476
01_all_integrated_rows,employment_model,rv,unknown,328,1229,0.26688364524003255
01_all_integrated_rows,employment_model,rv,student,133,1229,0.10821806346623271
01_all_integrated_rows,employment_model,rv,unemployed,67,1229,0.05451586655817738
01_all_integrated_rows,employment_model,rv,retired,57,1229,0.046379170056956874
01_all_integrated_rows,employment_model,rv,other,16,1229,0.013018714401952807
01_all_integrated_rows,employment_model,why,employed,927,1628,0.5694103194103194
01_all_integrated_rows,employment_model,why,unknown,341,1628,0.20945945945945946
01_all_integrated_rows,employment_model,why,unemployed,186,1628,0.11425061425061425
01_all_integrated_rows,employment_model,why,other,124,1628,0.07616707616707617
01_all_integrated_rows,employment_model,why,inactive_other,50,1628,0.030712530712530713
01_all_integrated_rows,city_size_model,diego,unknown,1899,1899,1
01_all_integrated_rows,city_size_model,rv,rural_small,1120,1229,0.9113100081366965
01_all_integrated_rows,city_size_model,rv,unknown,108,1229,0.08787632221318145
01_all_integrated_rows,city_size_model,rv,conflict,1,1229,8.136696501220504e-4
01_all_integrated_rows,city_size_model,why,unknown,1628,1628,1
01_all_integrated_rows,tenure_model,diego,unknown,1899,1899,1
01_all_integrated_rows,tenure_model,rv,owner_with_mortgage,681,1229,0.5541090317331163
01_all_integrated_rows,tenure_model,rv,rent,371,1229,0.3018714401952807
01_all_integrated_rows,tenure_model,rv,unknown,116,1229,0.09438567941415785
01_all_integrated_rows,tenure_model,rv,other,34,1229,0.027664768104149716
01_all_integrated_rows,tenure_model,rv,family_home,23,1229,0.01871440195280716
01_all_integrated_rows,tenure_model,rv,conflict,4,1229,0.0032546786004882017
01_all_integrated_rows,tenure_model,why,unknown,1628,1628,1
01_all_integrated_rows,tenure_tfm_model,diego,unknown,1899,1899,1
01_all_integrated_rows,tenure_tfm_model,rv,Non-homeowner,428,1229,0.3482506102522376
01_all_integrated_rows,tenure_tfm_model,rv,Homeowner without mortgage,396,1229,0.322213181448332
01_all_integrated_rows,tenure_tfm_model,rv,Homeowner with mortgage,285,1229,0.23189585028478438
01_all_integrated_rows,tenure_tfm_model,rv,unknown,116,1229,0.09438567941415785
01_all_integrated_rows,tenure_tfm_model,rv,conflict,4,1229,0.0032546786004882017
01_all_integrated_rows,tenure_tfm_model,why,unknown,1628,1628,1
01_all_integrated_rows,income_model,diego,medium,814,1899,0.4286466561348078
01_all_integrated_rows,income_model,diego,low,543,1899,0.2859399684044234
01_all_integrated_rows,income_model,diego,high,407,1899,0.2143233280674039
01_all_integrated_rows,income_model,diego,unknown,135,1899,0.07109004739336493
01_all_integrated_rows,income_model,rv,unknown,1229,1229,1
01_all_integrated_rows,income_model,why,unknown,1628,1628,1
01_all_integrated_rows,vote_status_declared,diego,unknown,1899,1899,1
01_all_integrated_rows,vote_status_declared,rv,voter,484,1229,0.3938161106590724
01_all_integrated_rows,vote_status_declared,rv,uncertain,475,1229,0.386493083807974
01_all_integrated_rows,vote_status_declared,rv,abstainer,142,1229,0.11554109031733116
01_all_integrated_rows,vote_status_declared,rv,unknown,122,1229,0.09926769731489016
01_all_integrated_rows,vote_status_declared,rv,conflict,6,1229,0.004882017900732303
01_all_integrated_rows,vote_status_declared,why,unknown,1628,1628,1
01_all_integrated_rows,voted_observed,diego,Missing,1899,1899,1
01_all_integrated_rows,voted_observed,rv,Missing,603,1229,0.4906427990235964
01_all_integrated_rows,voted_observed,rv,1,484,1229,0.3938161106590724
01_all_integrated_rows,voted_observed,rv,0,142,1229,0.11554109031733116
01_all_integrated_rows,voted_observed,why,Missing,1628,1628,1
01_all_integrated_rows,political_left_right_model,diego,Missing,1899,1899,1
01_all_integrated_rows,political_left_right_model,rv,Missing,276,1229,0.22457282343368593
01_all_integrated_rows,political_left_right_model,rv,50,64,1229,0.05207485760781123
01_all_integrated_rows,political_left_right_model,rv,0,61,1229,0.04963384865744508
01_all_integrated_rows,political_left_right_model,rv,20,59,1229,0.04800650935720097
01_all_integrated_rows,political_left_right_model,rv,25,56,1229,0.045565500406834825
01_all_integrated_rows,political_left_right_model,rv,10,46,1229,0.03742880390561432
01_all_integrated_rows,political_left_right_model,rv,30,46,1229,0.03742880390561432
01_all_integrated_rows,political_left_right_model,rv,60,41,1229,0.03336045565500407
01_all_integrated_rows,political_left_right_model,rv,15,40,1229,0.03254678600488202
01_all_integrated_rows,political_left_right_model,rv,40,39,1229,0.03173311635475997
01_all_integrated_rows,political_left_right_model,rv,45,23,1229,0.01871440195280716
01_all_integrated_rows,political_left_right_model,rv,35,22,1229,0.01790073230268511
01_all_integrated_rows,political_left_right_model,rv,55,22,1229,0.01790073230268511
01_all_integrated_rows,political_left_right_model,rv,65,20,1229,0.01627339300244101
01_all_integrated_rows,political_left_right_model,rv,75,17,1229,0.013832384052074858
01_all_integrated_rows,political_left_right_model,rv,19,16,1229,0.013018714401952807
01_all_integrated_rows,political_left_right_model,rv,70,16,1229,0.013018714401952807
01_all_integrated_rows,political_left_right_model,rv,33,15,1229,0.012205044751830757
01_all_integrated_rows,political_left_right_model,rv,23,14,1229,0.011391375101708706
01_all_integrated_rows,political_left_right_model,rv,11,10,1229,0.008136696501220505
01_all_integrated_rows,political_left_right_model,rv,12,10,1229,0.008136696501220505
01_all_integrated_rows,political_left_right_model,rv,7,10,1229,0.008136696501220505
01_all_integrated_rows,political_left_right_model,rv,80,10,1229,0.008136696501220505
01_all_integrated_rows,political_left_right_model,rv,100,9,1229,0.007323026851098454
01_all_integrated_rows,political_left_right_model,rv,16,9,1229,0.007323026851098454
01_all_integrated_rows,political_left_right_model,rv,17,9,1229,0.007323026851098454
01_all_integrated_rows,political_left_right_model,rv,26,9,1229,0.007323026851098454
01_all_integrated_rows,political_left_right_model,rv,37,9,1229,0.007323026851098454
01_all_integrated_rows,political_left_right_model,rv,85,9,1229,0.007323026851098454
01_all_integrated_rows,political_left_right_model,rv,13,8,1229,0.006509357200976403
01_all_integrated_rows,political_left_right_model,rv,14,8,1229,0.006509357200976403
01_all_integrated_rows,political_left_right_model,rv,18,8,1229,0.006509357200976403
01_all_integrated_rows,political_left_right_model,rv,36,8,1229,0.006509357200976403
01_all_integrated_rows,political_left_right_model,rv,5,8,1229,0.006509357200976403
01_all_integrated_rows,political_left_right_model,rv,51,8,1229,0.006509357200976403
01_all_integrated_rows,political_left_right_model,rv,21,7,1229,0.005695687550854353
01_all_integrated_rows,political_left_right_model,rv,22,7,1229,0.005695687550854353
01_all_integrated_rows,political_left_right_model,rv,24,7,1229,0.005695687550854353
01_all_integrated_rows,political_left_right_model,rv,49,7,1229,0.005695687550854353
01_all_integrated_rows,political_left_right_model,rv,9,7,1229,0.005695687550854353
01_all_integrated_rows,political_left_right_model,rv,38,6,1229,0.004882017900732303
01_all_integrated_rows,political_left_right_model,rv,44,6,1229,0.004882017900732303
01_all_integrated_rows,political_left_right_model,rv,47,6,1229,0.004882017900732303
01_all_integrated_rows,political_left_right_model,rv,48,6,1229,0.004882017900732303
01_all_integrated_rows,political_left_right_model,rv,73,6,1229,0.004882017900732303
01_all_integrated_rows,political_left_right_model,rv,28,5,1229,0.0040683482506102524
01_all_integrated_rows,political_left_right_model,rv,29,5,1229,0.0040683482506102524
01_all_integrated_rows,political_left_right_model,rv,32,5,1229,0.0040683482506102524
01_all_integrated_rows,political_left_right_model,rv,42,5,1229,0.0040683482506102524
01_all_integrated_rows,political_left_right_model,rv,52,5,1229,0.0040683482506102524
01_all_integrated_rows,political_left_right_model,rv,6,5,1229,0.0040683482506102524
01_all_integrated_rows,political_left_right_model,rv,61,5,1229,0.0040683482506102524
01_all_integrated_rows,political_left_right_model,rv,1,4,1229,0.0032546786004882017
01_all_integrated_rows,political_left_right_model,rv,2,4,1229,0.0032546786004882017
01_all_integrated_rows,political_left_right_model,rv,27,4,1229,0.0032546786004882017
01_all_integrated_rows,political_left_right_model,rv,4,4,1229,0.0032546786004882017
01_all_integrated_rows,political_left_right_model,rv,41,4,1229,0.0032546786004882017
01_all_integrated_rows,political_left_right_model,rv,77,4,1229,0.0032546786004882017
01_all_integrated_rows,political_left_right_model,rv,8,4,1229,0.0032546786004882017
01_all_integrated_rows,political_left_right_model,rv,34,3,1229,0.0024410089503661514
01_all_integrated_rows,political_left_right_model,rv,43,3,1229,0.0024410089503661514
01_all_integrated_rows,political_left_right_model,rv,46,3,1229,0.0024410089503661514
01_all_integrated_rows,political_left_right_model,rv,53,3,1229,0.0024410089503661514
01_all_integrated_rows,political_left_right_model,rv,57,3,1229,0.0024410089503661514
01_all_integrated_rows,political_left_right_model,rv,58,3,1229,0.0024410089503661514
01_all_integrated_rows,political_left_right_model,rv,67,3,1229,0.0024410089503661514
01_all_integrated_rows,political_left_right_model,rv,68,3,1229,0.0024410089503661514
01_all_integrated_rows,political_left_right_model,rv,90,3,1229,0.0024410089503661514
01_all_integrated_rows,political_left_right_model,rv,3,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,31,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,54,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,56,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,62,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,63,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,66,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,69,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,72,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,74,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,76,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,83,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,84,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,87,2,1229,0.0016273393002441008
01_all_integrated_rows,political_left_right_model,rv,39,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,59,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,64,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,78,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,79,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,81,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,82,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,86,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,89,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,92,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,rv,99,1,1229,8.136696501220504e-4
01_all_integrated_rows,political_left_right_model,why,Missing,1628,1628,1
01_all_integrated_rows,political_block_model,diego,unknown,1899,1899,1
01_all_integrated_rows,political_block_model,rv,left,290,1229,0.23596419853539463
01_all_integrated_rows,political_block_model,rv,unknown,276,1229,0.22457282343368593
01_all_integrated_rows,political_block_model,rv,extreme_left,273,1229,0.22213181448331978
01_all_integrated_rows,political_block_model,rv,centre,256,1229,0.2082994304312449
01_all_integrated_rows,political_block_model,rv,right,101,1229,0.0821806346623271
01_all_integrated_rows,political_block_model,rv,extreme_right,33,1229,0.026851098454027666
01_all_integrated_rows,political_block_model,why,unknown,1628,1628,1
01_all_integrated_rows,self_classification_raw,diego,Missing,1899,1899,1
01_all_integrated_rows,self_classification_raw,rv,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,323,1229,0.2628152969894223
01_all_integrated_rows,self_classification_raw,rv,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,280,1229,0.22782750203417412
01_all_integrated_rows,self_classification_raw,rv,I am more likely to invest if it improves my safety or that of my household.,167,1229,0.13588283157038242
01_all_integrated_rows,self_classification_raw,rv,I am more likely to invest if it helps reduce my environmental impact.,135,1229,0.10984540276647681
