analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
DIEGO,4110,DIEGO,EUROPE,1253,diego__diego_1253,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1253,NA,NA,NL,NL,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.2939763473841246,0.1260503060451446,0.14336203898088556,0.422331071805889,0.36615017773046005,0.13647982403846087,0.10895726880462006,0.5423921918199447,0
DIEGO,4111,DIEGO,EUROPE,1254,diego__diego_1254,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1254,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.14816857474895603,0,0.3338034585943688,0.4871548429353796,0.26409247128939356,0.3824320268404674,0.2802310190752053,0.512802378334836,0.4955272595717753
DIEGO,4112,DIEGO,EUROPE,1255,diego__diego_1255,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1255,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.3252867499304052,0.4373740318954551,0.29354381510844874,0,0,0.18467780311956425,0.6418766408232648,0,0.6810588441564964
DIEGO,4113,DIEGO,EUROPE,1256,diego__diego_1256,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1256,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.5822725805271064,0.4978068841377551,0.1832594953409004,0.4023869753277565,0.49572404894564814,0.18837761696911443,0.29266920870776214,0.4556452282871469,0.6899141951101513
DIEGO,4114,DIEGO,EUROPE,1257,diego__diego_1257,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1257,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.23924603812135092,0.15475802950807388,0.24942353256913896,0,0,0.3832178100786554,0,0.5132983813590682,0.7314070389064388
DIEGO,4115,DIEGO,EUROPE,1258,diego__diego_1258,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1258,NA,NA,DE,DE,western_europe,45_54,male,self_employed,usable_complete,TRUE,TRUE,32,0.4605895419721907,0.17071607166186886,0.21206715085723227,0.1725329293298198,0.28133107894551757,0.5506083409591531,0.42730264611393726,0.25075955221183005,0.4019493510970131
DIEGO,4116,DIEGO,EUROPE,1259,diego__diego_1259,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1259,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.17078009524725046,0.48519119323104365,0.25058456123559025,0.5202980012348376,0,0.23632608392994883,0.43739850876232944,0,0.42491120793507603
DIEGO,4117,DIEGO,EUROPE,1260,diego__diego_1260,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1260,NA,NA,BE,BE,western_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.3931462635697692,0.6232297025736495,0.3503154559541695,0.4415308135243175,0.418387886730886,0.5854172567387308,0.21950021189820407,0.27403153261948565,0.2589047294483308
DIEGO,4118,DIEGO,EUROPE,1261,diego__diego_1261,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1261,NA,NA,NL,NL,western_europe,25_34,female,self_employed,usable_complete,TRUE,TRUE,32,0,0.1708000629602357,0.12587226228286005,0.6972507079113991,0,0.6902159532098731,0.13114620347248027,0,0
DIEGO,4119,DIEGO,EUROPE,1262,diego__diego_1262,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1262,NA,NA,NL,NL,western_europe,45_54,female,self_employed,usable_complete,TRUE,TRUE,32,0.7377806377223008,0.32105224798418946,0.16700831549844464,0.29429844548126854,0,0.431674664042357,0.4536201833598904,0,0
