"scenario","type","reference","D","K","freq_covered","pct_covered"
"100-32","ext","experts",13,6,797932,99.7415
"100-32","ext","experts",13,7,798352,99.794
"100-32","ext","experts",13,8,798439,99.804875
"100-32","ext","experts",14,1,798128,99.766
"100-32","ext","experts",14,2,798454,99.80675
"100-32","ext","experts",14,3,799012,99.8765
"100-32","ext","experts",14,4,799137,99.892125
"100-32","ext","experts",14,5,799233,99.904125
"100-32","ext","experts",14,6,799722,99.96525
"100-32","ext","experts",14,7,799818,99.97725
"100-32","ext","experts",14,8,799828,99.9785
"100-32","ext","experts",15,1,798314,99.78925
"100-32","ext","experts",15,2,798929,99.866125
"100-32","ext","experts",15,3,799432,99.929
"100-32","ext","experts",15,4,799523,99.940375
"100-32","ext","experts",15,5,799556,99.9445
"100-32","ext","experts",15,6,799757,99.969625
"100-32","ext","experts",15,7,799876,99.9845
"100-32","ext","experts",15,8,799939,99.992375
"100-32","ext","experts",16,1,799798,99.97475
"100-32","ext","experts",16,2,799900,99.9875
"100-32","ext","experts",16,3,799910,99.98875
"100-32","ext","experts",16,4,799930,99.99125
"100-32","ext","experts",16,5,799952,99.994
"100-32","ext","experts",16,6,800000,100
"100-32","ext","experts",16,7,800000,100
"100-32","ext","experts",16,8,800000,100
"100-32","ext","experts",17,1,799808,99.976
"100-32","ext","experts",17,2,799912,99.989
"100-32","ext","experts",17,3,799973,99.996625
"100-32","ext","experts",17,4,799978,99.99725
"100-32","ext","experts",17,5,799979,99.997375
"100-32","ext","experts",17,6,800000,100
"100-32","ext","experts",17,7,800000,100
"100-32","ext","experts",17,8,800000,100
"100-32","ext","experts",18,1,800000,100
"100-32","ext","experts",18,2,800000,100
"100-32","ext","experts",18,3,800000,100
"100-32","ext","experts",18,4,800000,100
"100-32","ext","experts",18,5,800000,100
"100-32","ext","experts",18,6,800000,100
"100-32","ext","experts",18,7,800000,100
"100-32","ext","experts",18,8,800000,100
"100-32","ext","experts",19,1,800000,100
"100-32","ext","experts",19,2,800000,100
"100-32","ext","experts",19,3,800000,100
"100-32","ext","experts",19,4,800000,100
"100-32","ext","experts",19,5,800000,100
"100-32","ext","experts",19,6,800000,100
"100-32","ext","experts",19,7,800000,100
"100-32","ext","experts",19,8,800000,100
"100-32","ext","experts",20,1,800000,100
"100-32","ext","experts",20,2,800000,100
"100-32","ext","experts",20,3,800000,100
"100-32","ext","experts",20,4,800000,100
"100-32","ext","experts",20,5,800000,100
"100-32","ext","experts",20,6,800000,100
"100-32","ext","experts",20,7,800000,100
"100-32","ext","experts",20,8,800000,100
"100-32","ext","kmeans",0,1,112420,14.0525
"100-32","ext","kmeans",0,2,112420,14.0525
"100-32","ext","kmeans",0,3,112420,14.0525
"100-32","ext","kmeans",0,4,112420,14.0525
"100-32","ext","kmeans",0,5,112420,14.0525
"100-32","ext","kmeans",0,6,112420,14.0525
"100-32","ext","kmeans",0,7,112420,14.0525
"100-32","ext","kmeans",0,8,112420,14.0525
"100-32","ext","kmeans",0,9,112420,14.0525
"100-32","ext","kmeans",1,1,122151,15.268875
"100-32","ext","kmeans",1,2,122182,15.27275
"100-32","ext","kmeans",1,3,122203,15.275375
"100-32","ext","kmeans",1,4,122203,15.275375
"100-32","ext","kmeans",1,5,122203,15.275375
"100-32","ext","kmeans",1,6,122203,15.275375
"100-32","ext","kmeans",1,7,122203,15.275375
"100-32","ext","kmeans",1,8,122203,15.275375
"100-32","ext","kmeans",1,9,122203,15.275375
"100-32","ext","kmeans",2,1,147165,18.395625
"100-32","ext","kmeans",2,2,148725,18.590625
"100-32","ext","kmeans",2,3,148917,18.614625
"100-32","ext","kmeans",2,4,149035,18.629375
"100-32","ext","kmeans",2,5,149044,18.6305
"100-32","ext","kmeans",2,6,149046,18.63075
"100-32","ext","kmeans",2,7,149048,18.631
"100-32","ext","kmeans",2,8,149048,18.631
"100-32","ext","kmeans",2,9,149048,18.631
"100-32","ext","kmeans",3,1,178441,22.305125
"100-32","ext","kmeans",3,2,193058,24.13225
"100-32","ext","kmeans",3,3,198696,24.837
"100-32","ext","kmeans",3,4,201213,25.151625
"100-32","ext","kmeans",3,5,201814,25.22675
"100-32","ext","kmeans",3,6,202016,25.252
"100-32","ext","kmeans",3,7,202036,25.2545
"100-32","ext","kmeans",3,8,202043,25.255375
"100-32","ext","kmeans",3,9,202044,25.2555
"100-32","ext","kmeans",4,1,205395,25.674375
"100-32","ext","kmeans",4,2,235828,29.4785
"100-32","ext","kmeans",4,3,251663,31.457875
"100-32","ext","kmeans",4,4,253962,31.74525
"100-32","ext","kmeans",4,5,256286,32.03575
"100-32","ext","kmeans",4,6,257107,32.138375
"100-32","ext","kmeans",4,7,257615,32.201875
"100-32","ext","kmeans",4,8,258103,32.262875
"100-32","ext","kmeans",4,9,258143,32.267875
"100-32","ext","kmeans",5,1,255844,31.9805
"100-32","ext","kmeans",5,2,337706,42.21325
"100-32","ext","kmeans",5,3,361414,45.17675
"100-32","ext","kmeans",5,4,371432,46.429
"100-32","ext","kmeans",5,5,389851,48.731375
"100-32","ext","kmeans",5,6,394545,49.318125
"100-32","ext","kmeans",5,7,398495,49.811875
"100-32","ext","kmeans",5,8,400901,50.112625
"100-32","ext","kmeans",5,9,401234,50.15425
"100-32","ext","kmeans",6,1,306963,38.370375
"100-32","ext","kmeans",6,2,424111,53.013875
"100-32","ext","kmeans",6,3,465213,58.151625
"100-32","ext","kmeans",6,4,470657,58.832125
"100-32","ext","kmeans",6,5,498816,62.352
"100-32","ext","kmeans",6,6,515670,64.45875
"100-32","ext","kmeans",6,7,525827,65.728375
"100-32","ext","kmeans",6,8,531260,66.4075
"100-32","ext","kmeans",6,9,534214,66.77675
"100-32","ext","kmeans",7,1,354656,44.332
"100-32","ext","kmeans",7,2,512452,64.0565
"100-32","ext","kmeans",7,3,544311,68.038875
"100-32","ext","kmeans",7,4,561739,70.217375
"100-32","ext","kmeans",7,5,618715,77.339375
"100-32","ext","kmeans",7,6,633273,79.159125
"100-32","ext","kmeans",7,7,661924,82.7405
"100-32","ext","kmeans",7,8,675744,84.468
"100-32","ext","kmeans",7,9,690726,86.34075
"100-32","ext","kmeans",8,1,390481,48.810125
"100-32","ext","kmeans",8,2,596631,74.578875
"100-32","ext","kmeans",8,3,640490,80.06125
"100-32","ext","kmeans",8,4,643167,80.395875
"100-32","ext","kmeans",8,5,707271,88.408875
"100-32","ext","kmeans",8,6,752768,94.096
"100-32","ext","kmeans",8,7,758928,94.866
"100-32","ext","kmeans",8,8,765136,95.642
"100-32","ext","kmeans",8,9,768563,96.070375
"100-32","ext","kmeans",9,1,417610,52.20125
"100-32","ext","kmeans",9,2,652796,81.5995
"100-32","ext","kmeans",9,3,709828,88.7285
"100-32","ext","kmeans",9,4,745690,93.21125
"100-32","ext","kmeans",9,5,755806,94.47575
"100-32","ext","kmeans",9,6,780997,97.624625
"100-32","ext","kmeans",9,7,782655,97.831875
"100-32","ext","kmeans",9,8,783323,97.915375
"100-32","ext","kmeans",9,9,783657,97.957125
"100-32","ext","kmeans",10,1,440358,55.04475
"100-32","ext","kmeans",10,2,572158,71.51975
"100-32","ext","kmeans",10,3,689467,86.183375
"100-32","ext","kmeans",10,4,740244,92.5305
"100-32","ext","kmeans",10,5,774563,96.820375
"100-32","ext","kmeans",10,6,795635,99.454375
"100-32","ext","kmeans",10,7,796038,99.50475
"100-32","ext","kmeans",10,8,796356,99.5445
"100-32","ext","kmeans",10,9,796393,99.549125
"100-32","ext","kmeans",11,1,460102,57.51275
"100-32","ext","kmeans",11,2,738435,92.304375
"100-32","ext","kmeans",11,3,741308,92.6635
"100-32","ext","kmeans",11,4,779197,97.399625
"100-32","ext","kmeans",11,5,795211,99.401375
"100-32","ext","kmeans",11,6,795407,99.425875
"100-32","ext","kmeans",11,7,797181,99.647625
"100-32","ext","kmeans",11,8,797333,99.666625
"100-32","ext","kmeans",11,9,797552,99.694
"100-32","ext","kmeans",12,1,527982,65.99775
"100-32","ext","kmeans",12,2,622616,77.827
"100-32","ext","kmeans",12,3,742727,92.840875
"100-32","ext","kmeans",12,4,779656,97.457
"100-32","ext","kmeans",12,5,780902,97.61275
"100-32","ext","kmeans",12,6,795787,99.473375
"100-32","ext","kmeans",12,7,795891,99.486375
"100-32","ext","kmeans",12,8,796231,99.528875
"100-32","ext","kmeans",12,9,799024,99.878
"100-32","ext","kmeans",13,1,656472,82.059
"100-32","ext","kmeans",13,2,780630,97.57875
"100-32","ext","kmeans",13,3,788779,98.597375
"100-32","ext","kmeans",13,4,795349,99.418625
"100-32","ext","kmeans",13,5,796347,99.543375
"100-32","ext","kmeans",13,6,796623,99.577875
"100-32","ext","kmeans",13,7,796768,99.596
"100-32","ext","kmeans",13,8,799379,99.922375
"100-32","ext","kmeans",13,9,799459,99.932375
"100-32","ext","kmeans",14,1,771873,96.484125
"100-32","ext","kmeans",14,2,784566,98.07075
"100-32","ext","kmeans",14,3,790121,98.765125
"100-32","ext","kmeans",14,4,796578,99.57225
"100-32","ext","kmeans",14,5,796741,99.592625
"100-32","ext","kmeans",14,6,799349,99.918625
"100-32","ext","kmeans",14,7,799557,99.944625
"100-32","ext","kmeans",14,8,799584,99.948
"100-32","ext","kmeans",14,9,799869,99.983625
"100-32","ext","kmeans",15,1,800000,100
"100-32","ext","kmeans",15,2,800000,100
"100-32","ext","kmeans",15,3,800000,100
"100-32","ext","kmeans",15,4,800000,100
"100-32","ext","kmeans",15,5,800000,100
"100-32","ext","kmeans",15,6,800000,100
"100-32","ext","kmeans",15,7,800000,100
"100-32","ext","kmeans",15,8,800000,100
"100-32","ext","kmeans",15,9,800000,100
"100-32","ext","kmeans",16,1,800000,100
"100-32","ext","kmeans",16,2,800000,100
"100-32","ext","kmeans",16,3,800000,100
"100-32","ext","kmeans",16,4,800000,100
"100-32","ext","kmeans",16,5,800000,100
"100-32","ext","kmeans",16,6,800000,100
"100-32","ext","kmeans",16,7,800000,100
"100-32","ext","kmeans",16,8,800000,100
"100-32","ext","kmeans",16,9,800000,100
"100-32","ext","kmeans",17,1,800000,100
"100-32","ext","kmeans",17,2,800000,100
"100-32","ext","kmeans",17,3,800000,100
"100-32","ext","kmeans",17,4,800000,100
"100-32","ext","kmeans",17,5,800000,100
"100-32","ext","kmeans",17,6,800000,100
"100-32","ext","kmeans",17,7,800000,100
"100-32","ext","kmeans",17,8,800000,100
"100-32","ext","kmeans",17,9,800000,100
"100-32","ext","kmeans",18,1,800000,100
"100-32","ext","kmeans",18,2,800000,100
"100-32","ext","kmeans",18,3,800000,100
"100-32","ext","kmeans",18,4,800000,100
"100-32","ext","kmeans",18,5,800000,100
"100-32","ext","kmeans",18,6,800000,100
"100-32","ext","kmeans",18,7,800000,100
"100-32","ext","kmeans",18,8,800000,100
"100-32","ext","kmeans",18,9,800000,100
"100-32","ext","kmeans",19,1,800000,100
"100-32","ext","kmeans",19,2,800000,100
"100-32","ext","kmeans",19,3,800000,100
"100-32","ext","kmeans",19,4,800000,100
"100-32","ext","kmeans",19,5,800000,100
"100-32","ext","kmeans",19,6,800000,100
"100-32","ext","kmeans",19,7,800000,100
"100-32","ext","kmeans",19,8,800000,100
"100-32","ext","kmeans",19,9,800000,100
"100-32","ext","kmeans",20,1,800000,100
"100-32","ext","kmeans",20,2,800000,100
"100-32","ext","kmeans",20,3,800000,100
"100-32","ext","kmeans",20,4,800000,100
"100-32","ext","kmeans",20,5,800000,100
"100-32","ext","kmeans",20,6,800000,100
"100-32","ext","kmeans",20,7,800000,100
"100-32","ext","kmeans",20,8,800000,100
"100-32","ext","kmeans",20,9,800000,100
"100-32","ext","sins",0,1,0,0
"100-32","ext","sins",0,2,0,0
"100-32","ext","sins",0,3,0,0
"100-32","ext","sins",0,4,0,0
"100-32","ext","sins",0,5,0,0
"100-32","ext","sins",0,6,0,0
"100-32","ext","sins",0,7,0,0
"100-32","ext","sins",1,1,0,0
"100-32","ext","sins",1,2,0,0
"100-32","ext","sins",1,3,0,0
"100-32","ext","sins",1,4,0,0
"100-32","ext","sins",1,5,0,0
"100-32","ext","sins",1,6,0,0
"100-32","ext","sins",1,7,0,0
"100-32","ext","sins",2,1,237,0.029625
"100-32","ext","sins",2,2,238,0.02975
"100-32","ext","sins",2,3,239,0.029875
"100-32","ext","sins",2,4,240,0.03
"100-32","ext","sins",2,5,240,0.03
"100-32","ext","sins",2,6,240,0.03
"100-32","ext","sins",2,7,240,0.03
"100-32","ext","sins",3,1,9279,1.159875
"100-32","ext","sins",3,2,9286,1.16075
"100-32","ext","sins",3,3,9289,1.161125
"100-32","ext","sins",3,4,9290,1.16125
"100-32","ext","sins",3,5,9291,1.161375
"100-32","ext","sins",3,6,9291,1.161375
"100-32","ext","sins",3,7,9291,1.161375
"100-32","ext","sins",4,1,11510,1.43875
"100-32","ext","sins",4,2,16892,2.1115
"100-32","ext","sins",4,3,16958,2.11975
"100-32","ext","sins",4,4,17008,2.126
"100-32","ext","sins",4,5,17040,2.13
"100-32","ext","sins",4,6,17047,2.130875
"100-32","ext","sins",4,7,17053,2.131625
"100-32","ext","sins",5,1,53846,6.73075
"100-32","ext","sins",5,2,62067,7.758375
"100-32","ext","sins",5,3,65076,8.1345
"100-32","ext","sins",5,4,66332,8.2915
"100-32","ext","sins",5,5,66869,8.358625
"100-32","ext","sins",5,6,67307,8.413375
"100-32","ext","sins",5,7,67329,8.416125
"100-32","ext","sins",6,1,69857,8.732125
"100-32","ext","sins",6,2,98917,12.364625
"100-32","ext","sins",6,3,131999,16.499875
"100-32","ext","sins",6,4,138689,17.336125
"100-32","ext","sins",6,5,142799,17.849875
"100-32","ext","sins",6,6,145312,18.164
"100-32","ext","sins",6,7,145543,18.192875
"100-32","ext","sins",7,1,187994,23.49925
"100-32","ext","sins",7,2,216713,27.089125
"100-32","ext","sins",7,3,348532,43.5665
"100-32","ext","sins",7,4,367214,45.90175
"100-32","ext","sins",7,5,377328,47.166
"100-32","ext","sins",7,6,387075,48.384375
"100-32","ext","sins",7,7,388187,48.523375
"100-32","ext","sins",8,1,269645,33.705625
"100-32","ext","sins",8,2,454261,56.782625
"100-32","ext","sins",8,3,490528,61.316
"100-32","ext","sins",8,4,508780,63.5975
"100-32","ext","sins",8,5,529588,66.1985
"100-32","ext","sins",8,6,546949,68.368625
"100-32","ext","sins",8,7,548576,68.572
"100-32","ext","sins",9,1,337575,42.196875
"100-32","ext","sins",9,2,363867,45.483375
"100-32","ext","sins",9,3,584405,73.050625
"100-32","ext","sins",9,4,606754,75.84425
"100-32","ext","sins",9,5,618823,77.352875
"100-32","ext","sins",9,6,634900,79.3625
"100-32","ext","sins",9,7,636528,79.566
"100-32","ext","sins",10,1,389035,48.629375
"100-32","ext","sins",10,2,539565,67.445625
"100-32","ext","sins",10,3,563827,70.478375
"100-32","ext","sins",10,4,596547,74.568375
"100-32","ext","sins",10,5,704083,88.010375
"100-32","ext","sins",10,6,708810,88.60125
"100-32","ext","sins",10,7,712154,89.01925
"100-32","ext","sins",11,1,431997,53.999625
"100-32","ext","sins",11,2,585910,73.23875
"100-32","ext","sins",11,3,602823,75.352875
"100-32","ext","sins",11,4,663993,82.999125
"100-32","ext","sins",11,5,674911,84.363875
"100-32","ext","sins",11,6,744254,93.03175
"100-32","ext","sins",11,7,753490,94.18625
"100-32","ext","sins",12,1,546749,68.343625
"100-32","ext","sins",12,2,616316,77.0395
"100-32","ext","sins",12,3,768006,96.00075
"100-32","ext","sins",12,4,776097,97.012125
"100-32","ext","sins",12,5,783909,97.988625
"100-32","ext","sins",12,6,792843,99.105375
"100-32","ext","sins",12,7,793525,99.190625
"100-32","ext","sins",13,1,620908,77.6135
"100-32","ext","sins",13,2,679096,84.887
"100-32","ext","sins",13,3,714940,89.3675
"100-32","ext","sins",13,4,732362,91.54525
"100-32","ext","sins",13,5,794821,99.352625
"100-32","ext","sins",13,6,796239,99.529875
"100-32","ext","sins",13,7,797745,99.718125
"100-32","ext","sins",14,1,751512,93.939
"100-32","ext","sins",14,2,780952,97.619
"100-32","ext","sins",14,3,787099,98.387375
"100-32","ext","sins",14,4,788035,98.504375
"100-32","ext","sins",14,5,788550,98.56875
"100-32","ext","sins",14,6,799568,99.946
"100-32","ext","sins",14,7,799708,99.9635
"100-32","ext","sins",15,1,776304,97.038
"100-32","ext","sins",15,2,793849,99.231125
"100-32","ext","sins",15,3,798060,99.7575
"100-32","ext","sins",15,4,798399,99.799875
"100-32","ext","sins",15,5,798810,99.85125
"100-32","ext","sins",15,6,799736,99.967
"100-32","ext","sins",15,7,799794,99.97425
"100-32","ext","sins",16,1,797425,99.678125
"100-32","ext","sins",16,2,799317,99.914625
"100-32","ext","sins",16,3,799880,99.985
"100-32","ext","sins",16,4,799903,99.987875
"100-32","ext","sins",16,5,799924,99.9905
"100-32","ext","sins",16,6,799999,99.999875
"100-32","ext","sins",16,7,799999,99.999875
"100-32","ext","sins",17,1,798492,99.8115
"100-32","ext","sins",17,2,799647,99.955875
"100-32","ext","sins",17,3,799947,99.993375
"100-32","ext","sins",17,4,799959,99.994875
"100-32","ext","sins",17,5,799968,99.996
"100-32","ext","sins",17,6,800000,100
"100-32","ext","sins",17,7,800000,100
"100-32","ext","sins",18,1,799722,99.96525
"100-32","ext","sins",18,2,799978,99.99725
"100-32","ext","sins",18,3,800000,100
"100-32","ext","sins",18,4,800000,100
"100-32","ext","sins",18,5,800000,100
"100-32","ext","sins",18,6,800000,100
"100-32","ext","sins",18,7,800000,100
"100-32","ext","sins",19,1,799762,99.97025
"100-32","ext","sins",19,2,799979,99.997375
"100-32","ext","sins",19,3,800000,100
"100-32","ext","sins",19,4,800000,100
"100-32","ext","sins",19,5,800000,100
"100-32","ext","sins",19,6,800000,100
"100-32","ext","sins",19,7,800000,100
"100-32","ext","sins",20,1,799988,99.9985
"100-32","ext","sins",20,2,800000,100
"100-32","ext","sins",20,3,800000,100
"100-32","ext","sins",20,4,800000,100
"100-32","ext","sins",20,5,800000,100
"100-32","ext","sins",20,6,800000,100
"100-32","ext","sins",20,7,800000,100
"10-32","pos","experts",0,1,0,0
"10-32","pos","experts",0,2,0,0
"10-32","pos","experts",0,3,0,0
"10-32","pos","experts",0,4,0,0
"10-32","pos","experts",0,5,0,0
"10-32","pos","experts",0,6,0,0
"10-32","pos","experts",0,7,0,0
"10-32","pos","experts",0,8,0,0
"10-32","pos","experts",1,1,2,0.00025
"10-32","pos","experts",1,2,2,0.00025
"10-32","pos","experts",1,3,2,0.00025
"10-32","pos","experts",1,4,2,0.00025
"10-32","pos","experts",1,5,2,0.00025
"10-32","pos","experts",1,6,2,0.00025
"10-32","pos","experts",1,7,2,0.00025
"10-32","pos","experts",1,8,2,0.00025
"10-32","pos","experts",2,1,11,0.001375
"10-32","pos","experts",2,2,17,0.002125
"10-32","pos","experts",2,3,20,0.0025
"10-32","pos","experts",2,4,21,0.002625
"10-32","pos","experts",2,5,21,0.002625
"10-32","pos","experts",2,6,21,0.002625
"10-32","pos","experts",2,7,21,0.002625
"10-32","pos","experts",2,8,21,0.002625
"10-32","pos","experts",3,1,6318,0.78975
"10-32","pos","experts",3,2,6395,0.799375
"10-32","pos","experts",3,3,6438,0.80475
"10-32","pos","experts",3,4,6447,0.805875
"10-32","pos","experts",3,5,6449,0.806125
"10-32","pos","experts",3,6,6449,0.806125
"10-32","pos","experts",3,7,6449,0.806125
"10-32","pos","experts",3,8,6449,0.806125
"10-32","pos","experts",4,1,7355,0.919375
"10-32","pos","experts",4,2,7853,0.981625
"10-32","pos","experts",4,3,7995,0.999375
"10-32","pos","experts",4,4,8004,1.0005
"10-32","pos","experts",4,5,8030,1.00375
"10-32","pos","experts",4,6,8053,1.006625
"10-32","pos","experts",4,7,8053,1.006625
"10-32","pos","experts",4,8,8055,1.006875
"10-32","pos","experts",5,1,190808,23.851
"10-32","pos","experts",5,2,192063,24.007875
"10-32","pos","experts",5,3,192309,24.038625
"10-32","pos","experts",5,4,192576,24.072
"10-32","pos","experts",5,5,192631,24.078875
"10-32","pos","experts",5,6,192716,24.0895
"10-32","pos","experts",5,7,192728,24.091
"10-32","pos","experts",5,8,192728,24.091
"10-32","pos","experts",6,1,201506,25.18825
"10-32","pos","experts",6,2,302567,37.820875
"10-32","pos","experts",6,3,304277,38.034625
"10-32","pos","experts",6,4,304616,38.077
"10-32","pos","experts",6,5,304722,38.09025
"10-32","pos","experts",6,6,304773,38.096625
"10-32","pos","experts",6,7,304797,38.099625
"10-32","pos","experts",6,8,304797,38.099625
"10-32","pos","experts",7,1,559010,69.87625
"10-32","pos","experts",7,2,580708,72.5885
"10-32","pos","experts",7,3,582106,72.76325
"10-32","pos","experts",7,4,582385,72.798125
"10-32","pos","experts",7,5,582401,72.800125
"10-32","pos","experts",7,6,582447,72.805875
"10-32","pos","experts",7,7,582498,72.81225
"10-32","pos","experts",7,8,582498,72.81225
"10-32","pos","experts",8,1,567139,70.892375
"10-32","pos","experts",8,2,686296,85.787
"10-32","pos","experts",8,3,687557,85.944625
"10-32","pos","experts",8,4,688230,86.02875
"10-32","pos","experts",8,5,688325,86.040625
"10-32","pos","experts",8,6,688377,86.047125
"10-32","pos","experts",8,7,688427,86.053375
"10-32","pos","experts",8,8,688435,86.054375
"10-32","pos","experts",9,1,762030,95.25375
"10-32","pos","experts",9,2,773704,96.713
"10-32","pos","experts",9,3,775568,96.946
"10-32","pos","experts",9,4,775792,96.974
"10-32","pos","experts",9,5,775905,96.988125
"10-32","pos","experts",9,6,775930,96.99125
"10-32","pos","experts",9,7,775932,96.9915
"10-32","pos","experts",9,8,775934,96.99175
"10-32","pos","experts",10,1,762769,95.346125
"10-32","pos","experts",10,2,785283,98.160375
"10-32","pos","experts",10,3,787131,98.391375
"10-32","pos","experts",10,4,787697,98.462125
"10-32","pos","experts",10,5,787778,98.47225
"10-32","pos","experts",10,6,787791,98.473875
"10-32","pos","experts",10,7,787795,98.474375
"10-32","pos","experts",10,8,787805,98.475625
"10-32","pos","experts",11,1,794265,99.283125
"10-32","pos","experts",11,2,795651,99.456375
"10-32","pos","experts",11,3,796809,99.601125
"10-32","pos","experts",11,4,796981,99.622625
"10-32","pos","experts",11,5,797047,99.630875
"10-32","pos","experts",11,6,797127,99.640875
"10-32","pos","experts",11,7,797133,99.641625
"10-32","pos","experts",11,8,797134,99.64175
"10-32","pos","experts",12,1,794535,99.316875
"10-32","pos","experts",12,2,797394,99.67425
"10-32","pos","experts",12,3,798022,99.75275
"10-32","pos","experts",12,4,798265,99.783125
"10-32","pos","experts",12,5,798744,99.843
"10-32","pos","experts",12,6,798746,99.84325
"10-32","pos","experts",12,7,798784,99.848
"10-32","pos","experts",12,8,798813,99.851625
"10-32","pos","experts",13,1,798905,99.863125
"10-32","pos","experts",13,2,799101,99.887625
"10-32","pos","experts",13,3,799493,99.936625
"10-32","pos","experts",13,4,799586,99.94825
"10-32","pos","experts",13,5,799592,99.949
"10-32","pos","experts",13,6,799617,99.952125
"10-32","pos","experts",13,7,799644,99.9555
"10-32","pos","experts",13,8,799668,99.9585
"10-32","pos","experts",14,1,798942,99.86775
"10-32","pos","experts",14,2,799494,99.93675
"10-32","pos","experts",14,3,799655,99.956875
"10-32","pos","experts",14,4,799804,99.9755
"10-32","pos","experts",14,5,799811,99.976375
"10-32","pos","experts",14,6,799820,99.9775
"10-32","pos","experts",14,7,799839,99.979875
"10-32","pos","experts",14,8,799919,99.989875
"10-32","pos","experts",15,1,799623,99.952875
"10-32","pos","experts",15,2,799879,99.984875
"10-32","pos","experts",15,3,799922,99.99025
"10-32","pos","experts",15,4,799924,99.9905
"10-32","pos","experts",15,5,799929,99.991125
"10-32","pos","experts",15,6,799967,99.995875
"10-32","pos","experts",15,7,799980,99.9975
"10-32","pos","experts",15,8,799996,99.9995
"10-32","pos","experts",16,1,799902,99.98775
"10-32","pos","experts",16,2,799990,99.99875
"10-32","pos","experts",16,3,799992,99.999
"10-32","pos","experts",16,4,799992,99.999
"10-32","pos","experts",16,5,799992,99.999
"10-32","pos","experts",16,6,799993,99.999125
"10-32","pos","experts",16,7,800000,100
"10-32","pos","experts",16,8,800000,100
"10-32","pos","experts",17,1,799906,99.98825
"10-32","pos","experts",17,2,799993,99.999125
"10-32","pos","experts",17,3,799995,99.999375
"10-32","pos","experts",17,4,799996,99.9995
"10-32","pos","experts",17,5,799996,99.9995
"10-32","pos","experts",17,6,799998,99.99975
"10-32","pos","experts",17,7,800000,100
"10-32","pos","experts",17,8,800000,100
"10-32","pos","experts",18,1,800000,100
"10-32","pos","experts",18,2,800000,100
"10-32","pos","experts",18,3,800000,100
"10-32","pos","experts",18,4,800000,100
"10-32","pos","experts",18,5,800000,100
"10-32","pos","experts",18,6,800000,100
"10-32","pos","experts",18,7,800000,100
"10-32","pos","experts",18,8,800000,100
"10-32","pos","experts",19,1,800000,100
"10-32","pos","experts",19,2,800000,100
"10-32","pos","experts",19,3,800000,100
"10-32","pos","experts",19,4,800000,100
"10-32","pos","experts",19,5,800000,100
"10-32","pos","experts",19,6,800000,100
"10-32","pos","experts",19,7,800000,100
"10-32","pos","experts",19,8,800000,100
"10-32","pos","experts",20,1,800000,100
"10-32","pos","experts",20,2,800000,100
"10-32","pos","experts",20,3,800000,100
"10-32","pos","experts",20,4,800000,100
"10-32","pos","experts",20,5,800000,100
"10-32","pos","experts",20,6,800000,100
"10-32","pos","experts",20,7,800000,100
"10-32","pos","experts",20,8,800000,100
"10-32","pos","kmeans",0,1,215,0.026875
"10-32","pos","kmeans",0,2,220,0.0275
"10-32","pos","kmeans",0,3,220,0.0275
"10-32","pos","kmeans",0,4,220,0.0275
"10-32","pos","kmeans",0,5,220,0.0275
"10-32","pos","kmeans",0,6,220,0.0275
"10-32","pos","kmeans",0,7,220,0.0275
"10-32","pos","kmeans",0,8,220,0.0275
"10-32","pos","kmeans",0,9,220,0.0275
"10-32","pos","kmeans",1,1,326,0.04075
"10-32","pos","kmeans",1,2,352,0.044
"10-32","pos","kmeans",1,3,352,0.044
"10-32","pos","kmeans",1,4,352,0.044
"10-32","pos","kmeans",1,5,352,0.044
"10-32","pos","kmeans",1,6,352,0.044
"10-32","pos","kmeans",1,7,352,0.044
"10-32","pos","kmeans",1,8,352,0.044
"10-32","pos","kmeans",1,9,352,0.044
"10-32","pos","kmeans",2,1,27165,3.395625
"10-32","pos","kmeans",2,2,27210,3.40125
"10-32","pos","kmeans",2,3,27210,3.40125
"10-32","pos","kmeans",2,4,27210,3.40125
"10-32","pos","kmeans",2,5,27210,3.40125
"10-32","pos","kmeans",2,6,27210,3.40125
"10-32","pos","kmeans",2,7,27210,3.40125
"10-32","pos","kmeans",2,8,27210,3.40125
"10-32","pos","kmeans",2,9,27210,3.40125
"10-32","pos","kmeans",3,1,31204,3.9005
"10-32","pos","kmeans",3,2,31420,3.9275
"10-32","pos","kmeans",3,3,31505,3.938125
"10-32","pos","kmeans",3,4,31512,3.939
"10-32","pos","kmeans",3,5,31512,3.939
"10-32","pos","kmeans",3,6,31512,3.939
"10-32","pos","kmeans",3,7,31512,3.939
"10-32","pos","kmeans",3,8,31512,3.939
"10-32","pos","kmeans",3,9,31512,3.939
"10-32","pos","kmeans",4,1,334102,41.76275
"10-32","pos","kmeans",4,2,334127,41.765875
"10-32","pos","kmeans",4,3,334240,41.78
"10-32","pos","kmeans",4,4,334397,41.799625
"10-32","pos","kmeans",4,5,334397,41.799625
"10-32","pos","kmeans",4,6,334397,41.799625
"10-32","pos","kmeans",4,7,334397,41.799625
"10-32","pos","kmeans",4,8,334397,41.799625
"10-32","pos","kmeans",4,9,334397,41.799625
"10-32","pos","kmeans",5,1,347730,43.46625
"10-32","pos","kmeans",5,2,351386,43.92325
"10-32","pos","kmeans",5,3,351846,43.98075
"10-32","pos","kmeans",5,4,352123,44.015375
