analysis_sample,matrix,matrix_name,d_hamming,prototype,KMEANS,EFA,delta_KMEANS_minus_EFA
WHY_EUROPE,POS,matrix_32_pos_0_1,6,4,88.14901785714184,26.956696428569852,61.19232142857199
WHY_EUROPE,POS,matrix_32_pos_0_1,6,5,89.40116071428467,30.884613095236286,58.51654761904838
WHY_EUROPE,POS,matrix_32_pos_0_1,6,6,90.71461309523704,33.30431547618853,57.410297619048514
WHY_EUROPE,POS,matrix_32_pos_0_1,6,7,93.11437499999889,35.20946428571222,57.904910714286665
WHY_EUROPE,POS,matrix_32_pos_0_1,6,8,94.14038690476076,36.79252976190261,57.34785714285815
WHY_EUROPE,POS,matrix_32_pos_0_1,7,1,78.11190476190345,12.867261904761362,65.24464285714208
WHY_EUROPE,POS,matrix_32_pos_0_1,7,2,86.95797619047488,23.56398809523712,63.39398809523776
WHY_EUROPE,POS,matrix_32_pos_0_1,7,3,91.95723214285572,33.424107142855746,58.53312499999997
WHY_EUROPE,POS,matrix_32_pos_0_1,7,4,93.59812499999856,39.03684523809341,54.56127976190515
WHY_EUROPE,POS,matrix_32_pos_0_1,7,5,95.30574404761758,42.55377976190272,52.75196428571486
WHY_EUROPE,POS,matrix_32_pos_0_1,7,6,96.01419642856996,45.88238095237872,50.13181547619124
WHY_EUROPE,POS,matrix_32_pos_0_1,7,7,96.21669642856996,48.00455357142619,48.21214285714377
WHY_EUROPE,POS,matrix_32_pos_0_1,7,8,96.51877976190328,48.68517857142614,47.83360119047713
WHY_EUROPE,POS,matrix_32_pos_0_1,8,1,86.70645833333235,15.304702380951408,71.40175595238094
WHY_EUROPE,POS,matrix_32_pos_0_1,8,2,92.73717261904646,29.518184523808,63.21898809523846
WHY_EUROPE,POS,matrix_32_pos_0_1,8,3,95.57270833333212,42.659761904759854,52.91294642857226
WHY_EUROPE,POS,matrix_32_pos_0_1,8,4,96.7015476190464,49.06511904761649,47.6364285714299
WHY_EUROPE,POS,matrix_32_pos_0_1,8,5,97.53264880952256,55.90324404761594,41.62940476190661
WHY_EUROPE,POS,matrix_32_pos_0_1,8,6,97.98961309523683,56.95357142856827,41.03604166666857
WHY_EUROPE,POS,matrix_32_pos_0_1,8,7,98.01842261904638,59.07854166666337,38.93988095238301
WHY_EUROPE,POS,matrix_32_pos_0_1,8,8,98.06264880952256,59.43247023809192,38.63017857143063
WHY_EUROPE,POS,matrix_32_pos_0_1,9,1,93.34470238095146,17.844999999998237,75.49970238095322
