"scenario","type","K","D","assigned_pct","unassigned_pct"
"100-32","ext",1,2,0.238745955455031,99.761254044545
"100-32","ext",1,3,0.603147676939026,99.396852323061
"100-32","ext",1,4,1.27540602519398,98.724593974806
"100-32","ext",1,5,2.53510507963434,97.4648949203657
"100-32","ext",1,6,4.60842521911224,95.3915747808878
"100-32","ext",1,7,7.39798322495523,92.6020167750448
"100-32","ext",1,8,11.2242013005372,88.7757986994628
"100-32","ext",1,9,15.9519994973769,84.0480005026231
"100-32","ext",1,10,21.4400150786919,78.5599849213081
"100-32","ext",1,11,27.4903402129865,72.5096597870135
"100-32","ext",1,12,34.2129236955361,65.7870763044639
"100-32","ext",1,13,40.7156095875349,59.284390412465
"100-32","ext",1,14,47.3219614865077,52.6780385134923
"100-32","ext",1,15,100,0
"100-32","ext",1,16,100,0
"100-32","ext",1,17,100,0
"100-32","ext",1,18,100,0
"100-32","ext",1,19,100,0
"100-32","ext",1,20,100,0
"100-32","ext",2,0,0.00628278830144818,99.9937172116986
"100-32","ext",2,1,0.119372977727515,99.8806270222725
"100-32","ext",2,2,0.628278830144818,99.3717211698552
"100-32","ext",2,3,1.88483649043445,98.1151635095655
"100-32","ext",2,4,4.17805422046304,95.821945779537
"100-32","ext",2,5,7.20321678761034,92.7967832123897
"100-32","ext",2,6,11.8461973423805,88.1538026576195
"100-32","ext",2,7,23.5290421889234,76.4709578110766
"100-32","ext",2,8,41.6611692269029,58.3388307730971
"100-32","ext",2,9,48.3617629503974,51.6382370496026
"100-32","ext",2,10,69.3965381836459,30.6034618163541
"100-32","ext",2,11,74.6238180504508,25.3761819495492
"100-32","ext",2,12,89.4135017120598,10.5864982879402
"100-32","ext",2,13,91.7821129017058,8.21788709829422
"100-32","ext",2,14,97.2481387239657,2.7518612760343
"100-32","ext",2,15,100,0
"100-32","ext",2,16,100,0
"100-32","ext",2,17,100,0
"100-32","ext",2,18,100,0
"100-32","ext",2,19,100,0
"100-32","ext",2,20,100,0
"100-32","ext",3,0,0.00942418245217228,99.9905758175478
"100-32","ext",3,1,0.166493889988377,99.8335061100116
"100-32","ext",3,2,1.0303772814375,98.9696227185625
"100-32","ext",3,3,2.51939810888072,97.4806018911193
"100-32","ext",3,4,7.06499544497848,92.9350045550215
"100-32","ext",3,5,11.9592875318066,88.0407124681934
"100-32","ext",3,6,24.0190996764364,75.9809003235636
"100-32","ext",3,7,32.642226620174,67.357773379826
"100-32","ext",3,8,54.6099959161876,45.3900040838124
"100-32","ext",3,9,61.5933151132473,38.4066848867527
"100-32","ext",3,10,81.4720572990293,18.5279427009707
"100-32","ext",3,11,83.3286212421072,16.6713787578928
"100-32","ext",3,12,94.8543963811139,5.14560361888606
"100-32","ext",3,13,95.3821505984356,4.61784940156441
"100-32","ext",3,14,98.0366286557974,1.96337134420256
"100-32","ext",3,15,100,0
"100-32","ext",3,16,100,0
"100-32","ext",3,17,100,0
"100-32","ext",3,18,100,0
"100-32","ext",3,19,100,0
"100-32","ext",3,20,100,0
"100-32","ext",4,0,0.0125655766028964,99.9874344233971
"100-32","ext",4,1,0.226180378852135,99.7738196211479
"100-32","ext",4,2,1.30681996670122,98.6931800332988
"100-32","ext",4,3,3.60317909088053,96.3968209091195
"100-32","ext",4,4,11.0231520748908,88.9768479251092
"100-32","ext",4,5,17.1457292746521,82.8542707253479
"100-32","ext",4,6,32.5982471020639,67.4017528979361
"100-32","ext",4,7,42.1575095027173,57.8424904972827
"100-32","ext",4,8,64.4865391260641,35.5134608739359
"100-32","ext",4,9,82.9013916376088,17.0986083623912
"100-32","ext",4,10,84.3464329469418,15.6535670530581
"100-32","ext",4,11,85.050105236704,14.949894763296
"100-32","ext",4,12,97.1004931988817,2.89950680111834
