"scenario","type","K","D","assigned_pct","unassigned_pct"
"10-32","ext",1,3,0.612714605623289,99.3872853943767
"10-32","ext",1,4,1.32806668325454,98.6719333167455
"10-32","ext",1,5,2.60014929086838,97.3998507091316
"10-32","ext",1,6,4.69022144812142,95.3097785518786
"10-32","ext",1,7,7.72269221199303,92.277307788007
"10-32","ext",1,8,11.7037820353322,88.2962179646678
"10-32","ext",1,9,16.5992784274695,83.4007215725305
"10-32","ext",1,10,22.4340631998009,77.565936800199
"10-32","ext",1,11,28.8722318984822,71.1277681015178
"10-32","ext",1,12,35.5405573525753,64.4594426474247
"10-32","ext",1,13,42.277307788007,57.722692211993
"10-32","ext",1,14,48.7310276188106,51.2689723811894
"10-32","ext",1,15,100,0
"10-32","ext",1,16,100,0
"10-32","ext",1,17,100,0
"10-32","ext",1,18,100,0
"10-32","ext",1,19,100,0
"10-32","ext",1,20,100,0
"10-32","ext",2,0,0.0062204528489674,99.993779547151
"10-32","ext",2,1,0.136849962677283,99.8631500373227
"10-32","ext",2,2,0.643816869868126,99.3561831301319
"10-32","ext",2,3,1.92211993033093,98.0778800696691
"10-32","ext",2,4,4.24234884299577,95.7576511570042
"10-32","ext",2,5,7.43344115451605,92.566558845484
"10-32","ext",2,6,12.2294103010699,87.7705896989301
"10-32","ext",2,7,24.9129136601145,75.0870863398855
"10-32","ext",2,8,43.3876586215477,56.6123413784523
"10-32","ext",2,9,50.1337397362528,49.8662602637472
"10-32","ext",2,10,70.9411545160488,29.0588454839512
"10-32","ext",2,11,76.1694451356059,23.8305548643941
"10-32","ext",2,12,89.885543667579,10.114456332421
"10-32","ext",2,13,92.2462055237621,7.75379447623787
"10-32","ext",2,14,97.318984822095,2.68101517790495
"10-32","ext",2,15,100,0
"10-32","ext",2,16,100,0
"10-32","ext",2,17,100,0
"10-32","ext",2,18,100,0
"10-32","ext",2,19,100,0
"10-32","ext",2,20,100,0
"10-32","ext",3,0,0.00933067927345111,99.9906693207265
"10-32","ext",3,1,0.189723811893506,99.8102761881065
"10-32","ext",3,2,1.06369743717343,98.9363025628266
