analysis_sample,matrix_name,efa_prototype,expert_profile,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
DIEGO,matrix_32_pos_0_1,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
DIEGO,matrix_32_pos_0_1,EFA2,Homo.Economicus,9,9,3,33.333333333333336,33.333333333333336,20,det_04_added_value; det_07_legal; det_08_trust
DIEGO,matrix_32_pos_0_1,EFA3,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
DIEGO,matrix_32_pos_0_1,EFA4,Uninterested,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_20_coziness; det_30_authority
DIEGO,matrix_32_pos_0_1,EFA5,Fearful,10,9,4,40,44.44444444444444,26.666666666666668,det_03_risk_profile; det_07_legal; det_11_knowledge; det_13_technical_fit
DIEGO,matrix_32_pos_0_1,EFA6,Influencer,15,5,5,33.333333333333336,100,33.333333333333336,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
DIEGO,matrix_32_ext_0_1,EFA1,Uninterested,9,6,5,55.55555555555556,83.33333333333333,50,det_07_legal; det_13_technical_fit; det_19_wellbeing; det_22_peer_pressure; det_30_authority
DIEGO,matrix_32_ext_0_1,EFA2,Activist,10,6,3,30,50,23.076923076923077,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment
DIEGO,matrix_32_ext_0_1,EFA3,Uninterested,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_19_wellbeing; det_30_authority
DIEGO,matrix_32_ext_0_1,EFA4,Stubborn,9,3,3,33.333333333333336,100,33.333333333333336,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
DIEGO,matrix_32_ext_0_1,EFA5,Fearful,12,9,6,50,66.66666666666667,40,det_02_credit_score; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_19_wellbeing
DIEGO,matrix_32_ext_0_1,EFA6,Early.Adopter,14,6,4,28.571428571428573,66.66666666666667,25,det_14_environmental_concerns; det_15_self_satisfaction; det_26_novelty; det_29_trends
DIEGO,matrix_32_z_abs,EFA1,Careful,14,12,5,35.714285714285715,41.666666666666664,23.80952380952381,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_09_safety; det_16_commitment
DIEGO,matrix_32_z_abs,EFA2,Influencer,8,5,2,25,40,18.181818181818183,det_11_knowledge; det_28_recognition
DIEGO,matrix_32_z_abs,EFA3,Homo.Economicus,10,9,3,30,33.333333333333336,18.75,det_04_added_value; det_09_safety; det_10_cost_efficiency
DIEGO,matrix_32_z_abs,EFA4,Careful,13,12,7,53.84615384615385,58.333333333333336,38.888888888888886,det_03_risk_profile; det_06_climate_protection; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_17_adherence; det_19_wellbeing
DIEGO,matrix_32_z_abs,EFA5,Uninterested,9,6,3,33.333333333333336,50,25,det_19_wellbeing; det_20_coziness; det_30_authority
DIEGO,matrix_32_z_abs,EFA6,Careful,11,12,6,54.54545454545455,50,35.294117647058826,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_16_commitment
RENOVISOR,matrix_32_raw_0_1,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
RENOVISOR,matrix_32_raw_0_1,EFA2,Careful,8,12,6,75,50,42.857142857142854,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence
RENOVISOR,matrix_32_raw_0_1,EFA3,Activist,8,6,4,50,66.66666666666667,40,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
RENOVISOR,matrix_32_raw_0_1,EFA4,Careful,14,12,6,42.857142857142854,50,30,det_06_climate_protection; det_08_trust; det_09_safety; det_14_environmental_concerns; det_16_commitment; det_17_adherence
RENOVISOR,matrix_32_raw_0_1,EFA5,Influencer,15,5,4,26.666666666666668,80,25,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
RENOVISOR,matrix_32_raw_0_1,EFA6,Fearful,11,9,6,54.54545454545455,66.66666666666667,42.857142857142854,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency
RENOVISOR,matrix_32_pos_0_1,EFA1,Influencer,9,5,4,44.44444444444444,80,40,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
RENOVISOR,matrix_32_pos_0_1,EFA2,Careful,8,12,4,50,33.333333333333336,25,det_06_climate_protection; det_10_cost_efficiency; det_14_environmental_concerns; det_16_commitment
RENOVISOR,matrix_32_pos_0_1,EFA3,Stubborn,8,3,3,37.5,100,37.5,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
RENOVISOR,matrix_32_pos_0_1,EFA4,Activist,10,6,5,50,83.33333333333333,45.45454545454545,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
RENOVISOR,matrix_32_pos_0_1,EFA5,Uninterested,8,6,3,37.5,50,27.272727272727273,det_07_legal; det_22_peer_pressure; det_30_authority
RENOVISOR,matrix_32_pos_0_1,EFA6,Careful,15,12,8,53.333333333333336,66.66666666666667,42.10526315789474,det_02_credit_score; det_03_risk_profile; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence
RENOVISOR,matrix_32_ext_0_1,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
RENOVISOR,matrix_32_ext_0_1,EFA2,Fearful,11,9,7,63.63636363636363,77.77777777777777,53.84615384615385,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing
RENOVISOR,matrix_32_ext_0_1,EFA3,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_06_climate_protection; det_14_environmental_concerns
RENOVISOR,matrix_32_ext_0_1,EFA4,Fearful,8,9,3,37.5,33.333333333333336,21.428571428571427,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency
RENOVISOR,matrix_32_ext_0_1,EFA5,Influencer,15,5,5,33.333333333333336,100,33.333333333333336,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
RENOVISOR,matrix_32_ext_0_1,EFA6,Careful,8,12,6,75,50,42.857142857142854,det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_17_adherence
RENOVISOR,matrix_32_z_abs,EFA1,Influencer,9,5,4,44.44444444444444,80,40,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
