bootstrap_id,variable,category,n,total_n,prop
21,self_classification_archetype_model,Homo economicus,166,615,0.26991869918699185
21,self_classification_archetype_model,Influencer,29,615,0.04715447154471545
21,self_classification_archetype_model,None,10,615,0.016260162601626018
21,self_classification_archetype_model,Stubborn,48,615,0.07804878048780488
21,self_classification_archetype_model,Uninterested,14,615,0.022764227642276424
22,self_classification_archetype_model,Activist,71,617,0.11507293354943274
22,self_classification_archetype_model,Careful,179,617,0.2901134521880065
22,self_classification_archetype_model,Early adopter,9,617,0.014586709886547812
22,self_classification_archetype_model,Fearful,91,617,0.14748784440842788
22,self_classification_archetype_model,Homo economicus,183,617,0.2965964343598055
22,self_classification_archetype_model,Influencer,22,617,0.03565640194489465
22,self_classification_archetype_model,None,10,617,0.01620745542949757
22,self_classification_archetype_model,Stubborn,38,617,0.06158833063209076
22,self_classification_archetype_model,Uninterested,14,617,0.022690437601296597
23,self_classification_archetype_model,Activist,74,613,0.12071778140293637
23,self_classification_archetype_model,Careful,194,613,0.3164763458401305
23,self_classification_archetype_model,Early adopter,11,613,0.01794453507340946
23,self_classification_archetype_model,Fearful,85,613,0.13866231647634583
23,self_classification_archetype_model,Homo economicus,155,613,0.2528548123980424
23,self_classification_archetype_model,Influencer,28,613,0.04567699836867863
23,self_classification_archetype_model,None,15,613,0.024469820554649267
23,self_classification_archetype_model,Stubborn,36,613,0.05872756933115824
23,self_classification_archetype_model,Uninterested,15,613,0.024469820554649267
24,self_classification_archetype_model,Activist,63,641,0.09828393135725429
24,self_classification_archetype_model,Careful,176,641,0.2745709828393136
24,self_classification_archetype_model,Early adopter,7,641,0.0109204368174727
24,self_classification_archetype_model,Fearful,103,641,0.1606864274570983
24,self_classification_archetype_model,Homo economicus,180,641,0.28081123244929795
24,self_classification_archetype_model,Influencer,27,641,0.0421216848673947
24,self_classification_archetype_model,None,14,641,0.0218408736349454
24,self_classification_archetype_model,Stubborn,47,641,0.07332293291731669
24,self_classification_archetype_model,Uninterested,24,641,0.0374414976599064
