bootstrap_id,variable,category,n,total_n,prop
118,dataset_source,why,134,1000,0.134
119,dataset_source,diego,236,1000,0.236
119,dataset_source,rv,646,1000,0.646
119,dataset_source,why,118,1000,0.118
120,dataset_source,diego,217,1000,0.217
120,dataset_source,rv,649,1000,0.649
120,dataset_source,why,134,1000,0.134
121,dataset_source,diego,217,1000,0.217
121,dataset_source,rv,648,1000,0.648
121,dataset_source,why,135,1000,0.135
122,dataset_source,diego,237,1000,0.237
122,dataset_source,rv,636,1000,0.636
122,dataset_source,why,127,1000,0.127
123,dataset_source,diego,230,1000,0.23
123,dataset_source,rv,640,1000,0.64
123,dataset_source,why,130,1000,0.13
124,dataset_source,diego,223,1000,0.223
124,dataset_source,rv,631,1000,0.631
124,dataset_source,why,146,1000,0.146
125,dataset_source,diego,216,1000,0.216
125,dataset_source,rv,632,1000,0.632
125,dataset_source,why,152,1000,0.152
126,dataset_source,diego,227,1000,0.227
126,dataset_source,rv,639,1000,0.639
126,dataset_source,why,134,1000,0.134
127,dataset_source,diego,234,1000,0.234
127,dataset_source,rv,625,1000,0.625
127,dataset_source,why,141,1000,0.141
128,dataset_source,diego,235,1000,0.235
128,dataset_source,rv,617,1000,0.617
128,dataset_source,why,148,1000,0.148
129,dataset_source,diego,238,1000,0.238
129,dataset_source,rv,627,1000,0.627
129,dataset_source,why,135,1000,0.135
130,dataset_source,diego,231,1000,0.231
130,dataset_source,rv,638,1000,0.638
130,dataset_source,why,131,1000,0.131
131,dataset_source,diego,237,1000,0.237
131,dataset_source,rv,643,1000,0.643
131,dataset_source,why,120,1000,0.12
132,dataset_source,diego,227,1000,0.227
132,dataset_source,rv,645,1000,0.645
132,dataset_source,why,128,1000,0.128
133,dataset_source,diego,237,1000,0.237
133,dataset_source,rv,633,1000,0.633
133,dataset_source,why,130,1000,0.13
134,dataset_source,diego,227,1000,0.227
134,dataset_source,rv,633,1000,0.633
134,dataset_source,why,140,1000,0.14
135,dataset_source,diego,238,1000,0.238
135,dataset_source,rv,627,1000,0.627
135,dataset_source,why,135,1000,0.135
136,dataset_source,diego,233,1000,0.233
136,dataset_source,rv,632,1000,0.632
136,dataset_source,why,135,1000,0.135
137,dataset_source,diego,226,1000,0.226
137,dataset_source,rv,627,1000,0.627
137,dataset_source,why,147,1000,0.147
138,dataset_source,diego,226,1000,0.226
138,dataset_source,rv,649,1000,0.649
138,dataset_source,why,125,1000,0.125
139,dataset_source,diego,226,1000,0.226
139,dataset_source,rv,633,1000,0.633
139,dataset_source,why,141,1000,0.141
140,dataset_source,diego,226,1000,0.226
140,dataset_source,rv,621,1000,0.621
140,dataset_source,why,153,1000,0.153
141,dataset_source,diego,242,1000,0.242
141,dataset_source,rv,627,1000,0.627
141,dataset_source,why,131,1000,0.131
142,dataset_source,diego,222,1000,0.222
142,dataset_source,rv,653,1000,0.653
142,dataset_source,why,125,1000,0.125
143,dataset_source,diego,233,1000,0.233
143,dataset_source,rv,643,1000,0.643
143,dataset_source,why,124,1000,0.124
144,dataset_source,diego,242,1000,0.242
144,dataset_source,rv,631,1000,0.631
144,dataset_source,why,127,1000,0.127
145,dataset_source,diego,204,1000,0.204
145,dataset_source,rv,645,1000,0.645
145,dataset_source,why,151,1000,0.151
146,dataset_source,diego,225,1000,0.225
146,dataset_source,rv,634,1000,0.634
146,dataset_source,why,141,1000,0.141
147,dataset_source,diego,254,1000,0.254
147,dataset_source,rv,626,1000,0.626
147,dataset_source,why,120,1000,0.12
148,dataset_source,diego,235,1000,0.235
148,dataset_source,rv,615,1000,0.615
148,dataset_source,why,150,1000,0.15
149,dataset_source,diego,243,1000,0.243
149,dataset_source,rv,633,1000,0.633
149,dataset_source,why,124,1000,0.124
150,dataset_source,diego,242,1000,0.242
150,dataset_source,rv,641,1000,0.641
150,dataset_source,why,117,1000,0.117
151,dataset_source,diego,244,1000,0.244
151,dataset_source,rv,629,1000,0.629
151,dataset_source,why,127,1000,0.127
152,dataset_source,diego,221,1000,0.221
152,dataset_source,rv,633,1000,0.633
152,dataset_source,why,146,1000,0.146
153,dataset_source,diego,210,1000,0.21
153,dataset_source,rv,636,1000,0.636
153,dataset_source,why,154,1000,0.154
154,dataset_source,diego,231,1000,0.231
154,dataset_source,rv,627,1000,0.627
154,dataset_source,why,142,1000,0.142
155,dataset_source,diego,233,1000,0.233
155,dataset_source,rv,628,1000,0.628
155,dataset_source,why,139,1000,0.139
156,dataset_source,diego,231,1000,0.231
156,dataset_source,rv,631,1000,0.631
156,dataset_source,why,138,1000,0.138
157,dataset_source,diego,231,1000,0.231
157,dataset_source,rv,635,1000,0.635
157,dataset_source,why,134,1000,0.134
158,dataset_source,diego,230,1000,0.23
158,dataset_source,rv,645,1000,0.645
158,dataset_source,why,125,1000,0.125
159,dataset_source,diego,244,1000,0.244
159,dataset_source,rv,626,1000,0.626
159,dataset_source,why,130,1000,0.13
160,dataset_source,diego,247,1000,0.247
160,dataset_source,rv,628,1000,0.628
160,dataset_source,why,125,1000,0.125
161,dataset_source,diego,219,1000,0.219
161,dataset_source,rv,634,1000,0.634
161,dataset_source,why,147,1000,0.147
162,dataset_source,diego,227,1000,0.227
162,dataset_source,rv,623,1000,0.623
162,dataset_source,why,150,1000,0.15
163,dataset_source,diego,245,1000,0.245
163,dataset_source,rv,638,1000,0.638
163,dataset_source,why,117,1000,0.117
164,dataset_source,diego,210,1000,0.21
164,dataset_source,rv,616,1000,0.616
164,dataset_source,why,174,1000,0.174
165,dataset_source,diego,237,1000,0.237
165,dataset_source,rv,625,1000,0.625
165,dataset_source,why,138,1000,0.138
166,dataset_source,diego,241,1000,0.241
166,dataset_source,rv,640,1000,0.64
166,dataset_source,why,119,1000,0.119
167,dataset_source,diego,237,1000,0.237
167,dataset_source,rv,622,1000,0.622
167,dataset_source,why,141,1000,0.141
168,dataset_source,diego,244,1000,0.244
168,dataset_source,rv,628,1000,0.628
168,dataset_source,why,128,1000,0.128
169,dataset_source,diego,217,1000,0.217
169,dataset_source,rv,637,1000,0.637
169,dataset_source,why,146,1000,0.146
170,dataset_source,diego,242,1000,0.242
170,dataset_source,rv,643,1000,0.643
170,dataset_source,why,115,1000,0.115
171,dataset_source,diego,235,1000,0.235
171,dataset_source,rv,623,1000,0.623
171,dataset_source,why,142,1000,0.142
172,dataset_source,diego,243,1000,0.243
172,dataset_source,rv,636,1000,0.636
172,dataset_source,why,121,1000,0.121
173,dataset_source,diego,241,1000,0.241
173,dataset_source,rv,660,1000,0.66
173,dataset_source,why,99,1000,0.099
174,dataset_source,diego,228,1000,0.228
174,dataset_source,rv,618,1000,0.618
174,dataset_source,why,154,1000,0.154
175,dataset_source,diego,214,1000,0.214
175,dataset_source,rv,645,1000,0.645
175,dataset_source,why,141,1000,0.141
176,dataset_source,diego,218,1000,0.218
176,dataset_source,rv,646,1000,0.646
176,dataset_source,why,136,1000,0.136
177,dataset_source,diego,229,1000,0.229
177,dataset_source,rv,637,1000,0.637
177,dataset_source,why,134,1000,0.134
178,dataset_source,diego,241,1000,0.241
178,dataset_source,rv,628,1000,0.628
178,dataset_source,why,131,1000,0.131
179,dataset_source,diego,225,1000,0.225
179,dataset_source,rv,628,1000,0.628
179,dataset_source,why,147,1000,0.147
180,dataset_source,diego,229,1000,0.229
180,dataset_source,rv,634,1000,0.634
180,dataset_source,why,137,1000,0.137
181,dataset_source,diego,242,1000,0.242
181,dataset_source,rv,645,1000,0.645
181,dataset_source,why,113,1000,0.113
182,dataset_source,diego,250,1000,0.25
182,dataset_source,rv,626,1000,0.626
182,dataset_source,why,124,1000,0.124
183,dataset_source,diego,256,1000,0.256
183,dataset_source,rv,630,1000,0.63
183,dataset_source,why,114,1000,0.114
184,dataset_source,diego,231,1000,0.231
184,dataset_source,rv,635,1000,0.635
184,dataset_source,why,134,1000,0.134
185,dataset_source,diego,252,1000,0.252
185,dataset_source,rv,618,1000,0.618
185,dataset_source,why,130,1000,0.13
186,dataset_source,diego,228,1000,0.228
186,dataset_source,rv,641,1000,0.641
186,dataset_source,why,131,1000,0.131
187,dataset_source,diego,241,1000,0.241
187,dataset_source,rv,627,1000,0.627
187,dataset_source,why,132,1000,0.132
188,dataset_source,diego,230,1000,0.23
188,dataset_source,rv,634,1000,0.634
188,dataset_source,why,136,1000,0.136
189,dataset_source,diego,224,1000,0.224
189,dataset_source,rv,647,1000,0.647
189,dataset_source,why,129,1000,0.129
190,dataset_source,diego,241,1000,0.241
190,dataset_source,rv,619,1000,0.619
190,dataset_source,why,140,1000,0.14
191,dataset_source,diego,239,1000,0.239
191,dataset_source,rv,628,1000,0.628
191,dataset_source,why,133,1000,0.133
192,dataset_source,diego,236,1000,0.236
192,dataset_source,rv,633,1000,0.633
192,dataset_source,why,131,1000,0.131
193,dataset_source,diego,257,1000,0.257
193,dataset_source,rv,600,1000,0.6
193,dataset_source,why,143,1000,0.143
194,dataset_source,diego,225,1000,0.225
194,dataset_source,rv,625,1000,0.625
194,dataset_source,why,150,1000,0.15
195,dataset_source,diego,234,1000,0.234
195,dataset_source,rv,647,1000,0.647
195,dataset_source,why,119,1000,0.119
196,dataset_source,diego,235,1000,0.235
196,dataset_source,rv,632,1000,0.632
196,dataset_source,why,133,1000,0.133
197,dataset_source,diego,230,1000,0.23
197,dataset_source,rv,632,1000,0.632
197,dataset_source,why,138,1000,0.138
198,dataset_source,diego,243,1000,0.243
198,dataset_source,rv,623,1000,0.623
198,dataset_source,why,134,1000,0.134
199,dataset_source,diego,224,1000,0.224
199,dataset_source,rv,645,1000,0.645
199,dataset_source,why,131,1000,0.131
200,dataset_source,diego,235,1000,0.235
200,dataset_source,rv,636,1000,0.636
200,dataset_source,why,129,1000,0.129
201,dataset_source,diego,247,1000,0.247
201,dataset_source,rv,630,1000,0.63
201,dataset_source,why,123,1000,0.123
202,dataset_source,diego,242,1000,0.242
202,dataset_source,rv,630,1000,0.63
202,dataset_source,why,128,1000,0.128
203,dataset_source,diego,230,1000,0.23
203,dataset_source,rv,639,1000,0.639
203,dataset_source,why,131,1000,0.131
204,dataset_source,diego,216,1000,0.216
204,dataset_source,rv,646,1000,0.646
204,dataset_source,why,138,1000,0.138
205,dataset_source,diego,225,1000,0.225
205,dataset_source,rv,648,1000,0.648
205,dataset_source,why,127,1000,0.127
206,dataset_source,diego,225,1000,0.225
206,dataset_source,rv,633,1000,0.633
206,dataset_source,why,142,1000,0.142
207,dataset_source,diego,237,1000,0.237
207,dataset_source,rv,639,1000,0.639
207,dataset_source,why,124,1000,0.124
208,dataset_source,diego,227,1000,0.227
208,dataset_source,rv,642,1000,0.642
208,dataset_source,why,131,1000,0.131
209,dataset_source,diego,222,1000,0.222
209,dataset_source,rv,642,1000,0.642
209,dataset_source,why,136,1000,0.136
210,dataset_source,diego,230,1000,0.23
210,dataset_source,rv,630,1000,0.63
210,dataset_source,why,140,1000,0.14
211,dataset_source,diego,239,1000,0.239
211,dataset_source,rv,619,1000,0.619
211,dataset_source,why,142,1000,0.142
212,dataset_source,diego,236,1000,0.236
212,dataset_source,rv,633,1000,0.633
212,dataset_source,why,131,1000,0.131
213,dataset_source,diego,240,1000,0.24
213,dataset_source,rv,620,1000,0.62
213,dataset_source,why,140,1000,0.14
214,dataset_source,diego,243,1000,0.243
214,dataset_source,rv,640,1000,0.64
214,dataset_source,why,117,1000,0.117
215,dataset_source,diego,220,1000,0.22
215,dataset_source,rv,636,1000,0.636
215,dataset_source,why,144,1000,0.144
216,dataset_source,diego,226,1000,0.226
216,dataset_source,rv,625,1000,0.625
216,dataset_source,why,149,1000,0.149
217,dataset_source,diego,210,1000,0.21
217,dataset_source,rv,649,1000,0.649
217,dataset_source,why,141,1000,0.141
218,dataset_source,diego,220,1000,0.22
218,dataset_source,rv,634,1000,0.634
218,dataset_source,why,146,1000,0.146
219,dataset_source,diego,229,1000,0.229
219,dataset_source,rv,625,1000,0.625
219,dataset_source,why,146,1000,0.146
220,dataset_source,diego,242,1000,0.242
220,dataset_source,rv,621,1000,0.621
220,dataset_source,why,137,1000,0.137
221,dataset_source,diego,232,1000,0.232
221,dataset_source,rv,640,1000,0.64
221,dataset_source,why,128,1000,0.128
222,dataset_source,diego,231,1000,0.231
222,dataset_source,rv,633,1000,0.633
222,dataset_source,why,136,1000,0.136
223,dataset_source,diego,233,1000,0.233
223,dataset_source,rv,634,1000,0.634
223,dataset_source,why,133,1000,0.133
224,dataset_source,diego,229,1000,0.229
224,dataset_source,rv,632,1000,0.632
224,dataset_source,why,139,1000,0.139
225,dataset_source,diego,221,1000,0.221
225,dataset_source,rv,636,1000,0.636
225,dataset_source,why,143,1000,0.143
226,dataset_source,diego,225,1000,0.225
226,dataset_source,rv,647,1000,0.647
226,dataset_source,why,128,1000,0.128
227,dataset_source,diego,233,1000,0.233
227,dataset_source,rv,616,1000,0.616
227,dataset_source,why,151,1000,0.151
228,dataset_source,diego,245,1000,0.245
228,dataset_source,rv,633,1000,0.633
228,dataset_source,why,122,1000,0.122
229,dataset_source,diego,248,1000,0.248
229,dataset_source,rv,629,1000,0.629
229,dataset_source,why,123,1000,0.123
230,dataset_source,diego,216,1000,0.216
230,dataset_source,rv,631,1000,0.631
230,dataset_source,why,153,1000,0.153
231,dataset_source,diego,223,1000,0.223
231,dataset_source,rv,648,1000,0.648
231,dataset_source,why,129,1000,0.129
232,dataset_source,diego,255,1000,0.255
232,dataset_source,rv,627,1000,0.627
232,dataset_source,why,118,1000,0.118
233,dataset_source,diego,231,1000,0.231
233,dataset_source,rv,618,1000,0.618
233,dataset_source,why,151,1000,0.151
234,dataset_source,diego,241,1000,0.241
234,dataset_source,rv,629,1000,0.629
234,dataset_source,why,130,1000,0.13
235,dataset_source,diego,225,1000,0.225
235,dataset_source,rv,645,1000,0.645
235,dataset_source,why,130,1000,0.13
236,dataset_source,diego,219,1000,0.219
