variable,category,n_bootstraps,mean_n,sd_n,mean_total_n,mean_prop,sd_prop,min_prop,q25_prop,median_prop,q75_prop,max_prop
source_survey,concerns2;decision;energy_crisis;poverty,1000,2.983,1.7611964151714627,1000,0.0029830000000000004,0.0017611964151714684,0,0.002,0.003,0.004,0.01
source_survey,decision;energy_crisis,1000,1.792,1.3351099275035405,1000,0.001792,0.0013351099275035383,0,0.001,0.002,0.003,0.007
source_survey,concerns2;energy_crisis;poverty,1000,1.647,1.2821992961451163,1000,0.001647,0.0012821992961451127,0,0.001,0.0015,0.002,0.006
source_survey,concerns2;poverty,1000,0.959,0.9603339217382816,1000,9.59e-4,9.603339217382939e-4,0,0,0.001,0.002,0.005
source_survey,decision;energy_crisis;poverty,1000,0.826,0.9069435189396,1000,8.260000000000001e-4,9.069435189396013e-4,0,0,0.001,0.001,0.005
source_survey,concerns2;energy_crisis,1000,0.578,0.75662969046191475,1000,5.780000000000001e-4,7.566296904619087e-4,0,0,0,0.001,0.004
source_survey,decision;poverty,1000,0.106,0.323834631978834,1000,1.0599999999999993e-4,3.2383463197883906e-4,0,0,0,0,0.002
source_survey,energy_crisis;poverty,1000,0.304,0.5494414308057636,1000,3.039999999999999e-4,5.494414308057659e-4,0,0,0,0.001,0.003
target_electoral_group,ABSTENTION,1000,506,0,1000,0.506,0,0.506,0.506,0.506,0.506,0.506
target_electoral_group,EPP,1000,122,0,1000,0.122,0,0.122,0.122,0.122,0.122,0.122
target_electoral_group,SD,1000,98,0,1000,0.098,0,0.098,0.098,0.098,0.098,0.098
target_electoral_group,GREENS_EFA_RENEW,1000,88,0,1000,0.088,0,0.088,0.088,0.088,0.088,0.088
target_electoral_group,PFE_ESN,1000,78,0,1000,0.078,0,0.078,0.078,0.078,0.078,0.078
target_electoral_group,ECR,1000,53,0,1000,0.053,0,0.053,0.053,0.053,0.053,0.053
target_electoral_group,GUE_NGL,1000,32,0,1000,0.032,0,0.032,0.032,0.032,0.032,0.032
target_electoral_group,NI,1000,23,0,1000,0.023,0,0.023,0.023,0.023,0.023,0.023
target_sample_type,abstention,1000,506,0,1000,0.506,0,0.506,0.506,0.506,0.506,0.506
target_sample_type,voter,1000,494,0,1000,0.494,0,0.494,0.494,0.494,0.494,0.494
tenure_model,owner_with_mortgage,1000,399.736,12.822352230254662,1000,0.399736,0.012822352230254668,0.357,0.391,0.4,0.409,0.44
tenure_model,unknown,1000,382.752,9.65316941111465,1000,0.382752,0.009653169411114668,0.354,0.376,0.383,0.389,0.416
tenure_model,rent,1000,195.073,12.117033196847048,1000,0.195073,0.012117033196847062,0.155,0.18674999999999997,0.195,0.203,0.235
tenure_model,other,1000,14.199,3.7490604762332738,1000,0.014199,0.00374906047623327,0.005,0.012,0.014,0.017,0.026
tenure_model,family_home,1000,7.86,2.8242479311095154,1000,0.00786,0.0028242479311095126,0.001,0.006,0.008,0.01,0.017
tenure_model,conflict,1000,0.38,0.6180469092083437,1000,3.7999999999999997e-4,6.18046909208343e-4,0,0,0,0.001,0.004
usable_for_clustering,TRUE,1000,855.429,10.788575084428537,1000,0.855429,0.010788575084428547,0.818,0.848,0.856,0.863,0.888
usable_for_clustering,FALSE,1000,144.571,10.788575084428542,1000,0.144571,0.010788575084428537,0.112,0.137,0.144,0.152,0.182
usable_for_main_analysis,TRUE,1000,855.429,10.788575084428537,1000,0.855429,0.010788575084428547,0.818,0.848,0.856,0.863,0.888
usable_for_main_analysis,FALSE,1000,144.571,10.788575084428542,1000,0.144571,0.010788575084428537,0.112,0.137,0.144,0.152,0.182
vote_status_declared,unknown,1000,381.185,9.406341172541756,1000,0.381185,0.009406341172541762,0.35,0.375,0.381,0.388,0.415
vote_status_declared,uncertain,1000,307.653,11.47965040292488,1000,0.307653,0.011479650402924898,0.27,0.3,0.307,0.316,0.343
vote_status_declared,voter,1000,289.694,11.104218462713522,1000,0.289694,0.011104218462713467,0.258,0.282,0.29,0.297,0.337
vote_status_declared,abstainer,1000,19.849,4.439133350655834,1000,0.019849,0.004439133350655838,0.008,0.017,0.02,0.023,0.036
vote_status_declared,conflict,1000,1.619,1.277290284340433,1000,0.001619,0.0012772902843404394,0,0.001,0.001,0.002,0.007
voted_observed,Missing,1000,690.457,11.760546818131434,1000,0.690457,0.011760546818131417,0.646,0.683,0.691,0.698,0.721
voted_observed,1,1000,289.694,11.104218462713522,1000,0.289694,0.011104218462713467,0.258,0.282,0.29,0.297,0.337
voted_observed,0,1000,19.849,4.439133350655834,1000,0.019849,0.004439133350655838,0.008,0.017,0.02,0.023,0.036
