n_participants,boot_id,macro_archetype_5,adoption_stage,n_rows,percentage_within_macro
1000,2,G5_Uninterested,Knowledge,159,64.63414634146342
1000,2,G5_Uninterested,Considering,57,23.170731707317074
1000,2,G5_Uninterested,Done,30,12.195121951219512
1000,3,G1_Activist_Stubborn_Sentient,Knowledge,133,21.21212121212121
1000,3,G1_Activist_Stubborn_Sentient,Considering,247,39.39393939393939
1000,3,G1_Activist_Stubborn_Sentient,Done,247,39.39393939393939
1000,3,G2_EarlyAdopter_Influencer,Knowledge,167,15.462962962962962
1000,3,G2_EarlyAdopter_Influencer,Considering,377,34.90740740740741
1000,3,G2_EarlyAdopter_Influencer,Done,536,49.629629629629626
1000,3,G3_Fearful_Careful,Knowledge,323,43.945578231292515
1000,3,G3_Fearful_Careful,Considering,306,41.63265306122449
1000,3,G3_Fearful_Careful,Done,106,14.421768707482993
1000,3,G4_HomoEconomicus,Knowledge,85,28.052805280528055
1000,3,G4_HomoEconomicus,Considering,152,50.165016501650165
1000,3,G4_HomoEconomicus,Done,66,21.782178217821784
1000,3,G5_Uninterested,Knowledge,170,66.66666666666666
1000,3,G5_Uninterested,Considering,55,21.568627450980394
1000,3,G5_Uninterested,Done,30,11.76470588235294
1000,4,G1_Activist_Stubborn_Sentient,Knowledge,164,24.73604826546003
1000,4,G1_Activist_Stubborn_Sentient,Considering,268,40.42232277526395
1000,4,G1_Activist_Stubborn_Sentient,Done,231,34.841628959276015
1000,4,G2_EarlyAdopter_Influencer,Knowledge,165,15.027322404371585
1000,4,G2_EarlyAdopter_Influencer,Considering,349,31.785063752276866
1000,4,G2_EarlyAdopter_Influencer,Done,584,53.18761384335154
1000,4,G3_Fearful_Careful,Knowledge,338,44.532279314888015
1000,4,G3_Fearful_Careful,Considering,306,40.316205533596836
1000,4,G3_Fearful_Careful,Done,115,15.151515151515152
1000,4,G4_HomoEconomicus,Knowledge,75,33.33333333333333
1000,4,G4_HomoEconomicus,Considering,97,43.111111111111114
1000,4,G4_HomoEconomicus,Done,53,23.555555555555554
1000,4,G5_Uninterested,Knowledge,168,65.88235294117646
1000,4,G5_Uninterested,Considering,61,23.92156862745098
1000,4,G5_Uninterested,Done,26,10.196078431372548
1000,5,G1_Activist_Stubborn_Sentient,Knowledge,141,23.03921568627451
1000,5,G1_Activist_Stubborn_Sentient,Considering,260,42.48366013071895
1000,5,G1_Activist_Stubborn_Sentient,Done,211,34.47712418300654
1000,5,G2_EarlyAdopter_Influencer,Knowledge,154,14.922480620155037
1000,5,G2_EarlyAdopter_Influencer,Considering,360,34.883720930232556
1000,5,G2_EarlyAdopter_Influencer,Done,518,50.1937984496124
1000,5,G3_Fearful_Careful,Knowledge,339,44.66403162055336
1000,5,G3_Fearful_Careful,Considering,304,40.05270092226614
1000,5,G3_Fearful_Careful,Done,116,15.2832674571805
1000,5,G4_HomoEconomicus,Knowledge,97,30.218068535825545
1000,5,G4_HomoEconomicus,Considering,142,44.23676012461059
1000,5,G4_HomoEconomicus,Done,82,25.54517133956386
1000,5,G5_Uninterested,Knowledge,182,65.94202898550725
1000,5,G5_Uninterested,Considering,72,26.08695652173913
1000,5,G5_Uninterested,Done,22,7.971014492753622
2000,1,G1_Activist_Stubborn_Sentient,Knowledge,274,23.240033927056828
2000,1,G1_Activist_Stubborn_Sentient,Considering,491,41.64546225614928
2000,1,G1_Activist_Stubborn_Sentient,Done,414,35.11450381679389
2000,1,G2_EarlyAdopter_Influencer,Knowledge,326,14.86548107615139
2000,1,G2_EarlyAdopter_Influencer,Considering,747,34.06292749658002
2000,1,G2_EarlyAdopter_Influencer,Done,1120,51.07159142726858
2000,1,G3_Fearful_Careful,Knowledge,694,44.48717948717948
2000,1,G3_Fearful_Careful,Considering,628,40.256410256410255
2000,1,G3_Fearful_Careful,Done,238,15.256410256410257
2000,1,G4_HomoEconomicus,Knowledge,182,32.44206773618538
2000,1,G4_HomoEconomicus,Considering,264,47.05882352941176
2000,1,G4_HomoEconomicus,Done,115,20.499108734402853
2000,1,G5_Uninterested,Knowledge,337,66.46942800788955
2000,1,G5_Uninterested,Considering,125,24.65483234714004
2000,1,G5_Uninterested,Done,45,8.875739644970414
2000,2,G1_Activist_Stubborn_Sentient,Knowledge,285,22.300469483568076
2000,2,G1_Activist_Stubborn_Sentient,Considering,503,39.358372456964005
2000,2,G1_Activist_Stubborn_Sentient,Done,490,38.341158059467915
2000,2,G2_EarlyAdopter_Influencer,Knowledge,297,14.082503556187767
2000,2,G2_EarlyAdopter_Influencer,Considering,760,36.03603603603604
2000,2,G2_EarlyAdopter_Influencer,Done,1052,49.881460407776196
2000,2,G3_Fearful_Careful,Knowledge,691,45.97471723220226
2000,2,G3_Fearful_Careful,Considering,592,39.387890884896876
2000,2,G3_Fearful_Careful,Done,220,14.637391882900866
2000,2,G4_HomoEconomicus,Knowledge,172,30.99099099099099
2000,2,G4_HomoEconomicus,Considering,251,45.22522522522522
2000,2,G4_HomoEconomicus,Done,132,23.783783783783786
2000,2,G5_Uninterested,Knowledge,355,63.96396396396396
2000,2,G5_Uninterested,Considering,143,25.765765765765764
2000,2,G5_Uninterested,Done,57,10.27027027027027
2000,3,G1_Activist_Stubborn_Sentient,Knowledge,256,21.174524400330853
2000,3,G1_Activist_Stubborn_Sentient,Considering,513,42.4317617866005
2000,3,G1_Activist_Stubborn_Sentient,Done,440,36.39371381306865
2000,3,G2_EarlyAdopter_Influencer,Knowledge,346,15.627822944896117
2000,3,G2_EarlyAdopter_Influencer,Considering,762,34.417344173441734
2000,3,G2_EarlyAdopter_Influencer,Done,1106,49.95483288166215
2000,3,G3_Fearful_Careful,Knowledge,668,44.98316498316498
2000,3,G3_Fearful_Careful,Considering,597,40.2020202020202
2000,3,G3_Fearful_Careful,Done,220,14.814814814814813
2000,3,G4_HomoEconomicus,Knowledge,183,31.93717277486911
2000,3,G4_HomoEconomicus,Considering,254,44.32809773123909
2000,3,G4_HomoEconomicus,Done,136,23.7347294938918
2000,3,G5_Uninterested,Knowledge,346,66.66666666666666
2000,3,G5_Uninterested,Considering,125,24.084778420038536
2000,3,G5_Uninterested,Done,48,9.248554913294797
2000,4,G1_Activist_Stubborn_Sentient,Knowledge,303,23.598130841121495
2000,4,G1_Activist_Stubborn_Sentient,Considering,525,40.887850467289724
2000,4,G1_Activist_Stubborn_Sentient,Done,456,35.51401869158878
2000,4,G2_EarlyAdopter_Influencer,Knowledge,324,15.29745042492918
2000,4,G2_EarlyAdopter_Influencer,Considering,705,33.286118980169974
2000,4,G2_EarlyAdopter_Influencer,Done,1089,51.41643059490085
2000,4,G3_Fearful_Careful,Knowledge,625,44.232130219391365
2000,4,G3_Fearful_Careful,Considering,566,40.05661712668082
2000,4,G3_Fearful_Careful,Done,222,15.711252653927813
2000,4,G4_HomoEconomicus,Knowledge,196,30.387596899224807
2000,4,G4_HomoEconomicus,Considering,308,47.751937984496124
2000,4,G4_HomoEconomicus,Done,141,21.86046511627907
2000,4,G5_Uninterested,Knowledge,352,65.18518518518519
2000,4,G5_Uninterested,Considering,138,25.555555555555554
2000,4,G5_Uninterested,Done,50,9.25925925925926
2000,5,G1_Activist_Stubborn_Sentient,Knowledge,299,23.730158730158728
2000,5,G1_Activist_Stubborn_Sentient,Considering,513,40.714285714285715
