bootstrap_id,comparison_region,n_draws,prop_complete
330,LATAM,608,0.3781094527363184
331,EUROPE,1000,0.6218905472636815
331,LATAM,608,0.3781094527363184
332,EUROPE,1000,0.6218905472636815
332,LATAM,608,0.3781094527363184
333,EUROPE,1000,0.6218905472636815
333,LATAM,608,0.3781094527363184
334,EUROPE,1000,0.6218905472636815
334,LATAM,608,0.3781094527363184
335,EUROPE,1000,0.6218905472636815
335,LATAM,608,0.3781094527363184
336,EUROPE,1000,0.6218905472636815
336,LATAM,608,0.3781094527363184
337,EUROPE,1000,0.6218905472636815
337,LATAM,608,0.3781094527363184
338,EUROPE,1000,0.6218905472636815
338,LATAM,608,0.3781094527363184
339,EUROPE,1000,0.6218905472636815
339,LATAM,608,0.3781094527363184
340,EUROPE,1000,0.6218905472636815
340,LATAM,608,0.3781094527363184
341,EUROPE,1000,0.6218905472636815
341,LATAM,608,0.3781094527363184
342,EUROPE,1000,0.6218905472636815
342,LATAM,608,0.3781094527363184
343,EUROPE,1000,0.6218905472636815
343,LATAM,608,0.3781094527363184
344,EUROPE,1000,0.6218905472636815
344,LATAM,608,0.3781094527363184
345,EUROPE,1000,0.6218905472636815
345,LATAM,608,0.3781094527363184
346,EUROPE,1000,0.6218905472636815
346,LATAM,608,0.3781094527363184
347,EUROPE,1000,0.6218905472636815
347,LATAM,608,0.3781094527363184
348,EUROPE,1000,0.6218905472636815
348,LATAM,608,0.3781094527363184
349,EUROPE,1000,0.6218905472636815
349,LATAM,608,0.3781094527363184
350,EUROPE,1000,0.6218905472636815
350,LATAM,608,0.3781094527363184
351,EUROPE,1000,0.6218905472636815
351,LATAM,608,0.3781094527363184
352,EUROPE,1000,0.6218905472636815
352,LATAM,608,0.3781094527363184
353,EUROPE,1000,0.6218905472636815
353,LATAM,608,0.3781094527363184
354,EUROPE,1000,0.6218905472636815
354,LATAM,608,0.3781094527363184
355,EUROPE,1000,0.6218905472636815
355,LATAM,608,0.3781094527363184
356,EUROPE,1000,0.6218905472636815
356,LATAM,608,0.3781094527363184
357,EUROPE,1000,0.6218905472636815
357,LATAM,608,0.3781094527363184
358,EUROPE,1000,0.6218905472636815
358,LATAM,608,0.3781094527363184
359,EUROPE,1000,0.6218905472636815
359,LATAM,608,0.3781094527363184
360,EUROPE,1000,0.6218905472636815
360,LATAM,608,0.3781094527363184
361,EUROPE,1000,0.6218905472636815
361,LATAM,608,0.3781094527363184
362,EUROPE,1000,0.6218905472636815
362,LATAM,608,0.3781094527363184
363,EUROPE,1000,0.6218905472636815
363,LATAM,608,0.3781094527363184
364,EUROPE,1000,0.6218905472636815
364,LATAM,608,0.3781094527363184
365,EUROPE,1000,0.6218905472636815
365,LATAM,608,0.3781094527363184
