"scenario","type","reference","archetype","D","n_patterns_covered","freq_covered","pct_covered"
"10-9-top3","pos","experts","Influencer",8,89,8000000,100
"10-9-top3","pos","experts","Influencer",10,89,8000000,100
"10-9-top3","pos","experts","Careful",0,0,0,0
"10-9-top3","pos","experts","Careful",2,0,0,0
"10-9-top3","pos","experts","Careful",4,0,0,0
"10-9-top3","pos","experts","Careful",6,57,7998761,99.9845125
"10-9-top3","pos","experts","Careful",8,89,8000000,100
"10-9-top3","pos","experts","Careful",10,89,8000000,100
"10-9-top3","pos","experts","Activist",0,0,0,0
"10-9-top3","pos","experts","Activist",2,0,0,0
"10-9-top3","pos","experts","Activist",4,28,7921485,99.0185625
"10-9-top3","pos","experts","Activist",6,89,8000000,100
"10-9-top3","pos","experts","Activist",8,89,8000000,100
"10-9-top3","pos","experts","Activist",10,89,8000000,100
"10-9-top3","pos","kmeans","Early.Adopter",0,0,0,0
"10-9-top3","pos","kmeans","Early.Adopter",2,0,0,0
"10-9-top3","pos","kmeans","Early.Adopter",4,0,0,0
"10-9-top3","pos","kmeans","Early.Adopter",6,15,3801,0.0475125
"10-9-top3","pos","kmeans","Early.Adopter",8,84,7946794,99.334925
"10-9-top3","pos","kmeans","Early.Adopter",10,89,8000000,100
"10-9-top3","pos","kmeans","Fearful",0,0,0,0
"10-9-top3","pos","kmeans","Fearful",2,0,0,0
"10-9-top3","pos","kmeans","Fearful",4,0,0,0
"10-9-top3","pos","kmeans","Fearful",6,0,0,0
"10-9-top3","pos","kmeans","Fearful",8,62,7994483,99.9310375
"10-9-top3","pos","kmeans","Fearful",10,89,8000000,100
"10-9-top3","pos","kmeans","Careful",0,0,0,0
"10-9-top3","pos","kmeans","Careful",2,0,0,0
"10-9-top3","pos","kmeans","Careful",4,19,7970180,99.62725
"10-9-top3","pos","kmeans","Careful",6,69,7999722,99.996525
"10-9-top3","pos","kmeans","Careful",8,89,8000000,100
"10-9-top3","pos","kmeans","Careful",10,89,8000000,100
"10-9-top3","pos","kmeans","Stubborn",0,0,0,0
"10-9-top3","pos","kmeans","Stubborn",2,0,0,0
"10-9-top3","pos","kmeans","Stubborn",4,0,0,0
"10-9-top3","pos","kmeans","Stubborn",6,20,7835170,97.939625
"10-9-top3","pos","kmeans","Stubborn",8,84,7999977,99.9997125
"10-9-top3","pos","kmeans","Stubborn",10,89,8000000,100
"10-9-top3","pos","kmeans","Influencer",0,0,0,0
"10-9-top3","pos","kmeans","Influencer",2,0,0,0
"10-9-top3","pos","kmeans","Influencer",4,0,0,0
"10-9-top3","pos","kmeans","Influencer",6,27,1542,0.019275
"10-9-top3","pos","kmeans","Influencer",8,84,3418176,42.7272
"10-9-top3","pos","kmeans","Influencer",10,89,8000000,100
"10-9-top3","pos","kmeans","Uninterested",0,0,0,0
"10-9-top3","pos","kmeans","Uninterested",2,0,0,0
"10-9-top3","pos","kmeans","Uninterested",4,0,0,0
"10-9-top3","pos","kmeans","Uninterested",6,5,1043,0.0130375
"10-9-top3","pos","kmeans","Uninterested",8,72,7159558,89.494475
"10-9-top3","pos","kmeans","Uninterested",10,89,8000000,100
"10-9-top3","pos","kmeans","Homo.Economicus",0,0,0,0
"10-9-top3","pos","kmeans","Homo.Economicus",2,0,0,0
"10-9-top3","pos","kmeans","Homo.Economicus",4,0,0,0
"10-9-top3","pos","kmeans","Homo.Economicus",6,0,0,0
"10-9-top3","pos","kmeans","Homo.Economicus",8,63,3401954,42.524425
"10-9-top3","pos","kmeans","Homo.Economicus",10,89,8000000,100
"10-9-top3","pos","kmeans","X8",0,0,0,0
"10-9-top3","pos","kmeans","X8",2,0,0,0
"10-9-top3","pos","kmeans","X8",4,0,0,0
"10-9-top3","pos","kmeans","X8",6,0,0,0
"10-9-top3","pos","kmeans","X8",8,83,7946778,99.334725
"10-9-top3","pos","kmeans","X8",10,89,8000000,100
"10-9-top3","pos","sins","Early.Adopter",0,0,0,0
"10-9-top3","pos","sins","Early.Adopter",2,0,0,0
"10-9-top3","pos","sins","Early.Adopter",4,0,0,0
"10-9-top3","pos","sins","Early.Adopter",6,39,7892,0.09865
"10-9-top3","pos","sins","Early.Adopter",8,88,7918114,98.976425
"10-9-top3","pos","sins","Early.Adopter",10,89,8000000,100
"10-9-top3","pos","sins","Uninterested",0,0,0,0
"10-9-top3","pos","sins","Uninterested",2,0,0,0
"10-9-top3","pos","sins","Uninterested",4,6,4524414,56.555175
"10-9-top3","pos","sins","Uninterested",6,61,7995208,99.9401
"10-9-top3","pos","sins","Uninterested",8,89,8000000,100
"10-9-top3","pos","sins","Uninterested",10,89,8000000,100
"10-9-top3","pos","sins","Homo.Economicus",0,0,0,0
"10-9-top3","pos","sins","Homo.Economicus",2,3,5567,0.0695875
"10-9-top3","pos","sins","Homo.Economicus",4,42,3444771,43.0596375
"10-9-top3","pos","sins","Homo.Economicus",6,89,8000000,100
"10-9-top3","pos","sins","Homo.Economicus",8,89,8000000,100
"10-9-top3","pos","sins","Homo.Economicus",10,89,8000000,100
"10-9-top3","pos","sins","Fearful",0,0,0,0
"10-9-top3","pos","sins","Fearful",2,0,0,0
"10-9-top3","pos","sins","Fearful",4,0,0,0
"10-9-top3","pos","sins","Fearful",6,14,4577987,57.2248375
"10-9-top3","pos","sins","Fearful",8,83,7999337,99.9917125
"10-9-top3","pos","sins","Fearful",10,89,8000000,100
"10-9-top3","pos","sins","Stubborn",0,0,0,0
"10-9-top3","pos","sins","Stubborn",2,0,0,0
"10-9-top3","pos","sins","Stubborn",4,0,0,0
"10-9-top3","pos","sins","Stubborn",6,59,7979209,99.7401125
"10-9-top3","pos","sins","Stubborn",8,89,8000000,100
"10-9-top3","pos","sins","Stubborn",10,89,8000000,100
"10-9-top3","pos","sins","Influencer",0,0,0,0
"10-9-top3","pos","sins","Influencer",2,0,0,0
"10-9-top3","pos","sins","Influencer",4,13,192,0.0024
"10-9-top3","pos","sins","Influencer",6,67,896136,11.2017
"10-9-top3","pos","sins","Influencer",8,89,8000000,100
"10-9-top3","pos","sins","Influencer",10,89,8000000,100
"10-9-top3","pos","sins","Careful",0,0,0,0
"10-9-top3","pos","sins","Careful",2,0,0,0
"10-9-top3","pos","sins","Careful",4,0,0,0
"10-9-top3","pos","sins","Careful",6,28,7966857,99.5857125
"10-9-top3","pos","sins","Careful",8,84,7999936,99.9992
"10-9-top3","pos","sins","Careful",10,89,8000000,100
"10-9-top3","ext","experts","Early.Adopter",0,0,0,0
"10-9-top3","ext","experts","Early.Adopter",2,0,0,0
"10-9-top3","ext","experts","Early.Adopter",4,14,4689224,58.6153
"10-9-top3","ext","experts","Early.Adopter",6,97,7999902,99.998775
"10-9-top3","ext","experts","Early.Adopter",8,101,8000000,100
"10-9-top3","ext","experts","Early.Adopter",10,101,8000000,100
"10-9-top3","ext","experts","Uninterested",0,0,0,0
"10-9-top3","ext","experts","Uninterested",2,0,0,0
"10-9-top3","ext","experts","Uninterested",4,10,257847,3.2230875
"10-9-top3","ext","experts","Uninterested",6,77,7714043,96.4255375
"10-9-top3","ext","experts","Uninterested",8,101,8000000,100
"10-9-top3","ext","experts","Uninterested",10,101,8000000,100
"10-9-top3","ext","experts","Homo.Economicus",0,0,0,0
"10-9-top3","ext","experts","Homo.Economicus",2,0,0,0
"10-9-top3","ext","experts","Homo.Economicus",4,12,3061143,38.2642875
"10-9-top3","ext","experts","Homo.Economicus",6,91,7735764,96.69705
"10-9-top3","ext","experts","Homo.Economicus",8,101,8000000,100
"10-9-top3","ext","experts","Homo.Economicus",10,101,8000000,100
"10-9-top3","ext","experts","Fearful",0,0,0,0
"10-9-top3","ext","experts","Fearful",2,0,0,0
"10-9-top3","ext","experts","Fearful",4,13,2770548,34.63185
"10-9-top3","ext","experts","Fearful",6,92,7759146,96.989325
"10-9-top3","ext","experts","Fearful",8,101,8000000,100
"10-9-top3","ext","experts","Fearful",10,101,8000000,100
"10-9-top3","ext","experts","Stubborn",0,0,0,0
"10-9-top3","ext","experts","Stubborn",2,4,2794863,34.9357875
"10-9-top3","ext","experts","Stubborn",4,77,7735483,96.6935375
"10-9-top3","ext","experts","Stubborn",6,101,8000000,100
