participant_id,year_of_birth,gender,country,residence_region,city_size,climate_zone,employment,education_level,work_home,type_house,tenure,political_orientation_raw,technology_col,experience_raw,technology,experience_clean,education_group,political_orientation,age_group,experience_short
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final,Already present when I moved in,Domestic hot water system,Already present when I moved in,University education,Left,NA,Already present
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_electric_vehicle_final,I have already actively looked for information about it,Electric vehicle,I have already actively looked for information about it,University education,Left,NA,Searched for information
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_elevator_final,Already present when I moved in,Elevator,Already present when I moved in,University education,Left,NA,Already present
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_energy_efficient_appliances_final,I have already actively looked for information about it,Energy-efficient appliances,I have already actively looked for information about it,University education,Left,NA,Searched for information
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_energy_storage_systems_final,Already present when I moved in,Energy storage systems,Already present when I moved in,University education,Left,NA,Already present
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_envelope_renovation_e_g_wall_roof_insulation_double_windows_final,"I am unaware of this technology, decision, or behaviour",Envelope renovation,"I am unaware of this technology, decision, or behaviour",University education,Left,NA,Unaware
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_fosil_fuel_or_biomass_based_heating_system_final,"I am unaware of this technology, decision, or behaviour",Fossil fuel or biomass heating,"I am unaware of this technology, decision, or behaviour",University education,Left,NA,Unaware
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_heat_pump_based_heating_system_final,"I am unaware of this technology, decision, or behaviour",Heat pump,"I am unaware of this technology, decision, or behaviour",University education,Left,NA,Unaware
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_heat_recovery_mechanical_ventilation_final,"I am unaware of this technology, decision, or behaviour",Heat recovery ventilation,"I am unaware of this technology, decision, or behaviour",University education,Left,NA,Unaware
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_join_an_energy_community_final,I am aware of this and could consider it in the future,Energy community,I am aware of this and could consider it in the future,University education,Left,NA,Aware / would consider
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption_final,I have already actively looked for information about it,Micro-efficiency measures,I have already actively looked for information about it,University education,Left,NA,Searched for information
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_rooftop_photovoltaic_system_solar_pv_final,I have already actively looked for information about it,Rooftop photovoltaic system,I have already actively looked for information about it,University education,Left,NA,Searched for information
PROLIFIC_69249f2bf89992510c44179e,NA,Female,Czech Republic,Eastern Europe,Metropolis,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",Yes,Couple without children,Rented home,20,for_each_of_the_following_technologies_decisions_or_behaviours_smart_home_systems_final,I would never apply / use it,Smart home systems,I would never apply / use it,University education,Left,NA,Would never use it
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_balcony_solar_kits_final,Already present when I moved in,Balcony solar kits,Already present when I moved in,University education,Far left,Millennials,Already present
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final,I have already actively looked for information about it,Electricity tariff change,I have already actively looked for information about it,University education,Far left,Millennials,Searched for information
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_cooling_system_final,"I am unaware of this technology, decision, or behaviour",Cooling system,"I am unaware of this technology, decision, or behaviour",University education,Far left,Millennials,Unaware
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final,I have already actively looked for information about it,Domestic hot water system,I have already actively looked for information about it,University education,Far left,Millennials,Searched for information
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_electric_vehicle_final,I would never apply / use it,Electric vehicle,I would never apply / use it,University education,Far left,Millennials,Would never use it
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_elevator_final,I have installed / implemented / am currently doing this myself,Elevator,I have installed / implemented / am currently doing this myself,University education,Far left,Millennials,Implemented
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_energy_efficient_appliances_final,I have installed / implemented / am currently doing this myself,Energy-efficient appliances,I have installed / implemented / am currently doing this myself,University education,Far left,Millennials,Implemented
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_energy_storage_systems_final,"I am unaware of this technology, decision, or behaviour",Energy storage systems,"I am unaware of this technology, decision, or behaviour",University education,Far left,Millennials,Unaware
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_envelope_renovation_e_g_wall_roof_insulation_double_windows_final,"I am unaware of this technology, decision, or behaviour",Envelope renovation,"I am unaware of this technology, decision, or behaviour",University education,Far left,Millennials,Unaware
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_fosil_fuel_or_biomass_based_heating_system_final,"I am unaware of this technology, decision, or behaviour",Fossil fuel or biomass heating,"I am unaware of this technology, decision, or behaviour",University education,Far left,Millennials,Unaware
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_heat_pump_based_heating_system_final,I have already actively looked for information about it,Heat pump,I have already actively looked for information about it,University education,Far left,Millennials,Searched for information
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_heat_recovery_mechanical_ventilation_final,"I am unaware of this technology, decision, or behaviour",Heat recovery ventilation,"I am unaware of this technology, decision, or behaviour",University education,Far left,Millennials,Unaware
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Female,Denmark,Northern Europe,Large city,Temperate climate,Employed,"University degree or above (e.g. bachelor’s, master’s, PhD).",No,Shared household,Rented home,0,for_each_of_the_following_technologies_decisions_or_behaviours_join_an_energy_community_final,"I am unaware of this technology, decision, or behaviour",Energy community,"I am unaware of this technology, decision, or behaviour",University education,Far left,Millennials,Unaware
