analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,det_01_profits,det_02_credit_score,det_03_risk_profile,det_04_added_value,det_05_frugality,det_06_climate_protection,det_07_legal,det_08_trust,det_09_safety,det_10_cost_efficiency,det_11_knowledge,det_12_own_competence,det_13_technical_fit,det_14_environmental_concerns,det_15_self_satisfaction,det_16_commitment,det_17_adherence,det_18_autonomy,det_19_wellbeing,det_20_coziness,det_21_rights_and_duties,det_22_peer_pressure,det_23_support,det_24_socialising,det_25_agreement,det_26_novelty,det_27_fun,det_28_recognition,det_29_trends,det_30_authority,det_31_approval,det_32_own_significance
LATAM,2395,WHY_LATAM,LATAM,176,why__5f68f02c41716709ee9be42d,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f68f02c41716709ee9be42d,5f68f02c41716709ee9be42d,NA,MX,MX,latin_america,25_34,male,employed,usable_complete,TRUE,TRUE,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA
LATAM,2396,WHY_LATAM,LATAM,177,why__5f6916f985575a0f22ec8f69,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f6916f985575a0f22ec8f69,5f6916f985575a0f22ec8f69,NA,MX,MX,latin_america,18_24,male,unemployed,usable_complete,TRUE,TRUE,32,50,50,NA,50,30,40,50,50,50,50,50,50,50,50,50,NA,50,50,30,NA,NA,50,50,50,50,NA,50,50,NA,30,50,NA
LATAM,2397,WHY_LATAM,LATAM,178,why__5f720f7fb7dd520e26f3c0b3,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f720f7fb7dd520e26f3c0b3,5f720f7fb7dd520e26f3c0b3,NA,MX,MX,latin_america,25_34,male,employed,usable_complete,TRUE,TRUE,32,50,50,50,NA,35,50,NA,NA,NA,50,50,NA,50,50,40,NA,35,35,NA,30,40,44,50,NA,50,NA,40,NA,35,NA,NA,NA
LATAM,2398,WHY_LATAM,LATAM,179,why__5f725b345c6f1e18af1dd1b8,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f725b345c6f1e18af1dd1b8,5f725b345c6f1e18af1dd1b8,NA,MX,MX,latin_america,35_44,female,unknown,usable_complete,TRUE,TRUE,32,50,50,50,NA,50,NA,39,NA,35,50,35,50,50,44,44,50,50,NA,50,NA,NA,NA,NA,47,NA,NA,NA,50,NA,50,50,NA
LATAM,2399,WHY_LATAM,LATAM,180,why__5f80b75d46ee0012d2634d26,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f80b75d46ee0012d2634d26,5f80b75d46ee0012d2634d26,NA,MX,MX,latin_america,18_24,male,unemployed,usable_partial,TRUE,TRUE,31,NA,NA,NA,NA,26,27,NA,NA,NA,NA,NA,NA,NA,NA,50,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA
LATAM,2400,WHY_LATAM,LATAM,181,why__5f83e5fac85c275782756b34,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f83e5fac85c275782756b34,5f83e5fac85c275782756b34,NA,MX,MX,latin_america,25_34,male,unknown,usable_complete,TRUE,TRUE,32,NA,30,NA,NA,NA,35,40,25,NA,NA,NA,25,30,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,40,NA,NA,NA,50,NA,40,30,NA
LATAM,2401,WHY_LATAM,LATAM,182,why__5f84e3aa5a8a9e1bd6be956c,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f84e3aa5a8a9e1bd6be956c,5f84e3aa5a8a9e1bd6be956c,NA,MX,MX,latin_america,55_64,female,inactive_other,usable_complete,TRUE,TRUE,32,NA,45,30,NA,40,NA,45,40,30,50,40,50,NA,NA,25,30,50,30,NA,NA,35,50,NA,50,30,50,50,50,50,50,50,NA
LATAM,2402,WHY_LATAM,LATAM,183,why__5f87990fe9acf51d7dad3f9d,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f87990fe9acf51d7dad3f9d,5f87990fe9acf51d7dad3f9d,NA,CL,CL,latin_america,18_24,female,employed,usable_complete,TRUE,TRUE,32,NA,NA,NA,NA,NA,NA,36,40,NA,36,42,37,35,NA,NA,NA,50,NA,NA,NA,39,29,30,50,NA,NA,38,45,30,40,50,NA
LATAM,2403,WHY_LATAM,LATAM,184,why__5f8a434256536a0fe2e01e78,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f8a434256536a0fe2e01e78,5f8a434256536a0fe2e01e78,NA,MX,MX,latin_america,25_34,male,employed,usable_complete,TRUE,TRUE,32,28,NA,33,27,NA,40,33,28,NA,28,31,45,46,28,35,35,30,40,NA,28,NA,28,25,50,39,34,26,NA,34,29,31,50
LATAM,2404,WHY_LATAM,LATAM,185,why__5f8dc5a637ef2911ed0450c0,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5f8dc5a637ef2911ed0450c0,5f8dc5a637ef2911ed0450c0,NA,CL,CL,latin_america,18_24,male,unknown,usable_complete,TRUE,TRUE,32,30,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,25,NA,25,NA,NA,NA,25,50,NA,NA,NA,30,NA,NA,40,35,50,30,50,NA
