characteristic,Total,Cuidadoso/a,Activista,Temeroso/a,Homo economicus,Sensible,Influyente,Desinteresado/a,Pionero
  Vive solo/a,70 (18.4%),13 (17.3%),11 (16.4%),12 (17.9%),7 (12.5%),9 (16.7%),12 (34.3%),4 (44.4%),0 (0.0%)
  Vivienda compartida,9 (2.4%),5 (6.7%),1 (1.5%),1 (1.5%),1 (1.8%),0 (0.0%),1 (2.9%),0 (0.0%),0 (0.0%)
  Hogar con hijos,172 (45.1%),19 (25.3%),31 (46.3%),35 (52.2%),31 (55.4%),29 (53.7%),14 (40.0%),4 (44.4%),0 (0.0%)
  Otro tipo de hogar,4 (1.0%),1 (1.3%),0 (0.0%),0 (0.0%),1 (1.8%),2 (3.7%),0 (0.0%),0 (0.0%),0 (0.0%)
  Pareja sin hijos,126 (33.1%),37 (49.3%),24 (35.8%),19 (28.4%),16 (28.6%),14 (25.9%),8 (22.9%),1 (11.1%),1 (100.0%)
  Vive solo/a,70 (18.4%),13 (17.3%),11 (16.4%),12 (17.9%),7 (12.5%),9 (16.7%),12 (34.3%),4 (44.4%),0 (0.0%)
  Vivienda compartida,9 (2.4%),5 (6.7%),1 (1.5%),1 (1.5%),1 (1.8%),0 (0.0%),1 (2.9%),0 (0.0%),0 (0.0%)
Régimen de tenencia,,,,,,,,,
  Alquiler,88 (22.2%),32 (40.5%),11 (15.7%),20 (29.4%),19 (31.7%),1 (1.9%),3 (8.6%),1 (11.1%),0 (0.0%)
  Otro régimen,14 (3.5%),2 (2.5%),2 (2.9%),2 (2.9%),4 (6.7%),3 (5.6%),0 (0.0%),0 (0.0%),1 (100.0%)
  Propiedad con hipoteca,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
  Propiedad sin hipoteca,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
  Alquiler,88 (22.2%),32 (40.5%),11 (15.7%),20 (29.4%),19 (31.7%),1 (1.9%),3 (8.6%),1 (11.1%),0 (0.0%)
  Otro régimen,14 (3.5%),2 (2.5%),2 (2.9%),2 (2.9%),4 (6.7%),3 (5.6%),0 (0.0%),0 (0.0%),1 (100.0%)
  Propiedad con hipoteca,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
  Propiedad sin hipoteca,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
  Alquiler,88 (22.2%),32 (40.5%),11 (15.7%),20 (29.4%),19 (31.7%),1 (1.9%),3 (8.6%),1 (11.1%),0 (0.0%)
