section_order,row_order,row_type,characteristic,Total,Cuidadoso/a,Activista,Temeroso/a,Homo economicus,Sensible,Influyente,Desinteresado/a,Pionero
11,3,data,  Propiedad con hipoteca,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
11,3,data,  Propiedad sin hipoteca,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
11,4,data,  Alquiler,88 (22.2%),32 (40.5%),11 (15.7%),20 (29.4%),19 (31.7%),1 (1.9%),3 (8.6%),1 (11.1%),0 (0.0%)
11,4,data,  Otro régimen,14 (3.5%),2 (2.5%),2 (2.9%),2 (2.9%),4 (6.7%),3 (5.6%),0 (0.0%),0 (0.0%),1 (100.0%)
11,4,data,  Propiedad con hipoteca,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
11,4,data,  Propiedad sin hipoteca,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
12,0,header,Zona climática,,,,,,,,,
12,1,data,  Clima cálido/mediterráneo,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
12,1,data,  Clima frío/polar,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
12,1,data,  Clima templado,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
12,1,data,  Otro clima,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
12,2,data,  Clima cálido/mediterráneo,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
12,2,data,  Clima frío/polar,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
12,2,data,  Clima templado,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
12,2,data,  Otro clima,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
12,3,data,  Clima cálido/mediterráneo,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
12,3,data,  Clima frío/polar,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
12,3,data,  Clima templado,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
12,3,data,  Otro clima,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
12,4,data,  Clima cálido/mediterráneo,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
12,4,data,  Clima frío/polar,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
12,4,data,  Clima templado,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
12,4,data,  Otro clima,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,0,header,Orientación política,,,,,,,,,
13,1,data,  Centro,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
13,1,data,  Derecha,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
13,1,data,  Extrema derecha,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,1,data,  Extrema izquierda,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
13,1,data,  Izquierda,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
13,2,data,  Centro,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
13,2,data,  Derecha,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
13,2,data,  Extrema derecha,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,2,data,  Extrema izquierda,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
13,2,data,  Izquierda,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
13,3,data,  Centro,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
13,3,data,  Derecha,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
13,3,data,  Extrema derecha,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,3,data,  Extrema izquierda,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
13,3,data,  Izquierda,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
13,4,data,  Centro,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
13,4,data,  Derecha,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
13,4,data,  Extrema derecha,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,4,data,  Extrema izquierda,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
13,4,data,  Izquierda,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
