sample_label,n_participants,boot_id,model_type,formula,status,error_message,warnings,n_rows,n_unique_participants,AIC,BIC,logLik,n_terms_with_p,n_significant_terms
bootstrap,1000,2,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,3000,1000,2840.3476856875686,3152.6787992053814,-1368.1738428437843,51,34
bootstrap,1000,3,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,3000,1000,6075.430209505362,6117.474782478914,-3030.715104752681,6,6
bootstrap,1000,3,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,3000,1000,3658.9121011975963,3755.01398228,-1813.4560505987981,15,13
bootstrap,1000,3,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,3000,1000,2979.8098276837277,3292.1409412015405,-1437.9049138418638,51,31
bootstrap,1000,4,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,3000,1000,6066.548662764214,6108.593235737766,-3026.274331382107,6,6
bootstrap,1000,4,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,3000,1000,3540.6746479662174,3636.7765290486213,-1754.3373239831087,15,14
bootstrap,1000,4,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,3000,1000,2895.9167036567023,3208.247817174515,-1395.9583518283512,51,30
bootstrap,1000,5,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,3000,1000,6065.972503250695,6108.017076224247,-3025.9862516253474,6,6
bootstrap,1000,5,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,3000,1000,3515.4928112738644,3611.5946923562683,-1741.7464056369322,15,13
bootstrap,1000,5,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,3000,1000,2756.9599341183716,3069.2910476361844,-1326.4799670591858,51,36
