n_participants,model_type,term,n_boot,n_significant,significance_rate,mean_estimate,sd_estimate,mean_p_value
1000,M1,macro_archetype_5G4_HomoEconomicus,5,5,1,5.865849432284131,0.09835038876910418,2.2278839585334254e-68
1000,M1,z_MEANING,5,5,1,1.0767744191518211,0.03513699554010366,3.8030325371342646e-45
1000,M1,macro_archetype_5G5_Uninterested,5,5,1,4.23717134512042,0.216594099011586,4.257527892952742e-45
1000,M1,macro_archetype_5G2_EarlyAdopter_Influencer,5,5,1,1.8977260127481637,0.06613597857387066,1.8081814684990868e-31
1000,M1,z_PHYSIOLOGICAL,5,5,1,-0.6641114517460924,0.054994315771552504,4.297003176603536e-26
1000,M1,Knowledge|Considering,5,5,1,1.0703570532515938,0.1212271944564834,3.8717724295331506e-13
1000,M1,z_COMPETENCE,5,5,1,-0.26937278985297786,0.04279630784766386,4.179665646901678e-5
1000,M1,z_STIMULATION,5,5,1,0.24065561492458962,0.07839444699679951,0.007204899321636965
1000,M1,z_POPULARITY,5,3,0.6,0.13392115937209786,0.06829348603621842,0.121018275567003
1000,M1,z_FINANCIAL,5,2,0.4,-0.10699584413350081,0.05668730001067313,0.18736399275282686
1000,M1,z_RELATEDNESS,5,2,0.4,-0.10641711006287738,0.0677262938943066,0.21607341117861467
1000,M2,Considering|Done,5,5,1,5.823825151893438,0.18752903810692956,3.356480602187068e-66
1000,M2,macro_archetype_5G3_Fearful_Careful,5,5,1,6.668354144188452,0.26050819438426104,4.294541753792055e-51
1000,M2,z_AUTONOMY,5,5,1,2.9403506110748827,0.18655661738018595,6.99762280239441e-50
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer,5,5,1,3.68089447457812,0.13540807358206422,2.5217238697987737e-25
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_FINANCIAL,5,5,1,2.1834541222026,0.11026064521432528,7.14213841522387e-25
1000,M2,macro_archetype_5G4_HomoEconomicus,5,5,1,6.317260514653148,0.5265292258601726,9.87455732903218e-23
1000,M2,macro_archetype_5G5_Uninterested:z_PHYSIOLOGICAL,5,5,1,-2.5692958743639442,0.2047944597652457,7.963231433402882e-17
1000,M2,z_MEANING,5,5,1,1.5361637623626807,0.06237821172207073,5.566488180393899e-16
1000,M2,macro_archetype_5G3_Fearful_Careful:z_PHYSIOLOGICAL,5,5,1,-1.7975863961455414,0.19107682756384015,1.927286140046896e-15
1000,M2,z_FINANCIAL,5,5,1,-1.0758863912694383,0.0652369690352944,4.182169025519455e-12
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_COMPETENCE,5,5,1,-1.2848324602430312,0.11717815445788007,5.105538651488618e-10
1000,M2,macro_archetype_5G5_Uninterested,5,5,1,4.924136665642355,0.38896691417683316,1.199551981788717e-9
1000,M2,z_SECURITY,5,5,1,-1.2955600466915673,0.1423830806821855,2.792893220491605e-9
1000,M2,macro_archetype_5G3_Fearful_Careful:z_MEANING,5,5,1,-1.238573714629826,0.12888910716300842,5.586566784972084e-6
1000,M2,macro_archetype_5G3_Fearful_Careful:z_FINANCIAL,5,5,1,0.9880182010846091,0.0834444833358719,1.1100418396343208e-5
1000,M2,macro_archetype_5G4_HomoEconomicus:z_MEANING,5,5,1,-1.4646096282590106,0.20340546404037071,1.2955570747852976e-4
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_PHYSIOLOGICAL,5,5,1,-0.8319497090969185,0.15126600444349528,3.5149298738936717e-4
1000,M2,macro_archetype_5G4_HomoEconomicus:z_STIMULATION,5,5,1,1.5718938972451648,0.5135901900245792,4.20083633707555e-4
1000,M2,macro_archetype_5G3_Fearful_Careful:z_SECURITY,5,5,1,-0.9942142009791084,0.2229324535409213,7.42281213248017e-4
1000,M2,Knowledge|Considering,5,5,1,0.8809553934401343,0.08504850223920293,0.001034028946721098
1000,M2,z_PHYSIOLOGICAL,5,5,1,0.553073779049219,0.11895123740041724,0.0017791291557494031
1000,M2,macro_archetype_5G3_Fearful_Careful:z_STIMULATION,5,5,1,1.0129476987232782,0.25894855166961167,0.0023300337786457386
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_STIMULATION,5,5,1,-0.6774324888113248,0.10484382034000303,0.0034782099530805462
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_RELATEDNESS,5,5,1,-0.6115435929283508,0.15480432762645022,0.010467811501426035
1000,M2,macro_archetype_5G5_Uninterested:z_FINANCIAL,5,5,1,0.9486554565833691,0.12054767603648205,0.011444290488864717
1000,M2,macro_archetype_5G5_Uninterested:z_STIMULATION,5,5,1,0.901335635198188,0.0997600308114122,0.025839448961117364
1000,M2,macro_archetype_5G4_HomoEconomicus:z_COMPETENCE,5,4,0.8,-0.9554691367446476,0.27092184866128577,0.01295814758800647
1000,M2,macro_archetype_5G5_Uninterested:z_COMPETENCE,5,4,0.8,-1.0448590822923418,0.34603981244926213,0.056732729596848205
1000,M2,macro_archetype_5G3_Fearful_Careful:z_POPULARITY,5,4,0.8,-0.5129834900541821,0.20276322198582344,0.06157156234048441
1000,M2,macro_archetype_5G4_HomoEconomicus:z_SECURITY,5,4,0.8,0.8495214812381556,0.38427115606166606,0.09101739438693304
1000,M2,z_POPULARITY,5,4,0.8,0.39575185011445946,0.17996744185716285,0.10507912261305598
1000,M2,macro_archetype_5G4_HomoEconomicus:z_PHYSIOLOGICAL,5,3,0.6,-0.608474435272145,0.20797796544998656,0.06693395901887908
1000,M2,macro_archetype_5G4_HomoEconomicus:z_FINANCIAL,5,3,0.6,-0.5665861246400743,0.1972155927577399,0.07387886152596751
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_POPULARITY,5,3,0.6,-0.4842147918237071,0.26554200941432415,0.1208245041104729
1000,M2,macro_archetype_5G3_Fearful_Careful:z_AUTONOMY,5,1,0.2,-0.3309285403009641,0.11086455939021257,0.1948600362863995
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_MEANING,5,1,0.2,0.25882045470304715,0.13861557691603693,0.2855999340991703
1000,M2,macro_archetype_5G5_Uninterested:z_MEANING,5,1,0.2,-0.573214986822816,0.4835588317153247,0.37251907785996913
1000,M2,macro_archetype_5G4_HomoEconomicus:z_AUTONOMY,5,1,0.2,-0.22582622888136475,0.3544459097947531,0.4214655559238208
1000,M2,macro_archetype_5G5_Uninterested:z_RELATEDNESS,5,1,0.2,0.255048363130772,0.5153149640048186,0.42380863662834845
1000,M2,macro_archetype_5G5_Uninterested:z_AUTONOMY,5,1,0.2,-0.4905289593937569,0.5247773011003244,0.45603424827595646
1000,M2,macro_archetype_5G4_HomoEconomicus:z_POPULARITY,5,1,0.2,-0.265502593063225,0.2871067209094947,0.4563791119863298
1000,M2,macro_archetype_5G3_Fearful_Careful:z_RELATEDNESS,5,1,0.2,-0.2084345301745087,0.23664302906869011,0.5191618694200206
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_SECURITY,5,0,0,-0.1802895202146948,0.2573324999026971,0.33544934721177083
1000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_AUTONOMY,5,0,0,-0.06932666990308428,0.28468603792321207,0.372521461603343
1000,M2,macro_archetype_5G3_Fearful_Careful:z_COMPETENCE,5,0,0,-0.14492791137972352,0.07430621741682064,0.44488692097244376
1000,M2,macro_archetype_5G5_Uninterested:z_POPULARITY,5,0,0,-0.15002830206573062,0.3007500406055257,0.4467427248362248
1000,M2,macro_archetype_5G4_HomoEconomicus:z_RELATEDNESS,5,0,0,-0.09206658211792586,0.20095577985051102,0.5322744583213281
1000,M2,macro_archetype_5G5_Uninterested:z_SECURITY,5,0,0,0.2799226187479489,0.31748586255657263,0.5363563950321295
1000,M2,z_COMPETENCE,5,0,0,0.06204345801790947,0.09151065220384462,0.5774990536626758
1000,M2,z_RELATEDNESS,5,0,0,0.056390586688228245,0.12371916631909281,0.6171850509252114
1000,M2,z_STIMULATION,5,0,0,-0.08431946091426033,0.11690229186803364,0.650024711709378
2000,M0,Knowledge|Considering,4,4,1,-1.2523703089860292,0.06081624732255764,1.0387829661315926e-90
2000,M0,macro_archetype_5G5_Uninterested,4,4,1,-1.9014849113038177,0.03859718926297289,3.591231468523594e-63
2000,M0,macro_archetype_5G3_Fearful_Careful,4,4,1,-1.0882072402829022,0.07549215599967801,2.2812049900831824e-42
2000,M0,Considering|Done,4,4,1,0.5723806492588893,0.05469099874985025,1.7155509856590173e-21
2000,M0,macro_archetype_5G2_EarlyAdopter_Influencer,4,4,1,0.5757545560569038,0.07875971786874401,4.565561739447942e-14
2000,M0,macro_archetype_5G4_HomoEconomicus,4,4,1,-0.5612208498602405,0.031450987164091844,6.041043575002155e-9
2000,M1,z_AUTONOMY,5,5,1,2.582883602913986,0.029940261763381625,7.894166128729575e-285
2000,M1,Considering|Done,5,5,1,4.6179794864120725,0.11937405957177288,7.842804038297982e-249
2000,M1,macro_archetype_5G3_Fearful_Careful,5,5,1,5.730659820598257,0.127821780449467,1.3729927905963653e-183
2000,M1,z_SECURITY,5,5,1,-1.4991659971082705,0.054306880111161956,1.9190749268143244e-146
2000,M1,macro_archetype_5G4_HomoEconomicus,5,5,1,5.520447355122883,0.09547344825515974,3.5672702828091076e-123
2000,M1,z_MEANING,5,5,1,1.027433546229461,0.012250810772105011,1.2263134963456916e-84
2000,M1,macro_archetype_5G5_Uninterested,5,5,1,3.9770996028984125,0.09861752954252462,1.6836144844510075e-82
2000,M1,z_PHYSIOLOGICAL,5,5,1,-0.6550412967018785,0.0335586808659078,7.418633956178303e-55
2000,M1,macro_archetype_5G2_EarlyAdopter_Influencer,5,5,1,1.8111600554447755,0.10553652314489548,4.052616821418494e-52
2000,M1,Knowledge|Considering,5,5,1,0.9686791934388332,0.08362690646270429,2.269323897197239e-19
2000,M1,z_COMPETENCE,5,5,1,-0.239640797239631,0.061905533095028296,1.76667190373661e-6
2000,M1,z_STIMULATION,5,5,1,0.21202169743020907,0.03143723039217665,1.3181008198841373e-4
2000,M1,z_RELATEDNESS,5,5,1,-0.13544082068629207,0.02268467337892083,0.0037189014996348827
2000,M1,z_POPULARITY,5,5,1,0.14731649495966742,0.033362428609898714,0.004897434663440154
2000,M1,z_FINANCIAL,5,1,0.2,-0.06354865988222216,0.04817117117733916,0.16840182609932755
2000,M2,Considering|Done,5,5,1,5.762058069212643,0.19888089807970916,2.4746834051842273e-137
2000,M2,macro_archetype_5G3_Fearful_Careful,5,5,1,6.442309729504731,0.22526506368123086,2.237250153269739e-99
2000,M2,z_AUTONOMY,5,5,1,2.9783510622653107,0.07005808731066522,5.99345277529136e-95
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer,5,5,1,3.5759964900501138,0.14981741385594222,5.92538486248776e-48
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_FINANCIAL,5,5,1,2.1984345052759244,0.17301009877794607,8.226917671732123e-47
2000,M2,macro_archetype_5G4_HomoEconomicus,5,5,1,5.993164772706236,0.29911953066317976,6.547156635515058e-40
2000,M2,macro_archetype_5G5_Uninterested:z_PHYSIOLOGICAL,5,5,1,-2.718443783648095,0.037835476559012794,3.9099427947172754e-39
2000,M2,macro_archetype_5G3_Fearful_Careful:z_PHYSIOLOGICAL,5,5,1,-1.8854559901725354,0.033858270129354516,3.6545942283296126e-31
2000,M2,z_MEANING,5,5,1,1.4667488989497564,0.0955941119604454,2.632986391179113e-24
2000,M2,z_SECURITY,5,5,1,-1.3838356209859333,0.01900876872629062,3.9905237280467186e-24
2000,M2,macro_archetype_5G5_Uninterested,5,5,1,4.72397992692422,0.3433363028138537,4.368728880605762e-20
2000,M2,z_FINANCIAL,5,5,1,-0.9992125710462678,0.10879075078471884,5.276919100782765e-19
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_COMPETENCE,5,5,1,-1.136459677307297,0.17989453701120153,6.482817180935274e-15
2000,M2,macro_archetype_5G3_Fearful_Careful:z_MEANING,5,5,1,-1.2641802806054012,0.13685313167847848,6.607684014758399e-10
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_PHYSIOLOGICAL,5,5,1,-0.9369593588529789,0.10316184935125199,7.283108762691889e-10
2000,M2,macro_archetype_5G4_HomoEconomicus:z_MEANING,5,5,1,-1.4776335274016836,0.11832813610403202,1.243497017785341e-9
2000,M2,macro_archetype_5G4_HomoEconomicus:z_STIMULATION,5,5,1,1.5589033246213364,0.2294009294369625,9.226693154467915e-9
2000,M2,z_PHYSIOLOGICAL,5,5,1,0.6752219150966523,0.05742459415763145,2.823668174825955e-8
2000,M2,macro_archetype_5G3_Fearful_Careful:z_FINANCIAL,5,5,1,0.8459329827334863,0.12386879411571966,2.963330640499227e-6
2000,M2,macro_archetype_5G4_HomoEconomicus:z_SECURITY,5,5,1,1.117752939307837,0.16037494389384627,5.644628309118692e-6
2000,M2,macro_archetype_5G3_Fearful_Careful:z_STIMULATION,5,5,1,0.8998575987632772,0.16849766501480898,5.827631941484963e-6
2000,M2,macro_archetype_5G4_HomoEconomicus:z_COMPETENCE,5,5,1,-1.0055780144962576,0.18467263337168657,9.521091625462155e-6
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_STIMULATION,5,5,1,-0.7297745401579298,0.15583085402510383,3.64611399065692e-5
2000,M2,Knowledge|Considering,5,5,1,0.8202747426203969,0.13648090123991088,4.725991114476091e-5
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_RELATEDNESS,5,5,1,-0.5810619590599244,0.06253314543604219,5.884547293930302e-5
2000,M2,macro_archetype_5G3_Fearful_Careful:z_SECURITY,5,5,1,-0.7878409899954748,0.12967029017123002,9.227739293030988e-5
2000,M2,macro_archetype_5G3_Fearful_Careful:z_POPULARITY,5,5,1,-0.6012326732752611,0.13373352801863483,2.516401160514558e-4
2000,M2,z_POPULARITY,5,5,1,0.4428309430319323,0.0991498760187713,3.1827084867319525e-4
2000,M2,macro_archetype_5G5_Uninterested:z_FINANCIAL,5,5,1,0.9671904901232845,0.1295016694325072,6.909251198631925e-4
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_POPULARITY,5,5,1,-0.49589985462100267,0.07416028511472443,8.02611663630949e-4
2000,M2,macro_archetype_5G4_HomoEconomicus:z_FINANCIAL,5,5,1,-0.6378508936705143,0.07991474081154959,0.001763549366884837
2000,M2,macro_archetype_5G5_Uninterested:z_STIMULATION,5,5,1,0.9622156883870795,0.1940981948325734,0.0019799575448317544
2000,M2,macro_archetype_5G4_HomoEconomicus:z_PHYSIOLOGICAL,5,5,1,-0.5946371114587772,0.09422455255874355,0.005410399135494646
2000,M2,macro_archetype_5G5_Uninterested:z_COMPETENCE,5,5,1,-0.7197733175161019,0.20925738058844462,0.01913249539358919
2000,M2,macro_archetype_5G5_Uninterested:z_MEANING,5,4,0.8,-0.9223331088815956,0.2754043939884755,0.016985662760770286
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_MEANING,5,4,0.8,0.35215567652036167,0.09785771341127451,0.05046417002767134
2000,M2,macro_archetype_5G5_Uninterested:z_AUTONOMY,5,4,0.8,-0.532187638843391,0.3203151588635498,0.21175717056231563
2000,M2,macro_archetype_5G3_Fearful_Careful:z_AUTONOMY,5,2,0.4,-0.31600743549955057,0.1097656328404515,0.10872691029538983
2000,M2,macro_archetype_5G4_HomoEconomicus:z_AUTONOMY,5,2,0.4,-0.3651451662816989,0.16552727211707258,0.18644150685977107
2000,M2,macro_archetype_5G3_Fearful_Careful:z_COMPETENCE,5,1,0.2,-0.10477802915086538,0.17622747610864184,0.2690473026938795
2000,M2,z_COMPETENCE,5,1,0.2,0.03310601691371753,0.14152286074281617,0.3473451170064054
2000,M2,macro_archetype_5G4_HomoEconomicus:z_POPULARITY,5,1,0.2,-0.17800909036195128,0.25797897913628254,0.5756043100529823
2000,M2,z_STIMULATION,5,0,0,-0.07570793716751972,0.11425476700545031,0.34661070250595166
2000,M2,macro_archetype_5G5_Uninterested:z_SECURITY,5,0,0,0.3051092419831438,0.14586786898178544,0.3880084008986406
2000,M2,macro_archetype_5G5_Uninterested:z_RELATEDNESS,5,0,0,0.13549333226022575,0.16760426395670866,0.46936985736043474
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_AUTONOMY,5,0,0,-0.11174192321309827,0.06836992206051819,0.5226502266497801
2000,M2,macro_archetype_5G4_HomoEconomicus:z_RELATEDNESS,5,0,0,-0.0463992163928115,0.13147850106494638,0.5648616558617249
2000,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_SECURITY,5,0,0,-0.07807336775997525,0.08944986391557685,0.5783917004947157
2000,M2,macro_archetype_5G5_Uninterested:z_POPULARITY,5,0,0,-0.07241704967406395,0.15854132604925314,0.6106958417552102
2000,M2,z_RELATEDNESS,5,0,0,0.004513580313986789,0.0628658060438564,0.6827614549643601
2000,M2,macro_archetype_5G3_Fearful_Careful:z_RELATEDNESS,5,0,0,-0.003851999685201988,0.08020311461102161,0.7224879443312042
