bootstrap_id,target_sample_type,row_quality_final,n,prop_within_type
40,voter,usable_partial,165,0.3340080971659919
41,abstention,usable_complete,428,0.8458498023715415
41,abstention,usable_complete_limited_metadata,13,0.025691699604743084
41,abstention,usable_partial,60,0.11857707509881422
41,abstention,usable_partial_limited_metadata,5,0.009881422924901186
41,voter,usable_complete,312,0.631578947368421
41,voter,usable_complete_limited_metadata,11,0.022267206477732792
41,voter,usable_partial,169,0.34210526315789475
41,voter,usable_partial_limited_metadata,2,0.004048582995951417
42,abstention,usable_complete,423,0.8359683794466403
42,abstention,usable_complete_limited_metadata,25,0.04940711462450593
42,abstention,usable_partial,54,0.1067193675889328
42,abstention,usable_partial_limited_metadata,4,0.007905138339920948
42,voter,usable_complete,300,0.6072874493927125
42,voter,usable_complete_limited_metadata,14,0.02834008097165992
42,voter,usable_partial,180,0.3643724696356275
43,abstention,usable_complete,434,0.857707509881423
43,abstention,usable_complete_limited_metadata,22,0.043478260869565216
43,abstention,usable_partial,44,0.08695652173913043
43,abstention,usable_partial_limited_metadata,6,0.011857707509881422
43,voter,usable_complete,314,0.6356275303643725
43,voter,usable_complete_limited_metadata,8,0.016194331983805668
43,voter,usable_partial,172,0.3481781376518219
44,abstention,usable_complete,427,0.8438735177865613
44,abstention,usable_complete_limited_metadata,20,0.039525691699604744
44,abstention,usable_partial,56,0.11067193675889328
44,abstention,usable_partial_limited_metadata,3,0.005928853754940711
44,voter,usable_complete,310,0.6275303643724697
44,voter,usable_complete_limited_metadata,9,0.018218623481781375
44,voter,usable_partial,175,0.354251012145749
45,abstention,usable_complete,423,0.8359683794466403
45,abstention,usable_complete_limited_metadata,30,0.05928853754940711
45,abstention,usable_partial,52,0.10276679841897234
45,abstention,usable_partial_limited_metadata,1,0.001976284584980237
45,voter,usable_complete,330,0.6680161943319838
45,voter,usable_complete_limited_metadata,10,0.020242914979757085
45,voter,usable_partial,153,0.3097165991902834
45,voter,usable_partial_limited_metadata,1,0.0020242914979757085
46,abstention,usable_complete,433,0.8557312252964426
46,abstention,usable_complete_limited_metadata,22,0.043478260869565216
46,abstention,usable_partial,50,0.09881422924901186
46,abstention,usable_partial_limited_metadata,1,0.001976284584980237
46,voter,usable_complete,315,0.6376518218623481
46,voter,usable_complete_limited_metadata,8,0.016194331983805668
46,voter,usable_partial,171,0.34615384615384615
47,abstention,usable_complete,434,0.857707509881423
47,abstention,usable_complete_limited_metadata,9,0.017786561264822136
47,abstention,usable_partial,62,0.1225296442687747
47,abstention,usable_partial_limited_metadata,1,0.001976284584980237
47,voter,usable_complete,302,0.611336032388664
47,voter,usable_complete_limited_metadata,14,0.02834008097165992
47,voter,usable_partial,178,0.3603238866396761
48,abstention,usable_complete,428,0.8458498023715415
48,abstention,usable_complete_limited_metadata,21,0.041501976284584984
48,abstention,usable_partial,51,0.1007905138339921
48,abstention,usable_partial_limited_metadata,6,0.011857707509881422
48,voter,usable_complete,306,0.6194331983805668
48,voter,usable_complete_limited_metadata,8,0.016194331983805668
48,voter,usable_partial,179,0.3623481781376518
48,voter,usable_partial_limited_metadata,1,0.0020242914979757085
49,abstention,usable_complete,429,0.8478260869565217
49,abstention,usable_complete_limited_metadata,15,0.029644268774703556
49,abstention,usable_partial,61,0.12055335968379446
49,abstention,usable_partial_limited_metadata,1,0.001976284584980237
49,voter,usable_complete,303,0.6133603238866396
49,voter,usable_complete_limited_metadata,12,0.024291497975708502
49,voter,usable_partial,173,0.35020242914979755
49,voter,usable_partial_limited_metadata,6,0.012145748987854251
50,abstention,usable_complete,438,0.8656126482213439
50,abstention,usable_complete_limited_metadata,13,0.025691699604743084
50,abstention,usable_partial,52,0.10276679841897234
50,abstention,usable_partial_limited_metadata,3,0.005928853754940711
50,voter,usable_complete,303,0.6133603238866396
50,voter,usable_complete_limited_metadata,12,0.024291497975708502
50,voter,usable_partial,179,0.3623481781376518
51,abstention,usable_complete,415,0.8201581027667985
51,abstention,usable_complete_limited_metadata,23,0.045454545454545456
51,abstention,usable_partial,65,0.12845849802371542
51,abstention,usable_partial_limited_metadata,3,0.005928853754940711
51,voter,usable_complete,299,0.6052631578947368
51,voter,usable_complete_limited_metadata,17,0.03441295546558704
51,voter,usable_partial,177,0.3582995951417004
51,voter,usable_partial_limited_metadata,1,0.0020242914979757085
52,abstention,usable_complete,426,0.841897233201581
52,abstention,usable_complete_limited_metadata,24,0.04743083003952569
52,abstention,usable_partial,50,0.09881422924901186
52,abstention,usable_partial_limited_metadata,6,0.011857707509881422
52,voter,usable_complete,322,0.6518218623481782
52,voter,usable_complete_limited_metadata,7,0.01417004048582996
52,voter,usable_partial,165,0.3340080971659919
53,abstention,usable_complete,425,0.8399209486166008
53,abstention,usable_complete_limited_metadata,21,0.041501976284584984
53,abstention,usable_partial,56,0.11067193675889328
53,abstention,usable_partial_limited_metadata,4,0.007905138339920948
53,voter,usable_complete,318,0.6437246963562753
53,voter,usable_complete_limited_metadata,13,0.02631578947368421
53,voter,usable_partial,163,0.3299595141700405
54,abstention,usable_complete,433,0.8557312252964426
54,abstention,usable_complete_limited_metadata,23,0.045454545454545456
54,abstention,usable_partial,47,0.09288537549407115
