analysis_sample,matrix_name,bootstrap_id,n_factors,status,n_bootstrap_draws,n_rows_used,n_rows_dropped,n_unique_participants,n_variable_features,n_constant_features,RMSR,TLI,RMSEA,BIC,mean_abs_factor_correlation,var_abs_factor_correlation,mean_factor_distance,var_factor_distance,warning_flag,warning_message,error_message
COMPLETE,matrix_32_raw_0_1,12,5,ok,1608,1608,0,1032,32,0,0.02186874940243031,0.8432594863121032,0.04845927886228621,-901.6950389876263,0.16408972698502527,0.013852775331345716,0.8359102730149747,0.013852775331345716,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,12,6,ok,1608,1608,0,1032,32,0,0.017621499300079748,0.8899448720824751,0.0405958403184598,-1190.5413011548067,0.17837246825473418,0.014469520102177919,0.8216275317452658,0.014469520102177919,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,12,7,ok,1608,1608,0,1032,32,0,0.015990459915634345,0.9018680458464207,0.03832486543287088,-1177.9482847099644,0.16094039423176668,0.015021848060379605,0.8390596057682334,0.015021848060379603,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,12,8,ok,1608,1608,0,1032,32,0,0.01448890322124646,0.9113692748500463,0.03641385054019518,-1138.9911040755214,0.15563215066999356,0.015623689543941685,0.8443678493300064,0.015623689543941688,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,13,2,ok,1608,1608,0,1005,32,0,0.04720212313878564,0.61838107683579,0.07412000653540324,1061.658246823929,0.008885429192065896,NA,0.9911145708079341,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,13,3,ok,1608,1608,0,1005,32,0,0.032144275978965714,0.7536013717977667,0.05954379129111398,-274.45087358871797,0.07070487052856504,0.004105864375499231,0.929295129471435,0.004105864375499232,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,13,4,ok,1608,1608,0,1005,32,0,0.026924859629565468,0.7980962666443532,0.0538876799279837,-640.5430077806354,0.13704256319114258,0.011506090959441195,0.8629574368088575,0.011506090959441195,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,13,5,ok,1608,1608,0,1005,32,0,0.021752116678653448,0.8461974603341171,0.04702135743428232,-978.0808340588865,0.12695492647108672,0.014946747723243071,0.8730450735289133,0.01494674772324308,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,13,6,ok,1608,1608,0,1005,32,0,0.01833303747521283,0.8786736351475546,0.041752831266492846,-1141.668943952801,0.16160515262499148,0.013162551014968186,0.8383948473750086,0.013162551014968184,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,13,7,ok,1608,1608,0,1005,32,0,0.016627494321542008,0.8875766951762494,0.04018257401586019,-1109.2347855144849,0.1603268118053552,0.01227453423882463,0.8396731881946448,0.012274534238824634,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,13,8,ok,1608,1608,0,1005,32,0,0.014870933404692026,0.9017764447857203,0.03755042827014248,-1102.7633002217315,0.1605429979868095,0.010681899960832221,0.8394570020131905,0.010681899960832223,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,14,2,ok,1608,1608,0,1002,32,0,0.047433599020226556,0.6387049691514431,0.07520607781033595,1174.5774865004582,0.021585333823150792,NA,0.9784146661768492,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,14,3,ok,1608,1608,0,1002,32,0,0.0328124090547613,0.7559802187289687,0.061792088660756944,-97.67048385842327,0.08147501079350652,0.005490460922149655,0.9185249892064935,0.005490460922149651,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,14,4,ok,1608,1608,0,1002,32,0,0.02635444612701037,0.8061864749170256,0.0550569574258137,-563.9337779743582,0.11737466342081718,0.0077859928381422885,0.8826253365791829,0.00778599283814229,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,14,5,ok,1608,1608,0,1002,32,0,0.021389016153562115,0.8541646129387992,0.04774720686001913,-939.8095545505212,0.16392394269404237,0.016597776945953477,0.8360760573059576,0.01659777694595348,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,14,6,ok,1608,1608,0,1002,32,0,0.017890296956217272,0.8899326324478698,0.041470497136657014,-1153.7216673285332,0.16589728450441518,0.016107547195461955,0.8341027154955848,0.016107547195461955,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,14,7,ok,1608,1608,0,1002,32,0,0.015842365751807207,0.9050478861885869,0.03850878939944244,-1171.2902894515346,0.15434565898555686,0.013905820326305057,0.8456543410144431,0.013905820326305055,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,14,8,ok,1608,1608,0,1002,32,0,0.014056718596469689,0.9189484928109548,0.035569986830921205,-1165.1686025739032,0.16655687101963776,0.01407425876638401,0.8334431289803622,0.01407425876638401,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,15,2,ok,1608,1608,0,1009,32,0,0.044244580730551854,0.6471644556222458,0.07185786041246325,831.7356749189612,0.013715377088898,NA,0.986284622911102,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,15,3,ok,1608,1608,0,1009,32,0,0.03163717907883448,0.7557096496033134,0.059777719600142616,-256.36278751516556,0.09863275582959573,0.00467709564452185,0.9013672441704043,0.004677095644521853,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,15,4,ok,1608,1608,0,1009,32,0,0.027160162186027098,0.7882265197108985,0.05564467649411771,-524.8063357321494,0.10021883329522095,0.003725220537482437,0.899781166704779,0.003725220537482436,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,15,5,ok,1608,1608,0,1009,32,0,0.022293510894083473,0.8345114570156124,0.0491778371124988,-862.6613977629902,0.13550016318396754,0.014574014751811871,0.8644998368160325,0.014574014751811868,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,15,6,ok,1608,1608,0,1009,32,0,0.018736088623261232,0.87261737193307,0.043135549381492534,-1081.460330075228,0.17074867174674352,0.013859658427634102,0.8292513282532564,0.013859658427634106,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,15,7,ok,1608,1608,0,1009,32,0,0.01636693720098909,0.8935024628615158,0.03943177064397232,-1137.397285450344,0.17038093716240987,0.013179613278232027,0.8296190628375901,0.013179613278232027,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,15,8,ok,1608,1608,0,1009,32,0,0.014755924082194323,0.9013218687624204,0.03794790035531145,-1089.8313266330215,0.15490731324832152,0.01105396315060663,0.8450926867516785,0.011053963150606631,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,16,2,ok,1608,1608,0,1012,32,0,0.04639340966995032,0.6419695140372982,0.07206810669922825,852.8045540399908,0.03169354987415782,NA,0.9683064501258422,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,16,3,ok,1608,1608,0,1012,32,0,0.03000310694439053,0.7823426458391308,0.05617778514422321,-526.8688824284045,0.09269588363531173,0.00229496403997885,0.9073041163646883,0.0022949640399788527,FALSE,NA,NA
