analysis_sample,matrix_name,kmeans_prototype,expert_profile,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
DIEGO,matrix_32_ext_0_1,KM2,Influencer,8,5,2,25,40,18.181818181818183,det_22_peer_pressure; det_31_approval
DIEGO,matrix_32_ext_0_1,KM3,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
DIEGO,matrix_32_ext_0_1,KM4,Influencer,8,5,3,37.5,60,30,det_11_knowledge; det_22_peer_pressure; det_28_recognition
DIEGO,matrix_32_ext_0_1,KM5,Careful,8,12,4,50,33.333333333333336,25,det_08_trust; det_09_safety; det_10_cost_efficiency; det_12_own_competence
DIEGO,matrix_32_ext_0_1,KM6,Influencer,8,5,3,37.5,60,30,det_22_peer_pressure; det_28_recognition; det_31_approval
DIEGO,matrix_32_z_abs,KM1,Activist,8,6,3,37.5,50,27.272727272727273,det_08_trust; det_14_environmental_concerns; det_17_adherence
DIEGO,matrix_32_z_abs,KM2,Influencer,8,5,2,25,40,18.181818181818183,det_22_peer_pressure; det_28_recognition
DIEGO,matrix_32_z_abs,KM3,Activist,8,6,4,50,66.66666666666667,40,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
DIEGO,matrix_32_z_abs,KM4,Activist,8,6,3,37.5,50,27.272727272727273,det_14_environmental_concerns; det_15_self_satisfaction; det_17_adherence
DIEGO,matrix_32_z_abs,KM5,Homo.Economicus,8,9,3,37.5,33.333333333333336,21.428571428571427,det_01_profits; det_07_legal; det_15_self_satisfaction
DIEGO,matrix_32_z_abs,KM6,Activist,8,6,5,62.5,83.33333333333333,55.55555555555556,det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
RENOVISOR,matrix_32_raw_0_1,KM1,Fearful,8,9,6,75,66.66666666666667,54.54545454545455,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
RENOVISOR,matrix_32_raw_0_1,KM2,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
RENOVISOR,matrix_32_raw_0_1,KM3,Influencer,8,5,4,50,80,44.44444444444444,det_11_knowledge; det_24_socialising; det_28_recognition; det_31_approval
RENOVISOR,matrix_32_raw_0_1,KM4,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
RENOVISOR,matrix_32_raw_0_1,KM5,Fearful,8,9,6,75,66.66666666666667,54.54545454545455,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_19_wellbeing
RENOVISOR,matrix_32_raw_0_1,KM6,Influencer,8,5,3,37.5,60,30,det_11_knowledge; det_28_recognition; det_31_approval
RENOVISOR,matrix_32_pos_0_1,KM1,Activist,8,6,5,62.5,83.33333333333333,55.55555555555556,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_16_commitment; det_17_adherence
RENOVISOR,matrix_32_pos_0_1,KM2,Fearful,8,9,7,87.5,77.77777777777777,70,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
RENOVISOR,matrix_32_pos_0_1,KM3,Fearful,8,9,6,75,66.66666666666667,54.54545454545455,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
