bootstrap_id,target_sample_type,target_electoral_group,n,prop_bootstrap
104,voter,SD,98,0.098
105,abstention,ABSTENTION,506,0.506
105,voter,ECR,53,0.053
105,voter,EPP,122,0.122
105,voter,GREENS_EFA_RENEW,88,0.088
105,voter,GUE_NGL,32,0.032
105,voter,NI,23,0.023
105,voter,PFE_ESN,78,0.078
105,voter,SD,98,0.098
106,abstention,ABSTENTION,506,0.506
106,voter,ECR,53,0.053
106,voter,EPP,122,0.122
106,voter,GREENS_EFA_RENEW,88,0.088
106,voter,GUE_NGL,32,0.032
106,voter,NI,23,0.023
106,voter,PFE_ESN,78,0.078
106,voter,SD,98,0.098
107,abstention,ABSTENTION,506,0.506
107,voter,ECR,53,0.053
107,voter,EPP,122,0.122
107,voter,GREENS_EFA_RENEW,88,0.088
107,voter,GUE_NGL,32,0.032
107,voter,NI,23,0.023
107,voter,PFE_ESN,78,0.078
107,voter,SD,98,0.098
108,abstention,ABSTENTION,506,0.506
108,voter,ECR,53,0.053
108,voter,EPP,122,0.122
108,voter,GREENS_EFA_RENEW,88,0.088
108,voter,GUE_NGL,32,0.032
108,voter,NI,23,0.023
108,voter,PFE_ESN,78,0.078
108,voter,SD,98,0.098
109,abstention,ABSTENTION,506,0.506
109,voter,ECR,53,0.053
109,voter,EPP,122,0.122
109,voter,GREENS_EFA_RENEW,88,0.088
109,voter,GUE_NGL,32,0.032
109,voter,NI,23,0.023
109,voter,PFE_ESN,78,0.078
109,voter,SD,98,0.098
110,abstention,ABSTENTION,506,0.506
110,voter,ECR,53,0.053
110,voter,EPP,122,0.122
110,voter,GREENS_EFA_RENEW,88,0.088
110,voter,GUE_NGL,32,0.032
110,voter,NI,23,0.023
110,voter,PFE_ESN,78,0.078
110,voter,SD,98,0.098
111,abstention,ABSTENTION,506,0.506
111,voter,ECR,53,0.053
111,voter,EPP,122,0.122
111,voter,GREENS_EFA_RENEW,88,0.088
111,voter,GUE_NGL,32,0.032
111,voter,NI,23,0.023
111,voter,PFE_ESN,78,0.078
111,voter,SD,98,0.098
112,abstention,ABSTENTION,506,0.506
112,voter,ECR,53,0.053
112,voter,EPP,122,0.122
112,voter,GREENS_EFA_RENEW,88,0.088
112,voter,GUE_NGL,32,0.032
112,voter,NI,23,0.023
112,voter,PFE_ESN,78,0.078
112,voter,SD,98,0.098
113,abstention,ABSTENTION,506,0.506
113,voter,ECR,53,0.053
113,voter,EPP,122,0.122
113,voter,GREENS_EFA_RENEW,88,0.088
113,voter,GUE_NGL,32,0.032
113,voter,NI,23,0.023
113,voter,PFE_ESN,78,0.078
113,voter,SD,98,0.098
114,abstention,ABSTENTION,506,0.506
114,voter,ECR,53,0.053
114,voter,EPP,122,0.122
114,voter,GREENS_EFA_RENEW,88,0.088
114,voter,GUE_NGL,32,0.032
114,voter,NI,23,0.023
114,voter,PFE_ESN,78,0.078
114,voter,SD,98,0.098
115,abstention,ABSTENTION,506,0.506
115,voter,ECR,53,0.053
115,voter,EPP,122,0.122
115,voter,GREENS_EFA_RENEW,88,0.088
115,voter,GUE_NGL,32,0.032
115,voter,NI,23,0.023
115,voter,PFE_ESN,78,0.078
115,voter,SD,98,0.098
116,abstention,ABSTENTION,506,0.506
116,voter,ECR,53,0.053
116,voter,EPP,122,0.122
116,voter,GREENS_EFA_RENEW,88,0.088
116,voter,GUE_NGL,32,0.032
116,voter,NI,23,0.023
116,voter,PFE_ESN,78,0.078
116,voter,SD,98,0.098
117,abstention,ABSTENTION,506,0.506
117,voter,ECR,53,0.053
117,voter,EPP,122,0.122
117,voter,GREENS_EFA_RENEW,88,0.088
117,voter,GUE_NGL,32,0.032
117,voter,NI,23,0.023
117,voter,PFE_ESN,78,0.078
117,voter,SD,98,0.098
118,abstention,ABSTENTION,506,0.506
118,voter,ECR,53,0.053
118,voter,EPP,122,0.122
118,voter,GREENS_EFA_RENEW,88,0.088
118,voter,GUE_NGL,32,0.032
118,voter,NI,23,0.023
118,voter,PFE_ESN,78,0.078
118,voter,SD,98,0.098
119,abstention,ABSTENTION,506,0.506
119,voter,ECR,53,0.053
119,voter,EPP,122,0.122
119,voter,GREENS_EFA_RENEW,88,0.088
119,voter,GUE_NGL,32,0.032
119,voter,NI,23,0.023
119,voter,PFE_ESN,78,0.078
119,voter,SD,98,0.098
120,abstention,ABSTENTION,506,0.506
120,voter,ECR,53,0.053
120,voter,EPP,122,0.122
120,voter,GREENS_EFA_RENEW,88,0.088
120,voter,GUE_NGL,32,0.032
120,voter,NI,23,0.023
120,voter,PFE_ESN,78,0.078
120,voter,SD,98,0.098
121,abstention,ABSTENTION,506,0.506
121,voter,ECR,53,0.053
121,voter,EPP,122,0.122
121,voter,GREENS_EFA_RENEW,88,0.088
121,voter,GUE_NGL,32,0.032
121,voter,NI,23,0.023
121,voter,PFE_ESN,78,0.078
121,voter,SD,98,0.098
122,abstention,ABSTENTION,506,0.506
122,voter,ECR,53,0.053
122,voter,EPP,122,0.122
122,voter,GREENS_EFA_RENEW,88,0.088
122,voter,GUE_NGL,32,0.032
122,voter,NI,23,0.023
122,voter,PFE_ESN,78,0.078
122,voter,SD,98,0.098
123,abstention,ABSTENTION,506,0.506
123,voter,ECR,53,0.053
123,voter,EPP,122,0.122
123,voter,GREENS_EFA_RENEW,88,0.088
123,voter,GUE_NGL,32,0.032
123,voter,NI,23,0.023
123,voter,PFE_ESN,78,0.078
123,voter,SD,98,0.098
124,abstention,ABSTENTION,506,0.506
124,voter,ECR,53,0.053
124,voter,EPP,122,0.122
124,voter,GREENS_EFA_RENEW,88,0.088
124,voter,GUE_NGL,32,0.032
124,voter,NI,23,0.023
124,voter,PFE_ESN,78,0.078
124,voter,SD,98,0.098
125,abstention,ABSTENTION,506,0.506
125,voter,ECR,53,0.053
125,voter,EPP,122,0.122
125,voter,GREENS_EFA_RENEW,88,0.088
125,voter,GUE_NGL,32,0.032
125,voter,NI,23,0.023
125,voter,PFE_ESN,78,0.078
125,voter,SD,98,0.098
126,abstention,ABSTENTION,506,0.506
126,voter,ECR,53,0.053
