analysis_sample,matrix,h,p,comparison,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
LATAM,RAW,3,6,KM_vs_EXPERTS,KM1,Careful,50,15,12,9,60,75,50,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
LATAM,RAW,3,6,KM_vs_EXPERTS,KM2,Uninterested,18.75,13,6,3,23.076923076923077,50,18.75,det_13_technical_fit; det_22_peer_pressure; det_30_authority
LATAM,RAW,3,6,KM_vs_EXPERTS,KM3,Influencer,40,9,5,4,44.44444444444444,80,40,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
LATAM,RAW,3,6,KM_vs_EXPERTS,KM4,Stubborn,37.5,8,3,3,37.5,100,37.5,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
LATAM,RAW,3,6,KM_vs_EXPERTS,KM5,Homo.Economicus,38.46153846153846,9,9,5,55.55555555555556,55.55555555555556,38.46153846153846,det_01_profits; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction
LATAM,RAW,3,6,KM_vs_EXPERTS,KM6,Fearful,27.77777777777778,14,9,5,35.714285714285715,55.55555555555556,27.77777777777778,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
LATAM,RAW,3,6,EFA_vs_EXPERTS,EFA1,Influencer,44.44444444444444,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
LATAM,RAW,3,6,EFA_vs_EXPERTS,EFA2,Uninterested,16.666666666666668,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
LATAM,RAW,3,6,EFA_vs_EXPERTS,EFA3,Careful,37.5,10,12,6,60,50,37.5,det_03_risk_profile; det_08_trust; det_09_safety; det_11_knowledge; det_12_own_competence; det_17_adherence
LATAM,RAW,3,6,EFA_vs_EXPERTS,EFA4,Fearful,30.76923076923077,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
