analysis_sample,matrix_name,matrix,h,p,coverage_kmeans,coverage_efa,mean_signature_size_kmeans,mean_signature_size_efa,mean_km_efa_overlap,median_km_efa_overlap,mean_km_efa_jaccard,median_km_efa_jaccard,mean_km_expert_jaccard_hungarian,mean_km_expert_best_jaccard,mean_efa_expert_jaccard_hungarian,mean_efa_expert_best_jaccard,n_km_efa_overlap_ge_50,n_km_expert_jaccard_ge_50,n_efa_expert_jaccard_ge_50
DIEGO,matrix_32_z_abs,Z_ABS,2,5,0.3951488095237078,0.4456249999999337,9.8,10.8,50.476190476190474,50,30.44000933706816,27.77777777777778,24.40909090909091,25.6969696969697,24.374667729930888,24.926046176046174,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,2,6,0.4744642857141635,0.5405654761903957,10.166666666666666,10.833333333333334,49.007936507936506,45.83333333333333,30.11204481792717,28.125,25.549242424242426,26.96969696969697,23.88365167970431,26.654058087881616,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,2,7,0.5314285714284346,0.6165178571427654,9.857142857142858,10.571428571428571,45.578231292517,41.666666666666664,27.647058823529413,25,27.613636363636363,28.83116883116883,22.691089194848594,26.207680041713655,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,2,8,0.598095238095084,0.6870238095237073,9.75,10.25,46.676587301587304,46.42857142857143,29.286697725648963,29.6218487394958,25.298295454545453,28.168449197860962,19.87364243943191,23.973386703166117,4,0,0
DIEGO,matrix_32_z_abs,Z_ABS,3,4,0.4323511904760791,0.45187499999993286,10,11.25,42.50992063492063,46.52777777777778,24.176249447147278,22.600619195046438,24.734848484848484,25.303030303030305,24.21833466241361,24.90755772005772,2,0,0
DIEGO,matrix_32_z_abs,Z_ABS,3,5,0.5429166666665268,0.5624404761903926,9.8,10.8,50.476190476190474,50,30.44000933706816,27.77777777777778,24.40909090909091,25.6969696969697,24.374667729930888,24.926046176046174,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,3,6,0.6539583333331649,0.6953571428570396,10.166666666666666,10.833333333333334,49.007936507936506,45.83333333333333,30.11204481792717,28.125,25.549242424242426,26.96969696969697,23.88365167970431,26.654058087881616,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,3,7,0.7299107142855262,0.7934226190475012,9.857142857142858,10.571428571428571,45.578231292517,41.666666666666664,27.647058823529413,25,27.613636363636363,28.83116883116883,22.691089194848594,26.207680041713655,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,3,8,0.8292857142855007,0.8902083333332012,9.75,10.25,46.676587301587304,46.42857142857143,29.286697725648963,29.6218487394958,25.298295454545453,28.168449197860962,19.87364243943191,23.973386703166117,4,0,0
DIEGO,matrix_32_z_abs,Z_ABS,4,4,0.6231249999998398,0.5613988095237262,10,11.25,42.50992063492063,46.52777777777778,24.176249447147278,22.600619195046438,24.734848484848484,25.303030303030305,24.21833466241361,24.90755772005772,2,0,0
DIEGO,matrix_32_z_abs,Z_ABS,4,5,0.796666666666462,0.694077380952278,9.8,10.8,50.476190476190474,50,30.44000933706816,27.77777777777778,24.40909090909091,25.6969696969697,24.374667729930888,24.926046176046174,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,4,6,0.9444345238092814,0.8459821428570173,10.166666666666666,10.833333333333334,49.007936507936506,45.83333333333333,30.11204481792717,28.125,25.549242424242426,26.96969696969697,23.88365167970431,26.654058087881616,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,4,7,1.0497916666663971,0.9697321428569988,9.857142857142858,10.571428571428571,45.578231292517,41.666666666666664,27.647058823529413,25,27.613636363636363,28.83116883116883,22.691089194848594,26.207680041713655,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,4,8,1.200624999999692,1.1057440476188836,9.75,10.25,46.676587301587304,46.42857142857143,29.286697725648963,29.6218487394958,25.298295454545453,28.168449197860962,19.87364243943191,23.973386703166117,4,0,0
