analysis_sample,h,p,mean_coverage_kmeans,mean_coverage_efa,mean_km_efa_overlap,mean_km_efa_jaccard,mean_km_expert_jaccard,mean_efa_expert_jaccard
WHY_LATAM,6,7,75.32325148809329,60.265401785714154,57.90445665445665,44.36362164483018,33.40704259559301,32.81087143482102
WHY_LATAM,6,8,77.19849702380745,62.57456845238081,56.64930555555556,42.93140144813906,31.67652583323539,31.008528593546977
WHY_LATAM,7,4,75.40983630952198,60.22648065476151,46.95436507936508,38.492876608685435,40.21707867296102,33.56818528693529
WHY_LATAM,7,5,78.75101190475988,68.09630208333286,47.551587301587304,37.42756997904057,37.734403260138556,34.72887978035037
WHY_LATAM,7,6,81.20330357142636,71.08851190476146,50.38525132275132,39.36243393044864,35.26478049455991,33.29108119549296
WHY_LATAM,7,7,83.3526116071405,73.17321428571381,50.59185853828711,38.972140061398136,33.13617783943414,33.365144426068795
WHY_LATAM,7,8,85.69764136904506,76.05591517857096,51.28109737484738,39.72714743600483,30.732249011201215,31.158336149144972
WHY_LATAM,8,4,80.87114583333177,65.93837797618929,46.436081279831285,39.86721611721612,38.82761182853095,32.125877594627596
WHY_LATAM,8,5,83.40107886904585,76.1268452380939,46.46059496059496,38.74650349650349,36.28508868582398,33.1280525030525
WHY_LATAM,8,6,86.7937797619028,79.97296130952246,47.49819624819625,38.31226269645387,33.718121135400544,31.984254171754174
WHY_LATAM,8,7,87.6476339285694,81.63781994047483,50.16099971457115,38.77599148787229,33.241673709110685,31.28038628038628
WHY_LATAM,8,8,89.21122023809309,83.09924107142719,50.97800636863137,38.8139241461368,30.871084593511064,30.83637333867113
