"scenario","type","reference","K","D","n_clusters","n_matched","pct_matched","mean_jaccard_exclusive"
"100-9-top3","ext","kmeans",2,4,1,1,100,0
"100-9-top3","ext","kmeans",2,6,1,1,100,0
"100-9-top3","ext","kmeans",2,8,1,1,100,0
"100-9-top3","ext","kmeans",2,10,1,1,100,0
"100-9-top3","ext","kmeans",3,0,3,3,100,29.5238095238095
"100-9-top3","ext","kmeans",3,2,3,3,100,34.2857142857143
"100-9-top3","ext","kmeans",3,4,1,1,100,0
"100-9-top3","ext","kmeans",3,6,1,1,100,0
"100-9-top3","ext","kmeans",3,8,1,1,100,0
"100-9-top3","ext","kmeans",3,10,1,1,100,0
"100-9-top3","ext","kmeans",4,0,4,4,100,25.7142857142857
"100-9-top3","ext","kmeans",4,2,4,4,100,35.0892857142857
"100-9-top3","ext","kmeans",4,4,1,1,100,0
"100-9-top3","ext","kmeans",4,6,1,1,100,0
"100-9-top3","ext","kmeans",4,8,1,1,100,0
"100-9-top3","ext","kmeans",4,10,1,1,100,0
"100-9-top3","ext","kmeans",5,0,5,5,100,29.1428571428571
"100-9-top3","ext","kmeans",5,2,5,5,100,36.6428571428571
"100-9-top3","ext","kmeans",5,4,1,1,100,0
"100-9-top3","ext","kmeans",5,6,1,1,100,0
"100-9-top3","ext","kmeans",5,8,1,1,100,0
"100-9-top3","ext","kmeans",5,10,1,1,100,0
"100-9-top3","ext","kmeans",6,0,6,6,100,26.6666666666667
"100-9-top3","ext","kmeans",6,2,6,6,100,37.6785714285714
"100-9-top3","ext","kmeans",6,4,1,1,100,0
"100-9-top3","ext","kmeans",6,6,1,1,100,0
"100-9-top3","ext","kmeans",6,8,1,1,100,0
"100-9-top3","ext","kmeans",6,10,1,1,100,0
"100-9-top3","ext","kmeans",7,0,7,7,100,28.7244897959184
"100-9-top3","ext","kmeans",7,2,7,7,100,38.4183673469388
"100-9-top3","ext","kmeans",7,4,1,1,100,0
"100-9-top3","ext","kmeans",7,6,1,1,100,0
"100-9-top3","ext","kmeans",7,8,1,1,100,0
"100-9-top3","ext","kmeans",7,10,1,1,100,0
"100-9-top3","ext","kmeans",8,0,8,8,100,29.8214285714286
"100-9-top3","ext","kmeans",8,2,8,8,100,38.3035714285714
"100-9-top3","ext","kmeans",8,4,1,1,100,0
"100-9-top3","ext","kmeans",8,6,1,1,100,0
"100-9-top3","ext","kmeans",8,8,1,1,100,0
"100-9-top3","ext","kmeans",8,10,1,1,100,0
"100-9-top3","pos","kmeans",1,0,1,1,100,60
"100-9-top3","pos","kmeans",1,2,1,1,100,60
"100-9-top3","pos","kmeans",1,4,1,1,100,60
"100-9-top3","pos","kmeans",1,6,1,1,100,60
"100-9-top3","pos","kmeans",1,8,1,1,100,60
"100-9-top3","pos","kmeans",1,10,1,1,100,60
"100-9-top3","pos","kmeans",2,0,2,2,100,51.4285714285714
"100-9-top3","pos","kmeans",2,2,2,2,100,51.4285714285714
"100-9-top3","pos","kmeans",2,4,2,2,100,51.4285714285714
"100-9-top3","pos","kmeans",2,6,1,1,100,60
"100-9-top3","pos","kmeans",2,8,1,1,100,60
"100-9-top3","pos","kmeans",2,10,1,1,100,60
"100-9-top3","pos","kmeans",3,0,3,3,100,48.5714285714286
"100-9-top3","pos","kmeans",3,2,3,3,100,48.5714285714286
"100-9-top3","pos","kmeans",3,4,2,2,100,51.4285714285714
"100-9-top3","pos","kmeans",3,6,1,1,100,60
"100-9-top3","pos","kmeans",3,8,1,1,100,60
"100-9-top3","pos","kmeans",3,10,1,1,100,60
"100-9-top3","pos","kmeans",4,0,4,4,100,45.8035714285714
"100-9-top3","pos","kmeans",4,2,4,4,100,36.4285714285714
"100-9-top3","pos","kmeans",4,4,2,2,100,51.4285714285714
"100-9-top3","pos","kmeans",4,6,1,1,100,60
"100-9-top3","pos","kmeans",4,8,1,1,100,60
"100-9-top3","pos","kmeans",4,10,1,1,100,60
"100-9-top3","pos","kmeans",5,0,5,5,100,42.3571428571429
"100-9-top3","pos","kmeans",5,2,5,5,100,37.7142857142857
"100-9-top3","pos","kmeans",5,4,2,2,100,51.4285714285714
"100-9-top3","pos","kmeans",5,6,1,1,100,60
"100-9-top3","pos","kmeans",5,8,1,1,100,60
"100-9-top3","pos","kmeans",5,10,1,1,100,60
"100-9-top3","pos","kmeans",6,0,6,6,100,41.547619047619
"100-9-top3","pos","kmeans",6,2,6,6,100,37.6785714285714
"100-9-top3","pos","kmeans",6,4,2,2,100,51.4285714285714
"100-9-top3","pos","kmeans",6,6,1,1,100,60
"100-9-top3","pos","kmeans",6,8,1,1,100,60
"100-9-top3","pos","kmeans",6,10,1,1,100,60
"100-9-top3","pos","kmeans",7,0,7,7,100,40.969387755102
"100-9-top3","pos","kmeans",7,2,7,7,100,35.4705215419501
"100-9-top3","pos","kmeans",7,4,2,2,100,51.4285714285714
"100-9-top3","pos","kmeans",7,6,1,1,100,60
"100-9-top3","pos","kmeans",7,8,1,1,100,60
"100-9-top3","pos","kmeans",7,10,1,1,100,60
